strategy,final_usd_value,final_cash_usd,final_btc,final_close,event_count,purchase_count,gross_spent_usd,total_costs_usd,unused_cash_usd,total_return_on_committed_capital,max_drawdown,threshold,window_hours,delay_hours,cooldown_hours
daily_dca,15105.446726445458,0,0.23692640529741826,63755.860000000001,2034,2034,10000,14.999999999999993,0,0.51054467264454573,0.53995410112049402,,,,
weekly_monday_dca,15095.723115631918,0,0.236773892088224,63755.860000000001,291,291,10000.000000000004,15.000000000000002,0,0.50957231156319183,0.5357852725551675,,,,
btc_drawdown_30pct_72h,9999.9999999996999,9999.9999999996999,0,63755.860000000001,0,0,0,0,9999.9999999996999,-2.9976021664879227e-14,0,0.29999999999999999,72,1,24
