timestamp,kind,gross_spend_usd,fee_slippage_usd,execution_price,reference_open,btc_bought,cash_after,btc_after,strategy
2021-01-01 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,29043.510015,29000.009999999998,0.00016927777817093108,0,0.00016927777817093108,daily_dca
2021-01-02 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,29889.286780000002,29844.52,0.00016448772705122356,0,0.00033376550522215467,daily_dca
2021-01-03 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,34418.901024999999,34367.349999999999,0.00014284072701953405,0,0.00047660623224168874,daily_dca
2021-01-04 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,32093.217725000002,32045.150000000001,0.0001531918951771105,0,0.00062979812741879924,daily_dca
2021-01-05 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,31238.948240000002,31192.16,0.00015738112588979997,0,0.00078717925330859919,daily_dca
2021-01-06 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,34647.974120000006,34596.080000000002,0.00014189634373994921,0,0.00092907559704854842,daily_dca
2021-01-07 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,37273.376325000005,37217.550000000003,0.00013190167702427437,0,0.0010609772740728229,daily_dca
2021-01-08 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,38706.933440000001,38648.959999999999,0.00012701654222351089,0,0.0011879938162963337,daily_dca
2021-01-09 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,40227.791310000001,40167.540000000001,0.00012221453590971175,0,0.0013102083522060456,daily_dca
2021-01-10 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,40859.497450000003,40798.300000000003,0.00012032504441936999,0,0.0014305333966254156,daily_dca
2021-01-11 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,35483.145000000004,35430,0.00013855651311698512,0,0.0015690899097424006,daily_dca
2021-01-12 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,35826.889845000005,35773.230000000003,0.00013722711814769821,0,0.0017063170278900988,daily_dca
2021-01-13 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,34569.216160000004,34517.440000000002,0.000142219621725562,0,0.0018485366496156608,daily_dca
2021-01-14 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,38427.565015000007,38370.010000000002,0.00012793995257584718,0,0.001976476602191508,daily_dca
2021-01-15 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,38337.620300000002,38280.199999999997,0.00012824011524847787,0,0.0021047167174399859,daily_dca
2021-01-16 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,37518.763855000005,37462.57,0.00013103898797479143,0,0.0022357557054147772,daily_dca
2021-01-17 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,34784.178120000004,34732.080000000002,0.00014134072188405598,0,0.002377096427298833,daily_dca
2021-01-18 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,36287.539785000001,36233.190000000002,0.00013548509694384577,0,0.0025125815242426786,daily_dca
2021-01-19 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,37253.506565000003,37197.709999999999,0.00013197202891615593,0,0.0026445535531588347,daily_dca
2021-01-20 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,35528.673190000001,35475.459999999999,0.00013837895998345851,0,0.0027829325131422931,daily_dca
2021-01-21 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,33287.596610000001,33237.739999999998,0.00014769527831118431,0,0.0029306277914534773,daily_dca
2021-01-22 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,31573.599465000003,31526.310000000001,0.00015571303015591683,0,0.0030863408216093942,daily_dca
2021-01-23 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,32992.654860000002,32943.239999999998,0.00014901561776360742,0,0.0032353564393730015,daily_dca
2021-01-24 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,32679.425720000003,32630.48,0.00015044391807091966,0,0.0033858003574439213,daily_dca
2021-01-25 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,33499.89458,33449.720000000001,0.00014675929304444949,0,0.0035325596504883709,daily_dca
2021-01-26 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,31944.815455000004,31896.970000000001,0.00015390356073742372,0,0.0036864632112257947,daily_dca
2021-01-27 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,31218.868165000004,31172.110000000001,0.00015748235392903408,0,0.0038439455651548288,daily_dca
2021-01-28 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,31117.075705000003,31070.470000000001,0.00015799752175408942,0,0.0040019430869089184,daily_dca
2021-01-29 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,36277.554830000001,36223.220000000001,0.00013552238756617393,0,0.0041374654744750928,daily_dca
2021-01-30 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,33934.675775000003,33883.849999999999,0.00014487896917660722,0,0.0042823444436517,daily_dca
2021-01-31 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,33647.115080000003,33596.720000000001,0.00014611715845281274,0,0.0044284616021045128,daily_dca
2021-02-01 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,34527.283355,34475.57,0.00014239234506448431,0,0.0045708539471689975,daily_dca
2021-02-02 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,34715.865805000001,34663.870000000003,0.0001416188457819275,0,0.0047124727929509251,daily_dca
2021-02-03 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,36065.026515000005,36011.010000000002,0.00013632101015036185,0,0.0048487938031012865,daily_dca
2021-02-04 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,37395.118665000002,37339.110000000001,0.00013147226218661299,0,0.0049802660652878998,daily_dca
2021-02-05 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,37761.827904999998,37705.269999999997,0.00013019552067217085,0,0.0051104615859600706,daily_dca
2021-02-06 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,39486.140500000001,39427,0.00012451003778463446,0,0.0052349716237447049,daily_dca
2021-02-07 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,39556.205439999998,39496.959999999999,0.00012428949619754998,0,0.0053592611199422546,daily_dca
2021-02-08 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,39234.143069999998,39175.379999999997,0.00012530975474225862,0,0.0054845708746845134,daily_dca
2021-02-09 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,47177.249884999997,47106.589999999997,0.00010421168799810777,0,0.0055887825626826215,daily_dca
2021-02-10 09:00:00+00:00,daily_dca_buy,4.9164208456243852,0.0073746312684365781,46738.893335000001,46668.889999999999,0.00010518907262921366,0,0.0056939716353118352,daily_dca
