asset,partition,n_blocks,strategy_final,bh_final,strategy_beats_bh
BTC,development,4,3.273364846878579,4.360194848590894,False
BTC,validation,9,0.7520957431476336,1.1523581142934542,False
BTC,test,6,1.499481092943454,1.443107953793101,True
ETH,development,4,6.995207217587799,10.237770968108048,False
ETH,validation,9,0.7868658215062195,0.8661261610054012,False
ETH,test,6,0.9566747609658053,0.8046334246016225,True
SOL,development,1,9.899013840918172,9.928755494921933,False
SOL,validation,9,1.7626389103268547,3.287866054690025,False
SOL,test,6,0.7674776208596517,0.6750978072968793,True
XRP,development,4,2.247953121759861,2.4266797221056557,False
XRP,validation,9,0.7931398497652044,0.6090225563909776,True
XRP,test,6,3.9083563767046767,1.693835398792501,True
