asset,start,end,risk_off_days,risk_off_fraction,trades,final,buy_hold,dca,momentum,random,double_cost,delay_2d,best_excluded,top_block_pct,sharpe,sortino,max_drawdown,test_final,test_buy_hold,test_trades
BTC,2018-01-01,2026-07-27,451,0.1440894568690096,15,51480.254986836895,46344.780518358595,39941.66037721917,84689.48713366143,33506.79747661944,49214.98250443156,61650.707367231684,20548.245034179712,0.6889863571065272,0.6268631163843391,0.9138764987513848,-0.8490069992042549,18025.08468018456,15032.99363290963,8
ETH,2018-01-01,2026-07-27,451,0.1440894568690096,15,33593.51463808212,25741.27110993787,34753.85778180409,127304.60327323966,2639.0370663594244,32115.30781264221,40073.88424344702,2374.5686100704274,2.2663805539688546,0.5631719163142528,0.8206478616553681,-0.9441114975590073,9142.553213315163,8268.923793334221,8
SOL,2020-08-11,2026-07-27,239,0.10978410656867249,10,231098.62322076512,259570.99438561453,40615.94868993892,904985.4845900396,97337.55086640737,224268.5913912842,320371.0199970502,30121.047158874662,1.6200169578014616,1.0025097284122675,1.5928765568589387,-0.9738155805560028,9530.843359789309,7272.683189136861,8
XRP,2018-05-04,2026-07-27,434,0.14432989690721648,14,38080.23697543275,21258.129805292065,22385.074054116783,37077.29762569797,20559.9673642401,36513.98042139978,41395.411935173404,11312.516590864,1.3871723380543304,0.5467836471476295,0.9258070807054399,-0.8412212963816801,21779.70611149409,17268.992530700296,8
