date,gold_vol,mean,std,z,risk_off_signal_close,risk_off_actionable
2009-06-03 00:00:00+00:00,27.64,36.52162698412699,10.062478454197127,-0.8826480498373045,False,False
2009-06-04 00:00:00+00:00,28.16,36.54047619047619,10.041268261441664,-0.8346033560976662,False,False
2009-06-05 00:00:00+00:00,26.82,36.56218253968254,10.017091390156018,-0.9725560205287097,False,False
2009-06-08 00:00:00+00:00,27.09,36.57821428571428,9.998160965644363,-0.9489959521873714,False,False
2009-06-09 00:00:00+00:00,25.03,36.592063492063495,9.98251713320232,-1.1582312695069192,False,False
2009-06-10 00:00:00+00:00,24.78,36.59428571428572,9.979869852688859,-1.1838116016214995,False,False
2009-06-11 00:00:00+00:00,24.44,36.59186507936508,9.982671883913813,-1.2172958523205322,False,False
2009-06-12 00:00:00+00:00,24.79,36.58821428571429,9.986963194600905,-1.1813615466303682,False,False
2009-06-15 00:00:00+00:00,25.31,36.58722222222223,9.988127265764781,-1.1290627283931334,False,False
2009-06-16 00:00:00+00:00,23.12,36.58869047619048,9.986435355370837,-1.3486985092179902,False,False
2009-06-17 00:00:00+00:00,22.8,36.58130952380952,9.995732529246853,-1.3787193168170837,False,False
2009-06-18 00:00:00+00:00,22.43,36.57476190476191,10.00424748155345,-1.4138756494022198,False,False
2009-06-19 00:00:00+00:00,21.64,36.56880952380953,10.012243947088217,-1.4910553121462002,False,False
2009-06-22 00:00:00+00:00,22.1,36.55813492063492,10.02676784412857,-1.4419536928942909,False,False
2009-06-23 00:00:00+00:00,21.93,36.541785714285716,10.04703038254009,-1.454338760603167,False,False
2009-06-24 00:00:00+00:00,22.74,36.52095238095238,10.071932435920102,-1.3682530605352943,False,False
2009-06-25 00:00:00+00:00,22.72,36.50488095238095,10.090735306685831,-1.3660928102283574,False,False
2009-06-26 00:00:00+00:00,21.97,36.48876984126984,10.109547757006665,-1.4361443449542302,False,False
2009-06-29 00:00:00+00:00,21.72,36.46750000000001,10.134501743924545,-1.4551776074083638,False,False
2009-06-30 00:00:00+00:00,20.9,36.44865079365079,10.157561260560101,-1.5307464454113882,False,False
2009-07-01 00:00:00+00:00,20.29,36.4247619047619,10.187096416998337,-1.5838430544192361,False,False
2009-07-02 00:00:00+00:00,19.93,36.39559523809524,10.222807562748956,-1.610672521910172,False,False
2009-07-06 00:00:00+00:00,20.6,36.36539682539682,10.260242935762607,-1.5365520021407792,False,False
2009-07-07 00:00:00+00:00,20.71,36.34059523809524,10.290843957878073,-1.5188837088652347,False,False
2009-07-08 00:00:00+00:00,23.58,36.31726190476191,10.319666176909301,-1.2342707299255553,False,False
2009-07-09 00:00:00+00:00,21.02,36.307182539682536,10.330899981159911,-1.4797532226196382,False,False
2009-07-10 00:00:00+00:00,20.79,36.287063492063496,10.355783692429995,-1.4964645798262222,False,False
2009-07-13 00:00:00+00:00,19.27,36.26325396825397,10.38456334678405,-1.63639561922616,False,False
2009-07-14 00:00:00+00:00,18.8,36.2075,10.438007611055202,-1.6677033250639908,False,False
2009-07-15 00:00:00+00:00,19.36,36.15873015873016,10.490592559318126,-1.601313754560882,False,False
2009-07-16 00:00:00+00:00,18.26,36.11492063492064,10.537683526148518,-1.6943876318371973,False,False
2009-07-17 00:00:00+00:00,18.1,36.07464285714286,10.586535812502177,-1.6978776792986137,False,False
2009-07-20 00:00:00+00:00,18.55,36.03821428571429,10.632613044079704,-1.6447710655144945,False,False
2009-07-21 00:00:00+00:00,18.05,36.00448412698413,10.674639572917643,-1.6819756774304584,False,False
2009-07-22 00:00:00+00:00,17.46,35.97051587301587,10.718184055796506,-1.7270197802775358,False,False
2009-07-23 00:00:00+00:00,18.44,35.937380952380956,10.76253522307836,-1.6257675900433666,False,False
2009-07-24 00:00:00+00:00,18.04,35.90880952380952,10.79947428314266,-1.6545999421195603,False,False
2009-07-27 00:00:00+00:00,18.72,35.876626984126986,10.840676834718712,-1.5826158500713352,False,False
2009-07-28 00:00:00+00:00,19.26,35.8475,10.876957391276,-1.525012869251856,False,False
2009-07-29 00:00:00+00:00,19.39,35.81896825396825,10.91108317185109,-1.5057137770109252,False,False
2009-07-30 00:00:00+00:00,18.85,35.79488095238096,10.940702595927934,-1.5487927583999717,False,False
2009-07-31 00:00:00+00:00,20.51,35.77079365079365,10.971379289361723,-1.3909640026383108,False,False
2009-08-03 00:00:00+00:00,21.11,35.76115079365079,10.983762221340179,-1.3338918394632855,False,False
2009-08-04 00:00:00+00:00,23.58,35.746785714285714,11.000601051385667,-1.1060109949858743,False,False
2009-08-05 00:00:00+00:00,22.12,35.73948412698413,11.008090800835014,-1.2372249078787605,False,False
2009-08-06 00:00:00+00:00,21.13,35.721944444444446,11.02631335687107,-1.3233747284491464,False,False
2009-08-07 00:00:00+00:00,20.95,35.70392857142857,11.046493126836781,-1.3356210339356298,False,False
2009-08-10 00:00:00+00:00,20.33,35.68849206349206,11.064438391543224,-1.3880950410669624,False,False
2009-08-11 00:00:00+00:00,19.61,35.66376984126984,11.091842398961036,-1.4473492557713932,False,False
2009-08-12 00:00:00+00:00,19.83,35.61543650793651,11.135242436134503,-1.4176104919558696,False,False
2009-08-13 00:00:00+00:00,19.97,35.566428571428574,11.177519446591964,-1.395338978916645,False,False
2009-08-14 00:00:00+00:00,19.56,35.53146825396826,11.212552932047561,-1.4244274565089303,False,False
