partition,start,end,final_usd_value,final_btc,purchases,costs_usd,max_drawdown,strategy
development_pre_2024,2021-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,7452.1442256196551,0.17624203593025128,1095,8.0752212389380524,0.53995410112049402,daily_dca
validation_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,19166.501443967383,0.20482283324749279,366,2.6991150442477871,0.28862211881457112,daily_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,15105.446726445458,0.23692640529741826,573,4.2256637168141591,0.50337514994878962,daily_dca
development_pre_2024,2021-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,7450.2679636478533,0.17550002716359653,156,8.0309734513274336,0.5357852725551675,weekly_monday_dca
validation_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,19146.633699671213,0.20455797724657593,53,2.7359882005899703,0.28843014279773083,weekly_monday_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,15095.723115631918,0.236773892088224,82,4.2330383480825962,0.50315357734855293,weekly_monday_dca
development_pre_2024,2021-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,5383.4808259586798,0,0,0,0,btc_drawdown_30pct_72h
validation_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,7182.8908554570962,0,0,0,0,btc_drawdown_30pct_72h
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,9999.9999999996999,0,0,0,0,btc_drawdown_30pct_72h
