date,walcl,tga,rrp,net_liquidity,prior_sma91,prior_change28,risk_on_signal_close,risk_on_actionable
2008-12-05 00:00:00+00:00,2136.924,61.049,25.0,2050.875,1485.9359340659341,207.5250000000001,True,False
2008-12-06 00:00:00+00:00,2136.924,61.049,25.0,2050.875,1500.6515824175826,33.47000000000003,True,True
2008-12-07 00:00:00+00:00,2136.924,61.049,25.0,2050.875,1515.367230769231,33.47000000000003,True,True
2008-12-08 00:00:00+00:00,2136.924,61.049,25.0,2050.875,1530.0828791208794,33.47000000000003,True,True
2008-12-09 00:00:00+00:00,2136.924,61.049,25.0,2050.875,1544.667285714286,33.47000000000003,True,True
2008-12-10 00:00:00+00:00,2250.012,49.529,25.0,2175.483,1559.2423076923078,33.47000000000003,True,True
2008-12-11 00:00:00+00:00,2250.012,49.529,25.0,2175.483,1575.1934395604396,148.0780000000002,True,True
2008-12-12 00:00:00+00:00,2250.012,49.529,25.0,2175.483,1591.116010989011,49.40700000000015,True,True
2008-12-13 00:00:00+00:00,2250.012,49.529,25.0,2175.483,1607.0275934065935,49.40700000000015,True,True
2008-12-14 00:00:00+00:00,2250.012,49.529,25.0,2175.483,1622.9639010989015,49.40700000000015,True,True
2008-12-15 00:00:00+00:00,2250.012,49.529,25.0,2175.483,1638.9002087912088,49.40700000000015,True,True
2008-12-16 00:00:00+00:00,2250.012,49.529,25.0,2175.483,1654.8365164835163,49.40700000000015,True,True
2009-12-04 00:00:00+00:00,2204.074,38.243,0.18,2165.6510000000003,1670.6314175824175,49.40700000000015,True,True
2009-12-05 00:00:00+00:00,2204.074,38.243,0.18,2165.6510000000003,1686.3453186813188,34.57500000000027,True,True
2009-12-06 00:00:00+00:00,2204.074,38.243,0.18,2165.6510000000003,1701.9034505494506,63.97900000000027,True,True
2009-12-10 00:00:00+00:00,2186.3830000000003,31.793,0.225,2154.3650000000002,1717.3149890109892,63.97900000000027,True,True
2009-12-11 00:00:00+00:00,2186.3830000000003,31.793,0.225,2154.3650000000002,1732.7666923076922,52.69300000000021,True,True
2009-12-12 00:00:00+00:00,2186.3830000000003,31.793,0.225,2154.3650000000002,1748.2183956043957,52.69300000000021,True,True
2009-12-13 00:00:00+00:00,2186.3830000000003,31.793,0.225,2154.3650000000002,1763.6700989010992,52.69300000000021,True,True
2010-08-12 00:00:00+00:00,2327.533,36.113,0.18,2291.2400000000002,1777.8070549450551,52.69300000000021,True,True
2011-03-25 00:00:00+00:00,2601.341,87.28,0.31,2513.7509999999997,1793.4618681318682,189.5680000000002,True,True
2011-03-26 00:00:00+00:00,2601.341,87.28,0.31,2513.7509999999997,1811.5618571428572,497.1649999999995,True,True
2011-03-27 00:00:00+00:00,2601.341,87.28,0.31,2513.7509999999997,1829.6618461538462,497.1649999999995,True,True
2011-03-30 00:00:00+00:00,2622.523,58.515,0.77,2563.2380000000003,1847.7226263736263,497.1649999999995,True,True
2011-06-09 00:00:00+00:00,2811.206,38.188,0.28,2772.738,1866.3422087912088,546.652,True,True
2011-06-15 00:00:00+00:00,2827.549,41.336,0.749,2785.4640000000004,1887.1828021978024,756.1519999999996,True,True
2011-08-16 00:00:00+00:00,2872.4230000000002,23.425,0.02,2848.978,1908.0973956043954,768.8780000000002,True,True
2011-08-18 00:00:00+00:00,2857.906,20.172,0.624,2837.11,1929.7099450549451,798.1030000000001,True,True
