timestamp,kind,gross_spend_usd,fee_slippage_usd,cash_after,strategy,asset,execution_price,reference_open,btc_bought,btc_after,eth_bought,eth_after,sol_bought,sol_after,xrp_bought,xrp_after,bnb_bought,bnb_after,ada_bought,ada_after,doge_bought,doge_after,avax_bought,avax_after,link_bought,link_after,btc_sold,eth_sold,sol_sold,xrp_sold,bnb_sold,ada_sold,doge_sold,avax_sold,link_sold,funding_rate,signal_time,planned_exit_time,reference_close
2021-01-01 09:00:00+00:00,cash_contribution,0,0,4.9164208456243852,cash_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02 09:00:00+00:00,cash_contribution,0,0,9.8328416912487704,cash_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03 09:00:00+00:00,cash_contribution,0,0,14.749262536873156,cash_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04 09:00:00+00:00,cash_contribution,0,0,19.665683382497541,cash_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05 09:00:00+00:00,cash_contribution,0,0,24.582104228121928,cash_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06 09:00:00+00:00,cash_contribution,0,0,29.498525073746315,cash_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07 09:00:00+00:00,cash_contribution,0,0,34.414945919370702,cash_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08 09:00:00+00:00,cash_contribution,0,0,39.331366764995089,cash_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09 09:00:00+00:00,cash_contribution,0,0,44.247787610619476,cash_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10 09:00:00+00:00,cash_contribution,0,0,49.164208456243863,cash_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11 09:00:00+00:00,cash_contribution,0,0,54.08062930186825,cash_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
