signal_time,entry_time,exit_time,asset,funding_rate,mark_price,source_symbol
2022-05-12 08:00:00+00:00,2022-05-12 09:00:00+00:00,2022-05-13 09:00:00+00:00,BNB,-0.0020078100000000001,,BNBUSDT
2022-06-11 16:00:00+00:00,2022-06-11 17:00:00+00:00,2022-06-12 17:00:00+00:00,AVAX,-0.00050122999999999997,,AVAXUSDT
2022-09-14 00:00:00+00:00,2022-09-14 01:00:00+00:00,2022-09-15 01:00:00+00:00,ETH,-0.0011114199999999999,,ETHUSDT
2022-09-22 00:00:00+00:00,2022-09-22 01:00:00+00:00,2022-09-23 01:00:00+00:00,AVAX,-0.00065853999999999999,,AVAXUSDT
2022-11-09 00:00:00+00:00,2022-11-09 01:00:00+00:00,2022-11-10 01:00:00+00:00,SOL,-0.0074999999999999997,,SOLUSDT
2022-11-11 00:00:00+00:00,2022-11-11 01:00:00+00:00,2022-11-12 01:00:00+00:00,SOL,-0.0026299700000000001,,SOLUSDT
2022-11-13 08:00:00+00:00,2022-11-13 09:00:00+00:00,2022-11-14 09:00:00+00:00,SOL,-0.0017700999999999999,,SOLUSDT
2022-11-15 20:00:00+00:00,2022-11-15 21:00:00+00:00,2022-11-16 21:00:00+00:00,SOL,-0.00066295999999999998,,SOLUSDT
2022-11-18 16:00:00+00:00,2022-11-18 17:00:00+00:00,2022-11-19 17:00:00+00:00,SOL,-0.00082757000000000002,,SOLUSDT
2022-11-20 16:00:00+00:00,2022-11-20 17:00:00+00:00,2022-11-21 17:00:00+00:00,SOL,-0.00112922,,SOLUSDT
2022-11-22 16:00:00+00:00,2022-11-22 17:00:00+00:00,2022-11-23 17:00:00+00:00,SOL,-0.00089583000000000002,,SOLUSDT
2022-11-25 16:00:00+00:00,2022-11-25 17:00:00+00:00,2022-11-26 17:00:00+00:00,BNB,-0.0014553999999999999,,BNBUSDT
2022-11-29 16:00:00+00:00,2022-11-29 17:00:00+00:00,2022-11-30 17:00:00+00:00,SOL,-0.00073298999999999999,,SOLUSDT
2022-12-19 00:00:00+00:00,2022-12-19 01:00:00+00:00,2022-12-20 01:00:00+00:00,BNB,-0.00083635000000000003,,BNBUSDT
2022-12-25 00:00:00+00:00,2022-12-25 01:00:00+00:00,2022-12-26 01:00:00+00:00,SOL,-0.00063471000000000003,,SOLUSDT
2022-12-30 00:00:00+00:00,2022-12-30 01:00:00+00:00,2022-12-31 01:00:00+00:00,SOL,-0.0027776300000000001,,SOLUSDT
2023-01-01 00:00:00+00:00,2023-01-01 01:00:00+00:00,2023-01-02 01:00:00+00:00,SOL,-0.00092451999999999996,,SOLUSDT
2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+00:00,2023-01-04 17:00:00+00:00,SOL,-0.0082011900000000006,,SOLUSDT
2023-01-06 16:00:00+00:00,2023-01-06 17:00:00+00:00,2023-01-07 17:00:00+00:00,SOL,-0.00097063,,SOLUSDT
2023-03-10 00:00:00+00:00,2023-03-10 01:00:00+00:00,2023-03-11 01:00:00+00:00,AVAX,-0.00054533999999999995,,AVAXUSDT
2023-03-18 08:00:00+00:00,2023-03-18 09:00:00+00:00,2023-03-19 09:00:00+00:00,BNB,-0.00099190999999999993,,BNBUSDT
2023-03-22 00:00:00+00:00,2023-03-22 01:00:00+00:00,2023-03-23 01:00:00+00:00,BNB,-0.00197057,,BNBUSDT
2023-03-27 16:00:00+00:00,2023-03-27 17:00:00+00:00,2023-03-28 17:00:00+00:00,BNB,-0.00051772000000000005,,BNBUSDT
2023-04-01 00:00:00+00:00,2023-04-01 01:00:00+00:00,2023-04-02 01:00:00+00:00,BNB,-0.00079807000000000001,,BNBUSDT
2023-05-02 16:00:00+00:00,2023-05-02 17:00:00+00:00,2023-05-03 17:00:00+00:00,BNB,-0.0011908400000000001,,BNBUSDT
2023-05-10 16:00:00+00:00,2023-05-10 17:00:00+00:00,2023-05-11 17:00:00+00:00,BNB,-0.00058031999999999995,,BNBUSDT
2023-06-10 16:00:00+00:00,2023-06-10 17:00:00+00:00,2023-06-11 17:00:00+00:00,ADA,-0.00070381999999999997,,ADAUSDT
2023-07-11 08:00:00+00:00,2023-07-11 09:00:00+00:00,2023-07-12 09:00:00+00:00,BNB,-0.00074001000000000004,,BNBUSDT
2023-07-13 08:00:00+00:00,2023-07-13 09:00:00+00:00,2023-07-14 09:00:00+00:00,BNB,-0.00074145000000000005,,BNBUSDT
2023-07-15 08:00:00+00:00,2023-07-15 09:00:00+00:00,2023-07-16 09:00:00+00:00,BNB,-0.00054038999999999997,,BNBUSDT
2023-08-18 00:00:00+00:00,2023-08-18 01:00:00+00:00,2023-08-19 01:00:00+00:00,AVAX,-0.00104211,,AVAXUSDT
2023-08-21 16:00:00+00:00,2023-08-21 17:00:00+00:00,2023-08-22 17:00:00+00:00,BNB,-0.00073842999999999999,,BNBUSDT
2023-12-13 00:00:00+00:00,2023-12-13 01:00:00+00:00,2023-12-14 01:00:00+00:00,BNB,-0.00052326,253.63999999999999,BNBUSDT
2023-12-16 00:00:00+00:00,2023-12-16 01:00:00+00:00,2023-12-17 01:00:00+00:00,BNB,-0.00062036999999999997,244.55000000000001,BNBUSDT
2023-12-20 00:00:00+00:00,2023-12-20 01:00:00+00:00,2023-12-21 01:00:00+00:00,BNB,-0.0012894600000000001,252.34999999999999,BNBUSDT
2023-12-22 00:00:00+00:00,2023-12-22 01:00:00+00:00,2023-12-23 01:00:00+00:00,BNB,-0.00052915999999999998,271.93396003999999,BNBUSDT
2023-12-24 00:00:00+00:00,2023-12-24 01:00:00+00:00,2023-12-25 01:00:00+00:00,BNB,-0.0006357,270.75999999999999,BNBUSDT
2023-12-27 16:00:00+00:00,2023-12-27 17:00:00+00:00,2023-12-28 17:00:00+00:00,BNB,-0.00082735000000000003,311.39116538000002,BNBUSDT
2023-12-29 16:00:00+00:00,2023-12-29 17:00:00+00:00,2023-12-30 17:00:00+00:00,BNB,-0.00055141999999999995,311.22000000000003,BNBUSDT
2023-12-31 16:00:00+00:00,2023-12-31 17:00:00+00:00,2024-01-01 17:00:00+00:00,BNB,-0.00075370999999999999,315.30530027999998,BNBUSDT
2024-01-05 08:00:00+00:00,2024-01-05 09:00:00+00:00,2024-01-06 09:00:00+00:00,BNB,-0.00058221,317.13999999999999,BNBUSDT
2024-01-08 00:00:00+00:00,2024-01-08 01:00:00+00:00,2024-01-09 01:00:00+00:00,BNB,-0.00087927999999999997,302.02999999999997,BNBUSDT
2024-01-16 08:00:00+00:00,2024-01-16 09:00:00+00:00,2024-01-17 09:00:00+00:00,BNB,-0.00050321000000000003,316.02847266999999,BNBUSDT
2024-01-18 16:00:00+00:00,2024-01-18 17:00:00+00:00,2024-01-19 17:00:00+00:00,BNB,-0.00051548999999999996,314.85000000000002,BNBUSDT
2024-01-22 08:00:00+00:00,2024-01-22 09:00:00+00:00,2024-01-23 09:00:00+00:00,BNB,-0.00052526999999999999,317.52999999999997,BNBUSDT
2024-02-08 16:00:00+00:00,2024-02-08 17:00:00+00:00,2024-02-09 17:00:00+00:00,BNB,-0.00078675999999999996,319.66000000000003,BNBUSDT
2024-02-10 16:00:00+00:00,2024-02-10 17:00:00+00:00,2024-02-11 17:00:00+00:00,BNB,-0.00063223999999999995,320.73000000000002,BNBUSDT
2024-02-13 00:00:00+00:00,2024-02-13 01:00:00+00:00,2024-02-14 01:00:00+00:00,BNB,-0.00126582,327.68000000000001,BNBUSDT
2024-02-22 16:00:00+00:00,2024-02-22 17:00:00+00:00,2024-02-23 17:00:00+00:00,BNB,-0.00089242,380.70999999999998,BNBUSDT
2024-02-24 16:00:00+00:00,2024-02-24 17:00:00+00:00,2024-02-25 17:00:00+00:00,BNB,-0.00081788,379.19136974000003,BNBUSDT
2024-02-28 00:00:00+00:00,2024-02-28 01:00:00+00:00,2024-02-29 01:00:00+00:00,BNB,-0.00062226999999999996,394.27999999999997,BNBUSDT
2024-04-06 00:00:00+00:00,2024-04-06 01:00:00+00:00,2024-04-07 01:00:00+00:00,BNB,-0.00062922,577.65999999999997,BNBUSDT
2024-04-13 08:00:00+00:00,2024-04-13 09:00:00+00:00,2024-04-14 09:00:00+00:00,BNB,-0.00086248,593.12421827000003,BNBUSDT
2024-04-16 08:00:00+00:00,2024-04-16 09:00:00+00:00,2024-04-17 09:00:00+00:00,BNB,-0.00077749999999999998,550.15999999999997,BNBUSDT
2024-04-26 08:00:00+00:00,2024-04-26 09:00:00+00:00,2024-04-27 09:00:00+00:00,BNB,-0.00065052999999999997,607.95000000000005,BNBUSDT
2024-04-28 08:00:00+00:00,2024-04-28 09:00:00+00:00,2024-04-29 09:00:00+00:00,BNB,-0.00078808999999999997,600.07328332999998,BNBUSDT
2024-04-30 16:00:00+00:00,2024-04-30 17:00:00+00:00,2024-05-01 17:00:00+00:00,BNB,-0.00070744999999999998,560.19297370000004,BNBUSDT
2024-05-05 00:00:00+00:00,2024-05-05 01:00:00+00:00,2024-05-06 01:00:00+00:00,BNB,-0.00071748000000000005,584.78999999999996,BNBUSDT
2024-05-14 16:00:00+00:00,2024-05-14 17:00:00+00:00,2024-05-15 17:00:00+00:00,BNB,-0.00129616,568.50999999999999,BNBUSDT
2024-05-17 00:00:00+00:00,2024-05-17 01:00:00+00:00,2024-05-18 01:00:00+00:00,BNB,-0.00053275999999999996,568.48000000000002,BNBUSDT
2024-10-09 08:00:00+00:00,2024-10-09 09:00:00+00:00,2024-10-10 09:00:00+00:00,BNB,-0.00055575000000000004,581.63999999999999,BNBUSDT
2025-01-13 16:00:00+00:00,2025-01-13 17:00:00+00:00,2025-01-14 17:00:00+00:00,BNB,-0.00056181000000000004,676.74518424999997,BNBUSDT
2025-01-20 00:00:00+00:00,2025-01-20 01:00:00+00:00,2025-01-21 01:00:00+00:00,SOL,-0.0007115,252.50999999999999,SOLUSDT
2025-02-04 00:00:00+00:00,2025-02-04 01:00:00+00:00,2025-02-05 01:00:00+00:00,SOL,-0.00055791,216.21112041000001,SOLUSDT
2025-02-24 00:00:00+00:00,2025-02-24 01:00:00+00:00,2025-02-25 01:00:00+00:00,BNB,-0.00052382000000000004,657.65999999999997,BNBUSDT
2025-03-21 08:00:00+00:00,2025-03-21 09:00:00+00:00,2025-03-22 09:00:00+00:00,BNB,-0.00055148999999999997,628.94125674999998,BNBUSDT
2025-04-01 16:00:00+00:00,2025-04-01 17:00:00+00:00,2025-04-02 17:00:00+00:00,BNB,-0.00079717000000000004,614.12904646000004,BNBUSDT
2025-10-11 00:00:00+00:00,2025-10-11 01:00:00+00:00,2025-10-12 01:00:00+00:00,SOL,-0.00302761,187.65000000000001,SOLUSDT
2025-11-14 00:00:00+00:00,2025-11-14 01:00:00+00:00,2025-11-15 01:00:00+00:00,AVAX,-0.00051424999999999995,16.087221530000001,AVAXUSDT
2026-02-06 16:00:00+00:00,2026-02-06 17:00:00+00:00,2026-02-07 17:00:00+00:00,SOL,-0.00055144000000000005,84.390000000000001,SOLUSDT
2026-02-23 08:00:00+00:00,2026-02-23 09:00:00+00:00,2026-02-24 09:00:00+00:00,SOL,-0.00053534999999999998,79.333645700000005,SOLUSDT
