timestamp,n_long,n_short,long_names,short_names,price_pnl,carry_pnl,gross_return,turnover_frac,cost,capital_before,capital_after
2021-01-01 00:00:00+00:00,3,3,"POL,AVAX,ADA","BNB,LINK,XRP",-0.014119983115310819,1.1333333333333342e-05,-0.014108649781977485,0.5,15.0,10000.0,9843.913502180225
2021-01-01 08:00:00+00:00,3,3,"POL,LINK,AVAX","SOL,DOGE,BTC",0.03259957172436249,-0.00025389,0.03234568172436249,0.6666666666666666,19.68782700436045,9843.913502180225,10142.633768239542
2021-01-01 16:00:00+00:00,3,3,"BNB,DOGE,XRP","POL,SOL,AVAX",0.006361920128022706,-0.0008526600000000001,0.005509260128022706,0.8333333333333333,25.356584420598853,10142.633768239542,10173.155591631443
2021-01-02 00:00:00+00:00,3,3,"POL,SOL,ETH","ADA,AVAX,XRP",0.013873748235471606,0.00018858666666666664,0.014062334902138273,0.8333333333333333,25.432888979078605,10173.155591631443,10290.781023593445
2021-01-02 08:00:00+00:00,3,3,"ADA,LINK,ETH","AVAX,BTC,XRP",0.023994612430908488,-7.457333333333331e-05,0.023920039097575153,0.5,15.436171535390168,10290.781023593445,10521.500736486994
2021-01-02 16:00:00+00:00,3,3,"ETH,DOGE,ADA","BNB,BTC,XRP",0.010541507728806762,0.00024102833333333328,0.010782536062140096,0.3333333333333333,10.521500736486994,10521.500736486994,10624.42769686951
2021-01-03 00:00:00+00:00,3,3,"ETH,AVAX,LINK","DOGE,ADA,POL",-0.023633184423829112,-0.00019727666666666664,-0.023830461090495778,0.8333333333333333,26.561069242173772,10624.42769686951,10344.6816167883
2021-01-03 08:00:00+00:00,3,3,"BTC,BNB,ADA","AVAX,DOGE,SOL",0.04129618528144102,-0.0004658116666666666,0.04083037361477435,0.8333333333333333,25.861704041970754,10344.6816167883,10741.197128085685
2021-01-03 16:00:00+00:00,3,3,"DOGE,AVAX,SOL","POL,XRP,BNB",-0.00654091361587474,0.0010001900000000002,-0.005540723615874739,1.0,32.223591384257055,10741.197128085685,10649.459532111077
2021-01-04 00:00:00+00:00,3,3,"AVAX,ADA,LINK","ETH,SOL,BNB",0.0055407181366589255,-0.0004364050000000001,0.005104313136658926,0.6666666666666666,21.298919064222154,10649.459532111077,10682.518789234926
2021-01-04 08:00:00+00:00,3,3,"AVAX,ADA,ETH","LINK,BNB,BTC",0.008526974823207021,0.00033085666666666656,0.008857831489873689,0.5,16.02377818385239,10682.518789234926,10761.118962373526
2021-01-04 16:00:00+00:00,3,3,"AVAX,ETH,LINK","XRP,DOGE,POL",0.03340365286306326,-2.3648333333333295e-05,0.033380004529729924,0.6666666666666666,21.522237924747053,10761.118962373526,11098.802924157771
2021-01-05 00:00:00+00:00,3,3,"SOL,DOGE,ETH","POL,LINK,XRP",-0.02774121157764246,0.0013061316666666666,-0.026435079910975795,0.5,16.648204386236657,11098.802924157771,10788.756977555253
2021-01-05 08:00:00+00:00,3,3,"BTC,BNB,SOL","LINK,ETH,AVAX",-0.034578884909474805,0.0005106583333333334,-0.034068226576141475,0.6666666666666666,21.577513955110504,10788.756977555253,10399.625646413864
2021-01-05 16:00:00+00:00,3,3,"ADA,XRP,BNB","DOGE,SOL,POL",0.026092298060517993,-0.0008281316666666666,0.025264166393851328,0.8333333333333333,25.999064116034656,10399.625646413864,10636.364455062592
2021-01-06 00:00:00+00:00,3,3,"POL,XRP,DOGE","AVAX,SOL,BTC",0.020897496141077776,-0.0013747366666666666,0.019522759474411108,0.6666666666666666,21.272728910125185,10636.364455062592,10822.74291109083
2021-01-06 08:00:00+00:00,3,3,"POL,ADA,DOGE","SOL,BNB,AVAX",0.0018354889738267585,-0.0010222833333333333,0.0008132056404934252,0.3333333333333333,10.822742911090831,10822.74291109083,10820.72128376065
2021-01-06 16:00:00+00:00,3,3,"ETH,SOL,POL","AVAX,DOGE,BTC",0.06613957674542117,0.0015725166666666667,0.06771209341208784,0.6666666666666666,21.6414425675213,10820.72128376065,11531.773531545296
2021-01-07 00:00:00+00:00,3,3,"DOGE,POL,LINK","AVAX,BTC,ETH",-0.02464842935566149,-0.00015624166666666685,-0.024804671022328157,0.5,17.297660297317943,11531.773531545296,11228.434022494004
