date,equity
2021-01-02 00:00:00+00:00,10176.983418525102
2021-01-03 00:00:00+00:00,9922.375158442277
2021-01-04 00:00:00+00:00,10633.358064197379
2021-01-05 00:00:00+00:00,10923.232268853506
2021-01-06 00:00:00+00:00,11008.891127756015
2021-01-07 00:00:00+00:00,11561.135456437176
2021-01-08 00:00:00+00:00,11645.363042503712
2021-01-09 00:00:00+00:00,12942.571691569254
2021-01-10 00:00:00+00:00,13303.882439611807
2021-01-11 00:00:00+00:00,12947.386149585142
2021-01-12 00:00:00+00:00,13351.983219131547
2021-01-13 00:00:00+00:00,13525.899884564311
2021-01-14 00:00:00+00:00,13536.164775871941
2021-01-15 00:00:00+00:00,13346.587235391613
2021-01-16 00:00:00+00:00,12701.532469062553
2021-01-17 00:00:00+00:00,13672.38922176873
2021-01-18 00:00:00+00:00,13197.36214795866
2021-01-19 00:00:00+00:00,13006.183480693504
2021-01-20 00:00:00+00:00,12805.503573514869
2021-01-21 00:00:00+00:00,12872.97892078312
2021-01-22 00:00:00+00:00,12635.777026140791
2021-01-23 00:00:00+00:00,12723.197930239585
2021-01-24 00:00:00+00:00,12282.947569306429
2021-01-25 00:00:00+00:00,11974.488952096557
2021-01-26 00:00:00+00:00,12149.823058151942
2021-01-27 00:00:00+00:00,12084.105565062784
2021-01-28 00:00:00+00:00,12061.80774393863
2021-01-29 00:00:00+00:00,21229.471259605565
2021-01-30 00:00:00+00:00,21542.635711150717
2021-01-31 00:00:00+00:00,19898.356538042197
2021-02-01 00:00:00+00:00,21017.17768986799
2021-02-02 00:00:00+00:00,21055.088180558556
2021-02-03 00:00:00+00:00,21089.433683010866
2021-02-04 00:00:00+00:00,21017.384722308987
2021-02-05 00:00:00+00:00,20243.254058769005
2021-02-06 00:00:00+00:00,19659.62174338253
2021-02-07 00:00:00+00:00,21131.13075960065
2021-02-08 00:00:00+00:00,21608.456709800368
2021-02-09 00:00:00+00:00,22425.94655617755
2021-02-10 00:00:00+00:00,22910.727725938174
2021-02-11 00:00:00+00:00,23591.82909479824
2021-02-12 00:00:00+00:00,22548.392983720794
2021-02-13 00:00:00+00:00,23019.211121660323
2021-02-14 00:00:00+00:00,24108.423664796344
2021-02-15 00:00:00+00:00,24821.472599907745
2021-02-16 00:00:00+00:00,24804.837154708213
2021-02-17 00:00:00+00:00,24226.587832112935
2021-02-18 00:00:00+00:00,23940.685147282406
2021-02-19 00:00:00+00:00,24605.850904960083
2021-02-20 00:00:00+00:00,24670.60079301124
2021-02-21 00:00:00+00:00,24526.06467988324
2021-02-22 00:00:00+00:00,23761.47328540517
2021-02-23 00:00:00+00:00,22900.02017201809
2021-02-24 00:00:00+00:00,23776.34388860266
2021-02-25 00:00:00+00:00,24583.611403554904
2021-02-26 00:00:00+00:00,24950.541462044774
2021-02-27 00:00:00+00:00,24088.846331637713
2021-02-28 00:00:00+00:00,23763.133636332903
2021-03-01 00:00:00+00:00,22877.723850488852
2021-03-02 00:00:00+00:00,23539.16763618008
2021-03-03 00:00:00+00:00,23732.061466643263
2021-03-04 00:00:00+00:00,23575.071613651577
2021-03-05 00:00:00+00:00,23993.64931708153
2021-03-06 00:00:00+00:00,23673.224309740028
2021-03-07 00:00:00+00:00,23381.601323735704
2021-03-08 00:00:00+00:00,23324.000117771127
2021-03-09 00:00:00+00:00,24139.188016534827
2021-03-10 00:00:00+00:00,23379.17326381158
2021-03-11 00:00:00+00:00,24122.648067721733
2021-03-12 00:00:00+00:00,21792.744526205068
2021-03-13 00:00:00+00:00,22173.98136795255
2021-03-14 00:00:00+00:00,22918.9136003633
2021-03-15 00:00:00+00:00,22857.71271465873
2021-03-16 00:00:00+00:00,22479.805639144015
2021-03-17 00:00:00+00:00,22442.98566968386
2021-03-18 00:00:00+00:00,23257.628256422537
2021-03-19 00:00:00+00:00,23638.19167245241
2021-03-20 00:00:00+00:00,23032.31672724161
2021-03-21 00:00:00+00:00,22502.7844849328
2021-03-22 00:00:00+00:00,22857.7225742976
2021-03-23 00:00:00+00:00,23298.542919085743
2021-03-24 00:00:00+00:00,23260.251901908367
2021-03-25 00:00:00+00:00,23359.1053603391
2021-03-26 00:00:00+00:00,22884.731515319138
2021-03-27 00:00:00+00:00,22988.24580201238
2021-03-28 00:00:00+00:00,23457.93302987188
2021-03-29 00:00:00+00:00,23078.334951679542
2021-03-30 00:00:00+00:00,22741.143643525294
2021-03-31 00:00:00+00:00,23447.226550542022
2021-04-01 00:00:00+00:00,23895.806527837587
2021-04-02 00:00:00+00:00,24535.68984105381
2021-04-03 00:00:00+00:00,24082.550592152005
2021-04-04 00:00:00+00:00,24837.967660174083
2021-04-05 00:00:00+00:00,25010.37732161057
2021-04-06 00:00:00+00:00,24776.563182480295
2021-04-07 00:00:00+00:00,25078.68164451251
2021-04-08 00:00:00+00:00,25717.645515204764
2021-04-09 00:00:00+00:00,25539.92978552156
2021-04-10 00:00:00+00:00,25324.221125123804
2021-04-11 00:00:00+00:00,23635.938245383044
2021-04-12 00:00:00+00:00,22919.94208100173
