rebalance_date,weighted_return,turnover_frac,cost,net_pnl
2021-12-01 00:00:00+00:00,0.0061314708870995535,0.49999999999999994,14.999999999999998,46.31470887099567
2021-12-08 00:00:00+00:00,-0.013547914115817346,0.6666666666666666,20.092629417741993,-156.19923827399907
2021-12-15 00:00:00+00:00,0.06377089100003241,0.9999999999999999,29.670346411790984,601.0311292413826
2021-12-22 00:00:00+00:00,0.013765916190674132,0.8333333333333335,26.227866499595955,118.19237833785701
2021-12-29 00:00:00+00:00,-0.06684485427632243,1.0,31.82801693452871,-741.007734898827
2022-01-05 00:00:00+00:00,0.008976913025014226,0.8333333333333334,24.670828108193525,63.91632316473624
2022-01-12 00:00:00+00:00,0.016052011266142252,0.49999999999999994,14.898371349663215,144.53417848497884
2022-01-19 00:00:00+00:00,-0.028533582970199395,0.6666666666666666,20.15356348985425,-307.68025148132256
2022-01-26 00:00:00+00:00,0.0440039567379773,0.6666666666666666,19.5382029868916,410.34091649960646
2022-02-02 00:00:00+00:00,-0.0672215557814107,1.0,30.538327229836224,-714.8162830136389
2022-02-09 00:00:00+00:00,-0.011658315967300843,0.9999999999999999,28.393878380795304,-138.73548028093683
2022-02-16 00:00:00+00:00,0.006066160872882302,0.8333333333333333,23.31472661662708,33.25762632886472
2022-02-23 00:00:00+00:00,0.0148264157353587,0.8333333333333334,23.397870682449245,115.36475254161269
2022-03-02 00:00:00+00:00,-0.013773301071966879,0.49999999999999994,14.211769538281962,-144.70708994905908
2022-03-09 00:00:00+00:00,0.005486389257956284,0.8333333333333334,23.32451483893063,27.8624322248088
2022-03-16 00:00:00+00:00,0.019669901294536163,0.8333333333333333,23.394170919492648,160.67024222207874
2022-03-23 00:00:00+00:00,0.028601492864651815,0.6666666666666666,19.03667722003828,253.20201661776446
2022-03-30 00:00:00+00:00,-0.014551752321496896,1.0,29.31462187991071,-171.50766087817465
2022-04-06 00:00:00+00:00,-0.008725995606131357,0.49999999999999994,14.40004944863809,-98.16989492656467
2022-04-13 00:00:00+00:00,0.01034106641047694,0.49999999999999994,14.252794606248242,84.00660243248785
2022-04-20 00:00:00+00:00,0.013589138900393758,0.8333333333333334,23.96467418316163,106.29904028790224
2022-04-27 00:00:00+00:00,-0.0013861129263279186,0.3333333333333333,9.692168713552553,-23.12660905156008
2022-05-04 00:00:00+00:00,-0.0185147798631297,1.0,29.00712631350298,-208.0273123656716
2022-05-11 00:00:00+00:00,0.0210783706768786,0.8333333333333334,23.652536980338308,175.77023978772195
2022-05-18 00:00:00+00:00,0.00867364186808863,0.9999999999999999,28.910355095769127,54.67566703088778
2022-05-25 00:00:00+00:00,-0.015067349853422446,0.8333333333333334,24.22865174738483,-170.2532806892159
2022-06-01 00:00:00+00:00,-0.015875025685268794,0.8333333333333334,23.80301854566179,-174.9524308653854
2022-06-08 00:00:00+00:00,-0.015036989257425762,0.6666666666666666,18.69250997479866,-159.2320458174854
2022-06-15 00:00:00+00:00,0.010236772624664433,0.8333333333333334,22.967557353954614,71.07790759659292
2022-06-22 00:00:00+00:00,-0.00019570701949047156,0.5,13.887151273767657,-15.699026597101692
2022-06-29 00:00:00+00:00,-0.018871459302423677,0.8333333333333334,23.106004556453343,-197.52361440794448
2022-07-06 00:00:00+00:00,-0.00852933697352818,0.8333333333333333,22.612195520433477,-99.75900964246466
2022-07-13 00:00:00+00:00,0.0348936617149378,0.8333333333333334,22.362797996327316,289.7651653170069
2022-07-20 00:00:00+00:00,-0.00037833657175180904,0.3333333333333333,9.234884363847934,-12.728778854590928
2022-07-27 00:00:00+00:00,0.007099190519114357,0.5,13.833233377490014,51.636606117292104
2022-08-03 00:00:00+00:00,-0.009861253880687228,0.6666666666666666,18.54758438222127,-109.99880361549731
2022-08-10 00:00:00+00:00,0.02134280297097202,1.0,27.491380162485413,168.0896565735202
2022-08-17 00:00:00+00:00,-0.05595320014042896,0.5,13.997824566102986,-536.1465442179506
2022-08-24 00:00:00+00:00,0.00705385715088863,0.9999999999999999,26.387209499552117,35.656659307252994
2022-08-31 00:00:00+00:00,0.0003554083643113985,0.6666666666666666,17.66278631831592,-14.52403532103017
2022-09-07 00:00:00+00:00,0.02554215384205997,0.6666666666666666,17.63373824767386,207.56808931867636
2022-09-14 00:00:00+00:00,0.07529138028279958,0.49999999999999994,13.536655819733408,665.9256782342127
2022-09-21 00:00:00+00:00,0.0489178772457174,0.8333333333333334,24.22590722847455,449.8060751589892
2022-09-28 00:00:00+00:00,-0.024592156629812623,0.8333333333333334,25.350422416372023,-274.71904589450605
2022-10-05 00:00:00+00:00,0.022115559396802098,0.9999999999999999,29.5963497619629,188.58359393444334
2022-10-12 00:00:00+00:00,0.004325293323130234,0.8333333333333333,25.13508378647186,18.35156024470598
