asset,partition,n_blocks,strategy_final,bh_final,strategy_beats_bh
BTC,development,3,0.9252796491205425,0.9804114735133853,False
BTC,validation,7,1.8858584992018883,2.297284348375539,False
BTC,test,7,1.3982112760238636,3.8368429446191343,False
ETH,development,3,0.2723483486997376,0.22643758765778402,True
ETH,validation,7,3.8774707709583036,9.146822665749026,False
ETH,test,7,0.6133880420343539,1.5766616125431128,False
SOL,validation,5,1.0807394911870134,3.0225860239502804,False
SOL,test,7,0.7610827740753892,7.4274274274274275,False
XRP,development,3,0.4022962230924705,0.3193690413135593,True
XRP,validation,7,2.0942561499763808,1.7555037555037554,True
XRP,test,7,0.7459165741366768,3.147623265426631,False
