asset,start,end,risk_off_days,risk_off_fraction,trades,final,buy_hold,dca,momentum,random,double_cost,delay_2d,best_excluded,top_block_pct,sharpe,sortino,max_drawdown,test_final,test_buy_hold,test_trades
BTC,2018-01-01,2026-07-27,726,0.2319488817891374,8,242261.76023820508,46344.780518358595,39941.66037721917,84689.48713366143,19537.395513430827,236516.66474007693,203069.91960538135,99657.90680418893,0.8181890363021855,0.9521050396014934,1.4097549937629859,-0.6334142876781377,17244.871118906463,15032.99363290963,2
ETH,2018-01-01,2026-07-27,726,0.2319488817891374,8,310623.4048304713,25741.27110993787,34753.85778180409,127304.60327323966,13795.498798281795,303257.1530417031,284355.93942037976,9195.302152269971,0.7606663690723764,0.912150201355434,1.35530957527431,-0.6961145516780185,9877.99671052696,8268.923793334221,2
SOL,2020-08-11,2026-07-27,505,0.23197060174552137,6,597731.4437260241,259570.99438561453,40615.94868993892,904985.4845900396,1199399.7946259663,587068.4763646645,439972.1230670725,194841.74303847022,1.9158679213944616,1.1467788839052586,1.8897639125384638,-0.7505485449969395,6797.215306711129,7272.683189136861,2
XRP,2018-05-04,2026-07-27,625,0.2078483538410376,7,58026.832290261904,21258.129805292065,22385.074054116783,37077.29762569797,5245.438390004429,56820.9683679664,56473.52581228784,16191.10869168947,1.9604525229670346,0.6724585049186294,1.1445969460443084,-0.7161264639946364,16115.714360057877,17268.992530700296,2
