entry_time,exit_time,entry_price,exit_price,gross_return,capital_at_entry,capital_at_exit,trade_return,asset
2020-11-11 00:00:00+00:00,2020-11-27 00:00:00+00:00,15297.21,17149.47,0.12108482527205955,9985.0,11177.240932371004,0.11940319803415167,BTC
2020-11-30 00:00:00+00:00,2020-12-10 00:00:00+00:00,18185.0,18541.29,0.019592521308771014,11160.475070972447,11362.068211241558,0.018063132526807912,BTC
2020-12-18 00:00:00+00:00,2021-01-21 00:00:00+00:00,22797.15,35468.23,0.5558186001320341,11345.025108924696,17624.324881804856,0.5534848722318364,BTC
2021-02-14 00:00:00+00:00,2021-02-25 00:00:00+00:00,47156.78,49676.21,0.05342667586718178,17597.88839448215,18510.277946070466,0.05184653585338106,BTC
2021-07-27 00:00:00+00:00,2021-09-07 00:00:00+00:00,37241.33,52666.2,0.4141868724881736,18482.51252915136,26098.51999944006,0.4120655921794414,BTC
2022-02-09 00:00:00+00:00,2022-02-17 00:00:00+00:00,44043.0,43873.56,-0.003847149376745506,26059.372219440902,25920.17924496573,-0.005341378652680362,BTC
2022-10-29 00:00:00+00:00,2022-11-08 00:00:00+00:00,20591.84,20590.67,-5.6818623299418206e-05,25881.298976098282,25841.00869366678,-0.0015567333953644402,BTC
2022-12-08 00:00:00+00:00,2022-12-16 00:00:00+00:00,16836.64,17356.96,0.030904028357201897,25802.24718062628,26559.741098337126,0.02935767231466624,BTC
2023-01-16 00:00:00+00:00,2023-02-06 00:00:00+00:00,20872.99,22932.91,0.09868830483797472,26519.90148668962,29093.399950467785,0.09704027238071777,BTC
2023-03-14 00:00:00+00:00,2023-04-20 00:00:00+00:00,24112.27,28797.1,0.19429236650054094,29049.759850542086,34641.86557851905,0.19250092795079032,BTC
2023-07-03 00:00:00+00:00,2023-07-06 00:00:00+00:00,30617.02,30504.8,-0.003665281598274462,34589.90278015127,34411.426364436076,-0.005159783675876994,BTC
2023-10-19 00:00:00+00:00,2023-12-29 00:00:00+00:00,28320.0,42563.76,0.5029576271186441,34359.809224889425,51563.875334877775,0.5007031906779662,BTC
2024-01-01 00:00:00+00:00,2024-01-12 00:00:00+00:00,42283.58,46339.16,0.0959138275425118,51486.52952187546,56340.16243574627,0.09426995680119798,BTC
2024-02-18 00:00:00+00:00,2024-03-16 00:00:00+00:00,51642.64,69499.84,0.3457840265331129,56255.65219209265,75594.39618513732,0.34376535049331336,BTC
2024-07-19 00:00:00+00:00,2024-07-31 00:00:00+00:00,63987.92,66188.0,0.034382739742126356,75481.00459085962,77959.13395469062,0.03283116563251309,BTC
2024-09-19 00:00:00+00:00,2024-10-01 00:00:00+00:00,61759.98,63327.6,0.025382456406235807,77842.19525375859,79698.29434928078,0.023844382721626367,BTC
2024-10-18 00:00:00+00:00,2024-12-21 00:00:00+00:00,67421.78,97805.44,0.45065051679145823,79578.74690775687,115267.78890186314,0.44847454101627116,BTC
2025-05-01 00:00:00+00:00,2025-05-30 00:00:00+00:00,94172.0,105589.75,0.1212435755850996,115094.88721851035,128855.82877213167,0.11956171022172213,BTC
2025-07-09 00:00:00+00:00,2025-07-31 00:00:00+00:00,108922.99,117840.29,0.08186793256409862,128662.54502897349,138987.0877665474,0.08024513066525252,BTC
2025-09-16 00:00:00+00:00,2025-09-21 00:00:00+00:00,115349.71,115685.63,0.0029121876422576027,138778.60713489758,138973.98234488614,0.0014078193607942602,BTC
