pair,n_trades_total,n_trades_test_partition,final_strategy,final_bh_alt,final_bh_btc,final_static_blend,final_doubled_cost,final_random_control,concentration_frac,dev_ret,val_ret,test_ret,dev_bh_alt_ret,val_bh_alt_ret,test_bh_alt_ret,beats_bh_alt,beats_bh_btc,beats_blend,beats_cash,survives_doubled_cost,beats_random_control,under_concentration_cap,has_enough_test_trades
ETH/BTC,54,12,24685.039399473535,22234.97620865893,74708.23695391841,48471.60658128867,20985.506131949925,87806.73009972191,1.471524724184021,0.5252368431447174,2.4357673636618253,-0.5289437316714407,0.405310462315694,1.8744032839239888,-0.44955150429299406,True,False,False,True,True,False,False,True
SOL/BTC,34,13,17047.244724615943,259186.81011597006,58382.99017973898,158784.90014785453,15390.62494359404,146073.53121692204,1.9268738305089856,-0.7509585520814809,7.814481010404403,-0.2234206882587807,2.482604443202467,13.705115346038058,-0.4938953686651659,False,False,False,True,True,False,False,True
XRP/BTC,45,14,27675.65091129922,20167.60621996902,101315.88900295235,60741.74761146068,24173.295634248527,39424.666423354865,1.3579403848931524,0.05202260661453173,1.6545624982650913,-0.008985938095972035,-0.3588967500283773,0.40483918560047716,1.2392354547364022,True,False,False,True,True,False,False,True
