check,n_trades,final_capital,total_return,sharpe,max_drawdown,win_rate,top_trade_pct_of_pnl
baseline_30bps,250,46102.77094731653,3.6102770947316527,1.507312778444195,-0.25760036011914944,0.6,0.09293128899812401
random_control,252,16567.276085776055,0.6567276085776055,0.5666141009906008,-0.2734682043195834,0.5277777777777778,0.3630474028384638
doubled_cost_60bps,250,42414.86588673527,3.241486588673527,1.507312778444195,-0.26083468557974754,0.6,0.09583855086012597
delayed_1d,250,51801.20152012955,4.180120152012955,1.5705485574433322,-0.25782138840811897,0.62,0.08135203019218296
first_half,121,24967.86628151443,1.496786628151443,1.5276833426762892,-0.25760036011914944,0.6033057851239669,0.15651912750576943
second_half,129,18240.77976624293,0.8240779766242929,1.6105258353086656,-0.12239868346108443,0.5968992248062015,0.16108331560065378
