asset,n_trades,primary_final,doubled_cost_final,exclude_best_trade_final,bh_final,dca_final,primary_total_return,primary_sharpe,primary_sortino,primary_max_dd,bh_total_return,bh_sharpe,dca_total_return,dca_sharpe,beats_bh,beats_dca,beats_bh_doubled_cost,beats_bh_excl_best_trade
BTC,84,0.8434099697869819,0.6555350937731375,0.6071270910121421,6.212096055998238,3.988793244287225,-0.15532301473512078,0.18244312068436766,0.2610270043132803,-0.6473966123338968,5.212096055998238,0.6571395742720499,12401.2495433995,1.7533085240666542,False,False,False,False
ETH,84,0.19669469646942878,0.15287971557572685,0.1199861147997008,1.6718462897526503,3.4978213758625305,-0.8030098182579581,-0.04190148621473031,-0.05960636070700416,-0.9026896883720807,0.6718462897526503,0.48951133529875085,10793.599406315057,1.5975066332486105,False,False,False,False
SOL,53,0.18266829260024406,0.15581525841949817,0.07812979869891537,25.139759444350332,4.057619025211136,-0.8170572933397656,-0.08191550795080454,-0.1182599848403269,-0.9308432579836134,24.139759444350332,1.0497881705621719,inf,,False,False,False,False
XRP,81,0.3244545475810169,0.25446013455176675,0.20089051604590044,1.1550379198266523,2.241907756875626,-0.6750580394782004,0.06899507959604449,0.09996733759054784,-0.8901548145052887,0.15503791982665227,0.5163543243934524,inf,,False,False,False,False
