date,iwm,sma200_prior,risk_on_signal_close,risk_on_actionable
2001-03-14 00:00:00+00:00,32.418556213378906,35.57713249206543,False,False
2001-03-15 00:00:00+00:00,32.29248809814453,35.57627201080322,False,False
2001-03-16 00:00:00+00:00,31.698144912719727,35.568766555786134,False,False
2001-03-19 00:00:00+00:00,32.526615142822266,35.55767685890198,False,False
2001-03-20 00:00:00+00:00,31.77017593383789,35.546886625289915,False,False
2001-03-21 00:00:00+00:00,31.28391456604004,35.5232923412323,False,False
2001-03-22 00:00:00+00:00,30.977731704711914,35.497935104370114,False,False
2001-03-23 00:00:00+00:00,31.788183212280273,35.46926470756531,False,False
2001-03-26 00:00:00+00:00,32.2204475402832,35.44442390441895,False,False
2001-03-27 00:00:00+00:00,32.47980499267578,35.42218988418579,False,False
2001-03-28 00:00:00+00:00,31.608078002929688,35.39802255630493,False,False
2001-03-29 00:00:00+00:00,31.662120819091797,35.3750378036499,False,False
2001-03-30 00:00:00+00:00,32.274478912353516,35.350012149810794,False,False
2001-04-02 00:00:00+00:00,31.518043518066406,35.32893938064575,False,False
2001-04-03 00:00:00+00:00,30.448211669921875,35.30386163711548,False,False
2001-04-04 00:00:00+00:00,30.545488357543945,35.27443717956543,False,False
2001-04-05 00:00:00+00:00,32.0223274230957,35.240932416915896,False,False
2001-04-06 00:00:00+00:00,31.121826171875,35.21358664512634,False,False
2001-04-09 00:00:00+00:00,31.80620574951172,35.18073979377746,False,False
2001-04-10 00:00:00+00:00,32.562625885009766,35.15699856758118,False,False
2001-04-11 00:00:00+00:00,32.34651184082031,35.13826539039612,False,False
2001-04-12 00:00:00+00:00,32.74274826049805,35.11622275352478,False,False
2001-04-16 00:00:00+00:00,32.15199279785156,35.09905880928039,False,False
2001-04-17 00:00:00+00:00,32.670684814453125,35.07437176704407,False,False
2001-04-18 00:00:00+00:00,33.625240325927734,35.055175905227664,False,False
2001-04-19 00:00:00+00:00,33.99986267089844,35.03899752616882,False,False
2001-04-20 00:00:00+00:00,33.60360336303711,35.022101106643674,False,False
2001-04-23 00:00:00+00:00,32.99488067626953,35.00534092903137,False,False
2001-04-24 00:00:00+00:00,33.247013092041016,34.98336388587952,False,False
2001-04-25 00:00:00+00:00,33.96742630004883,34.961477251052855,False,False
2001-04-26 00:00:00+00:00,34.45371627807617,34.94196684837341,False,False
2001-04-27 00:00:00+00:00,34.90399169921875,34.92511076927185,False,False
2001-04-30 00:00:00+00:00,34.940006256103516,34.906716871261594,True,False
2001-05-01 00:00:00+00:00,35.37223815917969,34.887890100479126,True,True
2001-05-02 00:00:00+00:00,35.28218078613281,34.87105731010437,True,True
2001-05-03 00:00:00+00:00,34.84634017944336,34.853105516433715,False,True
2001-05-04 00:00:00+00:00,35.33621597290039,34.836318006515505,True,False
2001-05-07 00:00:00+00:00,35.12010192871094,34.82532320976257,True,True
2001-05-08 00:00:00+00:00,35.30019760131836,34.81012734413147,True,True
2001-05-09 00:00:00+00:00,35.08407211303711,34.80106997489929,True,True
2001-05-10 00:00:00+00:00,35.12010192871094,34.793634519577026,True,True
2001-05-11 00:00:00+00:00,34.91117477416992,34.78601700782776,True,True
2001-05-14 00:00:00+00:00,34.90399169921875,34.77768929481506,True,True
2001-05-15 00:00:00+00:00,35.24617004394531,34.77434065818787,True,True
2001-05-16 00:00:00+00:00,35.92334747314453,34.77582341194153,True,True
2001-05-17 00:00:00+00:00,36.29438400268555,34.77623417854309,True,True
2001-05-18 00:00:00+00:00,36.43484878540039,34.779670324325565,True,True
2001-05-21 00:00:00+00:00,37.065216064453125,34.783530225753786,True,True
2001-05-22 00:00:00+00:00,37.24531555175781,34.79065337181091,True,True
2001-05-23 00:00:00+00:00,36.380802154541016,34.79778540611267,True,True
2001-05-24 00:00:00+00:00,36.759029388427734,34.797279291152954,True,True
2001-05-25 00:00:00+00:00,36.48887634277344,34.79952813148498,True,True
2001-05-29 00:00:00+00:00,36.02061462402344,34.80173581123352,True,True
2001-05-30 00:00:00+00:00,35.55234146118164,34.80263291358948,True,True
2001-05-31 00:00:00+00:00,35.69641876220703,34.79806818962097,True,True
2001-06-01 00:00:00+00:00,36.117855072021484,34.79232922554016,True,True
2001-06-04 00:00:00+00:00,36.589744567871094,34.79137219429016,True,True
2001-06-05 00:00:00+00:00,37.10122299194336,34.79188298225403,True,True
2001-06-06 00:00:00+00:00,36.86709976196289,34.793279581069946,True,True
2001-06-07 00:00:00+00:00,37.02199172973633,34.793784132003786,True,True
2001-06-08 00:00:00+00:00,36.80669021606445,34.794394445419314,True,True
2001-06-11 00:00:00+00:00,36.31907272338867,34.794206838607785,True,True
2001-06-12 00:00:00+00:00,36.40937423706055,34.791859788894655,True,True
2001-06-13 00:00:00+00:00,36.35881042480469,34.78723381996155,True,True
2001-06-14 00:00:00+00:00,35.452186584472656,34.781574926376344,True,True
2001-06-15 00:00:00+00:00,35.66891860961914,34.77104853630066,True,True
2001-06-18 00:00:00+00:00,35.39802551269531,34.75982266426087,True,True
2001-06-19 00:00:00+00:00,35.289649963378906,34.747019357681275,True,True
2001-06-20 00:00:00+00:00,35.705039978027344,34.73177962303161,True,True
2001-06-21 00:00:00+00:00,35.7556037902832,34.71705664634705,True,True
2001-06-22 00:00:00+00:00,35.10905456542969,34.7039239025116,True,True
2001-06-25 00:00:00+00:00,34.86341857910156,34.68839425086975,True,True
2001-06-26 00:00:00+00:00,35.39802551269531,34.668794507980344,True,True
2001-06-27 00:00:00+00:00,35.74113845825195,34.655211210250854,True,True
2001-06-28 00:00:00+00:00,36.19268035888672,34.643120527267456,True,True
2001-06-29 00:00:00+00:00,36.80669021606445,34.6339004611969,True,True
2001-07-02 00:00:00+00:00,35.97593307495117,34.62680323600769,True,True
2001-07-03 00:00:00+00:00,35.75922393798828,34.61443778038025,True,True
2001-07-05 00:00:00+00:00,35.289649963378906,34.60455498695374,True,True
2001-07-06 00:00:00+00:00,34.63947296142578,34.59678217887878,True,True
2001-07-09 00:00:00+00:00,34.96456527709961,34.58274935722351,True,True
2001-07-10 00:00:00+00:00,34.31438064575195,34.57182982444763,False,True
2001-07-11 00:00:00+00:00,34.31438064575195,34.561125936508176,False,False
2001-07-12 00:00:00+00:00,35.156002044677734,34.54807379722595,True,False
2001-07-13 00:00:00+00:00,35.32578659057617,34.539006052017214,True,True
2001-07-16 00:00:00+00:00,34.72978973388672,34.53341511726379,True,True
2001-07-17 00:00:00+00:00,35.416072845458984,34.52568291664124,True,True
2001-07-18 00:00:00+00:00,34.747840881347656,34.51646172523498,True,True
2001-07-19 00:00:00+00:00,35.03681564331055,34.504794092178344,True,True
2001-07-20 00:00:00+00:00,35.03681564331055,34.49759058952331,True,True
2001-07-23 00:00:00+00:00,34.78397750854492,34.49304295539856,True,True
2001-07-24 00:00:00+00:00,34.20602798461914,34.485973024368285,False,True
2001-07-25 00:00:00+00:00,34.404685974121094,34.477858533859255,False,False
2001-07-26 00:00:00+00:00,34.91038513183594,34.47509848594665,True,False
2001-07-27 00:00:00+00:00,34.856201171875,34.47525834083557,True,True
2001-07-30 00:00:00+00:00,34.80203628540039,34.47934077262878,True,True
2001-07-31 00:00:00+00:00,34.758689880371094,34.48371146202087,True,True
2001-08-01 00:00:00+00:00,35.289649963378906,34.49300948143005,True,True
2001-08-02 00:00:00+00:00,35.181270599365234,34.49858822822571,True,True
2001-08-03 00:00:00+00:00,35.09099197387695,34.50228314399719,True,True
2001-08-06 00:00:00+00:00,34.60337448120117,34.50985987663269,True,True
2001-08-07 00:00:00+00:00,34.63947296142578,34.51636843681335,True,True
2001-08-08 00:00:00+00:00,33.86288833618164,34.51791344642639,False,True
2001-08-09 00:00:00+00:00,34.20602798461914,34.51339499473572,False,False
2001-08-10 00:00:00+00:00,34.16990280151367,34.50885884284973,False,False
2001-08-13 00:00:00+00:00,34.45888900756836,34.50671410560608,False,False
2001-08-14 00:00:00+00:00,34.56724548339844,34.50987240791321,True,False
2001-08-15 00:00:00+00:00,34.523887634277344,34.51094445228577,True,True
2001-08-16 00:00:00+00:00,34.747840881347656,34.51168791770935,True,True
2001-08-17 00:00:00+00:00,34.20602798461914,34.51276841163635,False,True
2001-08-20 00:00:00+00:00,34.58531951904297,34.50666670799255,True,False
2001-08-21 00:00:00+00:00,33.98930740356445,34.50234971046448,False,True
2001-08-22 00:00:00+00:00,34.440826416015625,34.49080328941345,False,False
2001-08-23 00:00:00+00:00,33.98930740356445,34.481738061904906,False,False
2001-08-24 00:00:00+00:00,34.711734771728516,34.471813154220584,True,False
2001-08-27 00:00:00+00:00,34.58531951904297,34.46399067878723,True,True
