strategy,final_usd_value,final_cash_usd,final_btc_units,final_btc_equivalent,final_btc_close,event_count,gross_spent_usd,total_costs_usd,unused_cash_usd,total_return_on_committed_capital,max_drawdown
daily_btc_dca,7351.2013473267034,0,0.11530236353688435,0.11530236353688435,63755.860000000001,508,10000.000000000004,15.000000000000002,0,-0.26487986526732965,0.30325158468197932
weekly_monday_btc_dca,7364.4961392685082,0,0.11551089012474317,0.11551089012474317,63755.860000000001,73,10000.000000000002,15,0,-0.26355038607314918,0.29935228768892119
btc_reserve_odds_btc_swing,10000.487661030897,10000.487661030897,0,0.15685597623545344,63755.860000000001,1,59.055118110236222,0.17716535433070868,10000.487661030897,4.8766103089681323e-05,0.053578358148493543
