strategy,final_usd_value,final_cash_usd,final_btc_units,final_btc_equivalent,final_btc_close,event_count,gross_spent_usd,total_costs_usd,unused_cash_usd,total_return_on_committed_capital,max_drawdown,excess_btc_vs_daily,excess_btc_vs_weekly,check
btc_reserve_l24_d30_lv30_h72,9993.0914606226943,9993.0914606226943,0,0.15673996806917348,63755.860000000001,2,214.9939521929019,0.64498185657870577,9993.0914606226943,-0.00069085393773060666,0.04053756659925678,0.041437604532289132,0.041229077944430315,nearby_parameters
btc_reserve_l24_d30_lv30_h168,10004.03004775123,10004.03004775123,0,0.15691153797864588,63755.860000000001,2,294.31762835431027,0.8829528850629309,10004.03004775123,0.00040300477512311694,0.04053756659925678,0.041609174441761529,0.041400647853902711,nearby_parameters
btc_reserve_l24_d30_lv30_h336,9998.8695143928544,9998.8695143928544,0,0.15683059587609444,63755.860000000001,1,39.370078740157481,0.11811023622047245,9998.8695143928544,-0.00011304856071459035,0.04053756659925678,0.041528232339210089,0.041319705751351271,nearby_parameters
btc_reserve_l24_d30_lv35_h72,9998.4153579200956,9998.4153579200956,0,0.15682347250778353,63755.860000000001,1,39.370078740157481,0.11811023622047245,9998.4153579200956,-0.000158464207990483,0.040518460651823518,0.041521108970899182,0.041312582383040364,nearby_parameters
btc_reserve_l24_d30_lv35_h168,9998.9848995016182,9998.9848995016182,0,0.15683240567222556,63755.860000000001,1,39.370078740157481,0.11811023622047245,9998.9848995016182,-0.00010151004983816048,0.040518460651823518,0.041530042135341214,0.041321515547482396,nearby_parameters
btc_reserve_l24_d30_lv35_h336,9998.7928318994236,9998.7928318994236,0,0.15682939312401126,63755.860000000001,1,39.370078740157481,0.11811023622047245,9998.7928318994236,-0.00012071681005765278,0.040518460651823518,0.04152702958712691,0.041318502999268092,nearby_parameters
btc_reserve_l24_d30_lv45_h72,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l24_d30_lv45_h168,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l24_d30_lv45_h336,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l24_d50_lv30_h72,9992.8261017541499,9992.8261017541499,0,0.15673580595970552,63755.860000000001,2,293.69094847124609,0.8810728454137382,9992.8261017541499,-0.00071738982458502409,0.040518460651823518,0.041433442422821168,0.04122491583496235,nearby_parameters
btc_reserve_l24_d50_lv30_h168,10002.606429231371,10002.606429231371,0,0.15688920876028292,63755.860000000001,2,294.26049005276809,0.88278147015830422,10002.606429231371,0.00026064292313709991,0.040518460651823518,0.041586845223398575,0.041378318635539757,nearby_parameters
btc_reserve_l24_d50_lv30_h336,9998.7928318994236,9998.7928318994236,0,0.15682939312401126,63755.860000000001,1,39.370078740157481,0.11811023622047245,9998.7928318994236,-0.00012071681005765278,0.040518460651823518,0.04152702958712691,0.041318502999268092,nearby_parameters
btc_reserve_l24_d50_lv35_h72,9998.4153579200956,9998.4153579200956,0,0.15682347250778353,63755.860000000001,1,39.370078740157481,0.11811023622047245,9998.4153579200956,-0.000158464207990483,0.040518460651823518,0.041521108970899182,0.041312582383040364,nearby_parameters
btc_reserve_l24_d50_lv35_h168,9998.9848995016182,9998.9848995016182,0,0.15683240567222556,63755.860000000001,1,39.370078740157481,0.11811023622047245,9998.9848995016182,-0.00010151004983816048,0.040518460651823518,0.041530042135341214,0.041321515547482396,nearby_parameters
btc_reserve_l24_d50_lv35_h336,9998.7928318994236,9998.7928318994236,0,0.15682939312401126,63755.860000000001,1,39.370078740157481,0.11811023622047245,9998.7928318994236,-0.00012071681005765278,0.040518460651823518,0.04152702958712691,0.041318502999268092,nearby_parameters
btc_reserve_l24_d50_lv45_h72,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l24_d50_lv45_h168,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l24_d50_lv45_h336,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l24_d80_lv30_h72,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l24_d80_lv30_h168,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l24_d80_lv30_h336,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l24_d80_lv35_h72,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l24_d80_lv35_h168,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l24_d80_lv35_h336,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l24_d80_lv45_h72,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l24_d80_lv45_h168,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l24_d80_lv45_h336,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l48_d30_lv30_h72,9993.4095419209862,9993.4095419209862,0,0.15674495712113343,63755.860000000001,2,315.6843667687819,0.94705310030634582,9993.4095419209862,-0.00065904580790143719,0.053578358148493543,0.041442593584249079,0.041234066996390262,nearby_parameters
btc_reserve_l48_d30_lv30_h168,10001.715144909676,10001.715144909676,0,0.15687522911477747,63755.860000000001,2,315.44829095212583,0.94634487285637758,10001.715144909676,0.00017151449096752813,0.053578358148493543,0.041572865577893123,0.041364338990034305,nearby_parameters
btc_reserve_l48_d30_lv30_h336,10002.22910079489,10002.22910079489,0,0.15688329042687041,63755.860000000001,1,59.055118110236222,0.17716535433070868,10002.22910079489,0.00022291007948904706,0.053578358148493543,0.041580926889986061,0.041372400302127244,nearby_parameters
btc_reserve_l48_d30_lv35_h72,10000.723736847553,10000.723736847553,0,0.15685967904515055,63755.860000000001,1,59.055118110236222,0.17716535433070868,10000.723736847553,7.2373684755211443e-05,0.053578358148493543,0.041557315508266204,0.041348788920407387,nearby_parameters
btc_reserve_l48_d30_lv35_h168,10000.487661030897,10000.487661030897,0,0.15685597623545344,63755.860000000001,1,59.055118110236222,0.17716535433070868,10000.487661030897,4.8766103089681323e-05,0.053578358148493543,0.041553612698569095,0.041345086110710277,nearby_parameters
btc_reserve_l48_d30_lv35_h336,10002.22910079489,10002.22910079489,0,0.15688329042687041,63755.860000000001,1,59.055118110236222,0.17716535433070868,10002.22910079489,0.00022291007948904706,0.053578358148493543,0.041580926889986061,0.041372400302127244,nearby_parameters
btc_reserve_l48_d30_lv45_h72,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l48_d30_lv45_h168,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l48_d30_lv45_h336,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l48_d50_lv30_h72,10000.723736847553,10000.723736847553,0,0.15685967904515055,63755.860000000001,1,59.055118110236222,0.17716535433070868,10000.723736847553,7.2373684755211443e-05,0.053578358148493543,0.041557315508266204,0.041348788920407387,nearby_parameters
btc_reserve_l48_d50_lv30_h168,10000.487661030897,10000.487661030897,0,0.15685597623545344,63755.860000000001,1,59.055118110236222,0.17716535433070868,10000.487661030897,4.8766103089681323e-05,0.053578358148493543,0.041553612698569095,0.041345086110710277,nearby_parameters
btc_reserve_l48_d50_lv30_h336,10002.22910079489,10002.22910079489,0,0.15688329042687041,63755.860000000001,1,59.055118110236222,0.17716535433070868,10002.22910079489,0.00022291007948904706,0.053578358148493543,0.041580926889986061,0.041372400302127244,nearby_parameters
btc_reserve_l48_d50_lv35_h72,10000.723736847553,10000.723736847553,0,0.15685967904515055,63755.860000000001,1,59.055118110236222,0.17716535433070868,10000.723736847553,7.2373684755211443e-05,0.053578358148493543,0.041557315508266204,0.041348788920407387,nearby_parameters
btc_reserve_l48_d50_lv35_h168,10000.487661030897,10000.487661030897,0,0.15685597623545344,63755.860000000001,1,59.055118110236222,0.17716535433070868,10000.487661030897,4.8766103089681323e-05,0.053578358148493543,0.041553612698569095,0.041345086110710277,nearby_parameters
btc_reserve_l48_d50_lv35_h336,10002.22910079489,10002.22910079489,0,0.15688329042687041,63755.860000000001,1,59.055118110236222,0.17716535433070868,10002.22910079489,0.00022291007948904706,0.053578358148493543,0.041580926889986061,0.041372400302127244,nearby_parameters
btc_reserve_l48_d50_lv45_h72,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l48_d50_lv45_h168,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l48_d50_lv45_h336,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l48_d80_lv30_h72,10004.45174662269,10004.45174662269,0,0.15691815225490943,63755.860000000001,1,137.79527559055117,0.41338582677165353,10004.45174662269,0.00044517466226889901,0.012590593091964752,0.041615788718025085,0.041407262130166267,nearby_parameters
btc_reserve_l48_d80_lv30_h168,10006.702817969988,10006.702817969988,0,0.1569534599324672,63755.860000000001,1,137.79527559055117,0.41338582677165353,10006.702817969988,0.00067028179699879509,0.015720314280077474,0.041651096395582857,0.041442569807724039,nearby_parameters
btc_reserve_l48_d80_lv30_h336,10011.464302735572,10011.464302735572,0,0.15702814302458742,63755.860000000001,1,137.79527559055117,0.41338582677165353,10011.464302735572,0.0011464302735573195,0.015720314280077474,0.041725779487703077,0.041517252899844259,nearby_parameters
btc_reserve_l48_d80_lv35_h72,10004.45174662269,10004.45174662269,0,0.15691815225490943,63755.860000000001,1,137.79527559055117,0.41338582677165353,10004.45174662269,0.00044517466226889901,0.012590593091964752,0.041615788718025085,0.041407262130166267,nearby_parameters
btc_reserve_l48_d80_lv35_h168,10006.702817969988,10006.702817969988,0,0.1569534599324672,63755.860000000001,1,137.79527559055117,0.41338582677165353,10006.702817969988,0.00067028179699879509,0.015720314280077474,0.041651096395582857,0.041442569807724039,nearby_parameters
btc_reserve_l48_d80_lv35_h336,10011.464302735572,10011.464302735572,0,0.15702814302458742,63755.860000000001,1,137.79527559055117,0.41338582677165353,10011.464302735572,0.0011464302735573195,0.015720314280077474,0.041725779487703077,0.041517252899844259,nearby_parameters
btc_reserve_l48_d80_lv45_h72,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l48_d80_lv45_h168,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l48_d80_lv45_h336,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l72_d30_lv30_h72,9992.2933291376394,9992.2933291376394,0,0.15672744951032955,63755.860000000001,2,373.59052558576536,1.1207715767572961,9992.2933291376394,-0.00077066708623607649,0.034611056646140392,0.0414250859734452,0.041216559385586382,nearby_parameters
btc_reserve_l72_d30_lv30_h168,10002.387717206748,10002.387717206748,0,0.15688577829875949,63755.860000000001,1,118.11023622047244,0.35433070866141736,10002.387717206748,0.00023877172067487962,0.034611056646140392,0.041583414761875145,0.041374888174016328,nearby_parameters
btc_reserve_l72_d30_lv30_h336,10004.51420190906,10004.51420190906,0,0.15691913185562958,63755.860000000001,1,118.11023622047244,0.35433070866141736,10004.51420190906,0.0004514201909060489,0.034611056646140392,0.041616768318745237,0.041408241730886419,nearby_parameters
btc_reserve_l72_d30_lv35_h72,10006.211386541729,10006.211386541729,0,0.15694575191271404,63755.860000000001,1,137.79527559055117,0.41338582677165353,10006.211386541729,0.00062113865417279257,0.012604903119316391,0.04164338837582969,0.041434861787970872,nearby_parameters
btc_reserve_l72_d30_lv35_h168,10006.521539540776,10006.521539540776,0,0.15695061661062648,63755.860000000001,1,137.79527559055117,0.41338582677165353,10006.521539540776,0.00065215395407758336,0.015741969512799159,0.041648253073742134,0.041439726485883316,nearby_parameters
btc_reserve_l72_d30_lv35_h336,10011.374269675858,10011.374269675858,0,0.15702673087110516,63755.860000000001,1,137.79527559055117,0.41338582677165353,10011.374269675858,0.0011374269675858972,0.015741969512799159,0.041724367334220816,0.041515840746361998,nearby_parameters
btc_reserve_l72_d30_lv45_h72,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l72_d30_lv45_h168,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l72_d30_lv45_h336,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l72_d50_lv30_h72,10001.237279403576,10001.237279403576,0,0.1568677338742443,63755.860000000001,1,118.11023622047244,0.35433070866141736,10001.237279403576,0.00012372794035764301,0.034648004406316102,0.04156537033735995,0.041356843749501132,nearby_parameters
btc_reserve_l72_d50_lv30_h168,10003.046528024544,10003.046528024544,0,0.15689611163624087,63755.860000000001,1,118.11023622047244,0.35433070866141736,10003.046528024544,0.00030465280245439708,0.034648004406316102,0.041593748099356523,0.041385221511497705,nearby_parameters
btc_reserve_l72_d50_lv30_h336,10005.651354802796,10005.651354802796,0,0.15693696790856237,63755.860000000001,1,118.11023622047244,0.35433070866141736,10005.651354802796,0.00056513548027958826,0.034648004406316102,0.041634604371678027,0.04142607778381921,nearby_parameters
btc_reserve_l72_d50_lv35_h72,10006.211386541729,10006.211386541729,0,0.15694575191271404,63755.860000000001,1,137.79527559055117,0.41338582677165353,10006.211386541729,0.00062113865417279257,0.012604903119316391,0.04164338837582969,0.041434861787970872,nearby_parameters
btc_reserve_l72_d50_lv35_h168,10006.521539540776,10006.521539540776,0,0.15695061661062648,63755.860000000001,1,137.79527559055117,0.41338582677165353,10006.521539540776,0.00065215395407758336,0.015741969512799159,0.041648253073742134,0.041439726485883316,nearby_parameters
btc_reserve_l72_d50_lv35_h336,10011.374269675858,10011.374269675858,0,0.15702673087110516,63755.860000000001,1,137.79527559055117,0.41338582677165353,10011.374269675858,0.0011374269675858972,0.015741969512799159,0.041724367334220816,0.041515840746361998,nearby_parameters
btc_reserve_l72_d50_lv45_h72,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l72_d50_lv45_h168,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l72_d50_lv45_h336,10000.000000000031,10000.000000000031,0,0.15684832735375276,63755.860000000001,0,0,0,10000.000000000031,3.1086244689504383e-15,0,0.041545963816868411,0.041337437229009594,nearby_parameters
btc_reserve_l72_d80_lv30_h72,10004.45174662269,10004.45174662269,0,0.15691815225490943,63755.860000000001,1,137.79527559055117,0.41338582677165353,10004.45174662269,0.00044517466226889901,0.012590593091964752,0.041615788718025085,0.041407262130166267,nearby_parameters
btc_reserve_l72_d80_lv30_h168,10006.702817969988,10006.702817969988,0,0.1569534599324672,63755.860000000001,1,137.79527559055117,0.41338582677165353,10006.702817969988,0.00067028179699879509,0.015720314280077474,0.041651096395582857,0.041442569807724039,nearby_parameters
