timestamp,kind,gross_spend_usd,fee_slippage_usd,execution_price,reference_open,xrp_bought,cash_after,xrp_after,strategy,entry_time,exit_time,xrp_entry_open,btc_entry_open,xrp_exit_open,btc_exit_open,xrpbtc_entry_ratio,xrpbtc_exit_ratio,return_pct
2025-01-01 09:00:00+00:00,daily_xrp_dca_buy,17.452006980802793,0.026178010471204188,2.1134654500000001,2.1103000000000001,8.2575312413092874,0,8.2575312413092874,daily_xrp_dca,,,,,,,,,
2025-01-02 09:00:00+00:00,daily_xrp_dca_buy,17.452006980802793,0.026178010471204188,2.3823682000000002,2.3788,7.3254868751198039,0,15.583018116429091,daily_xrp_dca,,,,,,,,,
2025-01-03 09:00:00+00:00,daily_xrp_dca_buy,17.452006980802793,0.026178010471204188,2.41691995,2.4133,7.220763344190523,0,22.803781460619614,daily_xrp_dca,,,,,,,,,
2025-01-04 09:00:00+00:00,daily_xrp_dca_buy,17.452006980802793,0.026178010471204188,2.4366495000000001,2.4329999999999998,7.1622968263604561,0,29.966078286980071,daily_xrp_dca,,,,,,,,,
2025-01-05 09:00:00+00:00,daily_xrp_dca_buy,17.452006980802793,0.026178010471204188,2.3857733000000003,2.3822000000000001,7.3150315584480685,0,37.281109845428141,daily_xrp_dca,,,,,,,,,
2025-01-06 09:00:00+00:00,daily_xrp_dca_buy,17.452006980802793,0.026178010471204188,2.3831693999999999,2.3795999999999999,7.3230241126806987,0,44.604133958108839,daily_xrp_dca,,,,,,,,,
2025-01-07 09:00:00+00:00,daily_xrp_dca_buy,17.452006980802793,0.026178010471204188,2.4452624000000003,2.4416000000000002,7.1370692081155749,0,51.741203166224416,daily_xrp_dca,,,,,,,,,
2025-01-08 09:00:00+00:00,daily_xrp_dca_buy,17.452006980802793,0.026178010471204188,2.3280869000000002,2.3246000000000002,7.4962867497784513,0,59.237489916002865,daily_xrp_dca,,,,,,,,,
2025-01-09 09:00:00+00:00,daily_xrp_dca_buy,17.452006980802793,0.026178010471204188,2.32157715,2.3180999999999998,7.5173064917540184,0,66.754796407756885,daily_xrp_dca,,,,,,,,,
2025-01-10 09:00:00+00:00,daily_xrp_dca_buy,17.452006980802793,0.026178010471204188,2.3140659000000001,2.3106,7.5417069932203713,0,74.296503400977258,daily_xrp_dca,,,,,,,,,
2025-01-11 09:00:00+00:00,daily_xrp_dca_buy,17.452006980802793,0.026178010471204188,2.3438104500000003,2.3403,7.4459975979724771,0,81.742500998949737,daily_xrp_dca,,,,,,,,,
2025-01-12 09:00:00+00:00,daily_xrp_dca_buy,17.452006980802793,0.026178010471204188,2.5277860000000003,2.524,6.9040682165352569,0,88.646569215484988,daily_xrp_dca,,,,,,,,,
2025-01-13 09:00:00+00:00,daily_xrp_dca_buy,17.452006980802793,0.026178010471204188,2.4416570000000002,2.4380000000000002,7.1476079485377308,0,95.794177164022713,daily_xrp_dca,,,,,,,,,
2025-01-14 09:00:00+00:00,daily_xrp_dca_buy,17.452006980802793,0.026178010471204188,2.5445110500000001,2.5407000000000002,6.8586878334848622,0,102.65286499750758,daily_xrp_dca,,,,,,,,,
2025-01-15 09:00:00+00:00,daily_xrp_dca_buy,17.452006980802793,0.026178010471204188,2.8505694500000001,2.8462999999999998,6.1222879452394299,0,108.77515294274701,daily_xrp_dca,,,,,,,,,
2025-01-16 09:00:00+00:00,daily_xrp_dca_buy,17.452006980802793,0.026178010471204188,3.0824167,3.0777999999999999,5.6617935468630156,0,114.43694648961002,daily_xrp_dca,,,,,,,,,
