timestamp,kind,gross_spend_usd,fee_slippage_usd,cash_after,strategy,asset,execution_price,reference_open,btc_bought,btc_after,eth_bought,eth_after,sol_bought,sol_after,xrp_bought,xrp_after,btc_sold,eth_sold,sol_sold,xrp_sold,funding_rate,signal_time,planned_exit_time,reference_close
2023-12-18 09:00:00+00:00,cash_contribution,0,0,27.247956403269754,cash_reserve,,,,,,,,,,,,,,,,,,,
2023-12-19 09:00:00+00:00,cash_contribution,0,0,54.495912806539508,cash_reserve,,,,,,,,,,,,,,,,,,,
2023-12-20 09:00:00+00:00,cash_contribution,0,0,81.743869209809262,cash_reserve,,,,,,,,,,,,,,,,,,,
2023-12-21 09:00:00+00:00,cash_contribution,0,0,108.99182561307902,cash_reserve,,,,,,,,,,,,,,,,,,,
2023-12-22 09:00:00+00:00,cash_contribution,0,0,136.23978201634878,cash_reserve,,,,,,,,,,,,,,,,,,,
2023-12-23 09:00:00+00:00,cash_contribution,0,0,163.48773841961855,cash_reserve,,,,,,,,,,,,,,,,,,,
2023-12-24 09:00:00+00:00,cash_contribution,0,0,190.73569482288832,cash_reserve,,,,,,,,,,,,,,,,,,,
2023-12-25 09:00:00+00:00,cash_contribution,0,0,217.98365122615809,cash_reserve,,,,,,,,,,,,,,,,,,,
2023-12-26 09:00:00+00:00,cash_contribution,0,0,245.23160762942786,cash_reserve,,,,,,,,,,,,,,,,,,,
2023-12-27 09:00:00+00:00,cash_contribution,0,0,272.47956403269762,cash_reserve,,,,,,,,,,,,,,,,,,,
2023-12-28 09:00:00+00:00,cash_contribution,0,0,299.72752043596739,cash_reserve,,,,,,,,,,,,,,,,,,,
2023-12-29 09:00:00+00:00,cash_contribution,0,0,326.97547683923716,cash_reserve,,,,,,,,,,,,,,,,,,,
2023-12-30 09:00:00+00:00,cash_contribution,0,0,354.22343324250693,cash_reserve,,,,,,,,,,,,,,,,,,,
2023-12-31 09:00:00+00:00,cash_contribution,0,0,381.4713896457767,cash_reserve,,,,,,,,,,,,,,,,,,,
2024-01-01 09:00:00+00:00,cash_contribution,0,0,408.71934604904646,cash_reserve,,,,,,,,,,,,,,,,,,,
2024-01-02 09:00:00+00:00,cash_contribution,0,0,435.96730245231623,cash_reserve,,,,,,,,,,,,,,,,,,,
2024-01-03 09:00:00+00:00,cash_contribution,0,0,463.215258855586,cash_reserve,,,,,,,,,,,,,,,,,,,
2024-01-04 09:00:00+00:00,cash_contribution,0,0,490.46321525885577,cash_reserve,,,,,,,,,,,,,,,,,,,
2024-01-05 09:00:00+00:00,cash_contribution,0,0,517.71117166212548,cash_reserve,,,,,,,,,,,,,,,,,,,
2024-01-06 09:00:00+00:00,cash_contribution,0,0,544.95912806539525,cash_reserve,,,,,,,,,,,,,,,,,,,
2024-01-07 09:00:00+00:00,cash_contribution,0,0,572.20708446866502,cash_reserve,,,,,,,,,,,,,,,,,,,
2024-01-08 09:00:00+00:00,cash_contribution,0,0,599.45504087193478,cash_reserve,,,,,,,,,,,,,,,,,,,
2024-01-09 09:00:00+00:00,cash_contribution,0,0,626.70299727520455,cash_reserve,,,,,,,,,,,,,,,,,,,
2024-01-10 09:00:00+00:00,cash_contribution,0,0,653.95095367847432,cash_reserve,,,,,,,,,,,,,,,,,,,
2024-01-11 09:00:00+00:00,cash_contribution,0,0,681.19891008174409,cash_reserve,,,,,,,,,,,,,,,,,,,
2024-01-12 09:00:00+00:00,cash_contribution,0,0,708.44686648501386,cash_reserve,,,,,,,,,,,,,,,,,,,
