symbol,direction,signal_timestamp,entry_timestamp,entry_price,entry_execution_price,exit_timestamp,exit_price,exit_execution_price,position_size,allocated_notional,gross_return,fees,slippage,net_return,net_pnl,exit_reason,holding_period_bars,entry_regime,reference_level
SOLUSDT,long,2020-09-05 08:00:00+00:00,2020-09-05 12:00:00+00:00,2.4826,2.4838413,2020-09-06 04:00:00+00:00,2.3119,2.3107440500000003,4026.0221134095805,10000.0,-0.06872419747590157,9.651553321864807,9.651381511369399,-0.07065449095922498,-706.5449095922498,time_exit,4,sideways,
SOLUSDT,long,2020-09-16 12:00:00+00:00,2020-09-16 16:00:00+00:00,2.5414,2.5426707,2020-09-17 08:00:00+00:00,2.531,2.5297345000000004,3654.997515174792,9293.45509040775,-0.004090187533918467,9.269814200979848,9.269804697985455,-0.006085098868681466,-56.55159305678221,time_exit,4,bear,
SOLUSDT,long,2020-10-02 08:00:00+00:00,2020-10-02 12:00:00+00:00,2.4731,2.47433655,2020-10-03 04:00:00+00:00,2.6338,2.6324831,3733.082913620206,9236.903497350968,0.06494670258174857,9.53209058917746,9.532240565782526,0.06288277161609246,580.8420930638066,time_exit,4,bear,
SOLUSDT,long,2020-10-06 20:00:00+00:00,2020-10-07 00:00:00+00:00,2.1721,2.17318605,2020-10-07 16:00:00+00:00,2.2598,2.2586701,4517.673758496091,9817.745590414774,0.0403554955637599,10.010840115142258,10.010939165139764,0.038316149657319866,376.17820933982466,time_exit,4,bear,
SOLUSDT,long,2020-10-20 04:00:00+00:00,2020-10-20 08:00:00+00:00,1.9788,1.9797893999999998,2020-10-20 08:00:00+00:00,1.845847130882059,1.844924207316618,5148.994029240989,10193.923799754599,-0.06715505655194484,9.846713763815014,9.846542620431514,-0.06908691878390703,-704.266785642983,atr_stop,0,bear,
SOLUSDT,long,2020-10-20 08:00:00+00:00,2020-10-20 12:00:00+00:00,1.8506,1.8515252999999998,2020-10-21 04:00:00+00:00,1.9773,1.9763113500000002,5125.318576047337,9489.657014111617,0.06843006682112314,9.809441144159905,9.809603488623797,0.0663626533620688,629.7588189524141,time_exit,4,bear,
SOLUSDT,long,2020-10-26 16:00:00+00:00,2020-10-26 20:00:00+00:00,1.6614,1.6622306999999998,2020-10-27 12:00:00+00:00,1.6861,1.68525695,6087.852807112775,10119.415833064031,0.014859549880771634,10.189506043413923,10.189543635903158,0.01284569354602839,129.99091465636812,time_exit,4,bear,
SOLUSDT,long,2020-10-28 00:00:00+00:00,2020-10-28 04:00:00+00:00,1.5722,1.5729861,2020-10-28 20:00:00+00:00,1.5001,1.49934995,6515.891493078291,10249.406747720399,-0.04583638723825979,10.00950416603638,10.009386717091946,-0.047789562809868444,-489.81466753407346,time_exit,4,bear,
SOLUSDT,long,2020-10-28 20:00:00+00:00,2020-10-29 00:00:00+00:00,1.5166,1.5173583,2020-10-29 16:00:00+00:00,1.4933,1.4925533500000001,6431.962760665247,9759.592080186325,-0.015355634855656622,9.679819822846245,9.679782356662837,-0.01733928355945977,-169.22433450300852,time_exit,4,bear,
SOLUSDT,long,2020-10-29 16:00:00+00:00,2020-10-29 20:00:00+00:00,1.47,1.470735,2020-10-30 04:00:00+00:00,1.3247445534883564,1.3240821812116124,6520.799291295385,9590.367745683317,-0.09876384699598743,9.112220947272423,9.11198415186789,-0.10066410833970318,-965.4058177690605,atr_stop,2,bear,
SOLUSDT,long,2020-10-30 04:00:00+00:00,2020-10-30 08:00:00+00:00,1.3774,1.3780887,2020-10-31 00:00:00+00:00,1.4383,1.43758085,6258.640628802963,8624.961927914257,0.04419164020429161,8.811131921456678,8.811227209259483,0.042148459112247336,363.52885516338404,time_exit,4,bear,
SOLUSDT,long,2020-11-04 00:00:00+00:00,2020-11-04 04:00:00+00:00,1.3534,1.3540766999999998,2020-11-04 20:00:00+00:00,1.392,1.3913039999999999,6638.09574677538,8988.490783077641,0.028506509269378883,9.112049973974607,9.112114031597857,0.026479009386986777,238.00633181995698,time_exit,4,bear,
SOLUSDT,long,2020-12-08 08:00:00+00:00,2020-12-08 12:00:00+00:00,1.6762,1.6770380999999999,2020-12-09 04:00:00+00:00,1.6584,1.6575708000000002,5501.662195329729,9226.497114897596,-0.010613950869690926,9.172945860670026,9.172921378272246,-0.012602340072058968,-116.27545431581044,time_exit,4,bear,
