timestamp,weight,daily_return,turnover,cost,gross_pnl,equity_before,equity,net_pnl,asset
2018-07-19 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,BTC
2018-07-20 00:00:00+00:00,0.0,-0.017234982675279786,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-07-21 00:00:00+00:00,0.0,0.008347495683152184,0.0,0.0,0.0,1.0,1.0,0.0,BTC
2018-07-22 00:00:00+00:00,0.0,-0.0005392780971997801,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-07-23 00:00:00+00:00,0.0,0.0441148430178544,0.0,0.0,0.0,1.0,1.0,0.0,BTC
2018-07-24 00:00:00+00:00,0.0,0.08758310117458712,0.0,0.0,0.0,1.0,1.0,0.0,BTC
2018-07-25 00:00:00+00:00,0.0,-0.02638962325716543,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-07-26 00:00:00+00:00,0.0,-0.03126850008072768,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-07-27 00:00:00+00:00,0.0,0.03391035353535354,0.0,0.0,0.0,1.0,1.0,0.0,BTC
2018-07-28 00:00:00+00:00,0.0,0.004453769095214666,0.0,0.0,0.0,1.0,1.0,0.0,BTC
2018-07-29 00:00:00+00:00,0.0,-0.0017069825800239968,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-07-30 00:00:00+00:00,0.0,-0.0045158933138472745,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-07-31 00:00:00+00:00,0.0,-0.05419553898251994,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-08-01 00:00:00+00:00,0.0,-0.016343441215998622,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-08-02 00:00:00+00:00,0.0,-0.010371381456964035,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-08-03 00:00:00+00:00,0.0,-0.014208626162847127,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-08-04 00:00:00+00:00,0.0,-0.05512227077767495,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-08-05 00:00:00+00:00,0.0,0.0020471223308948794,0.0,0.0,0.0,1.0,1.0,0.0,BTC
2018-08-06 00:00:00+00:00,0.0,-0.01272317519884858,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-08-07 00:00:00+00:00,0.0,-0.03096835966903244,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-08-08 00:00:00+00:00,0.0,-0.06474049338845189,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-08-09 00:00:00+00:00,0.0,0.03894828957836127,0.0,0.0,0.0,1.0,1.0,0.0,BTC
2018-08-10 00:00:00+00:00,0.0,-0.059080001041381114,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-08-11 00:00:00+00:00,0.0,0.014378231806263297,0.0,0.0,0.0,1.0,1.0,0.0,BTC
2018-08-12 00:00:00+00:00,0.0,0.012191228027950807,0.0,0.0,0.0,1.0,1.0,0.0,BTC
2018-08-13 00:00:00+00:00,0.0,-0.009825104266897866,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-08-14 00:00:00+00:00,0.0,-0.009328647930391454,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-08-15 00:00:00+00:00,0.0,0.012779408152447935,0.0,0.0,0.0,1.0,1.0,0.0,BTC
2018-08-16 00:00:00+00:00,0.0,0.007114865425487782,0.0,0.0,0.0,1.0,1.0,0.0,BTC
2018-08-17 00:00:00+00:00,0.0,0.04321147066978259,0.0,0.0,0.0,1.0,1.0,0.0,BTC
2018-08-18 00:00:00+00:00,0.0,-0.029847414150526386,0.0,0.0,-0.0,1.0,1.0,0.0,BTC
2018-08-19 00:00:00+00:00,0.0,0.01402169080582838,0.0,0.0,0.0,1.0,1.0,0.0,BTC
