asset,partition,vs_total_return,vs_sharpe,bh_total_return,bh_sharpe,vs_beats_bh
BTC,development,0.38609065232707795,0.9711135355198505,-0.03629418406393614,0.29946977055436746,True
BTC,validation_2020_2024,1.8792309800397828,1.006813236755282,4.872026219126909,1.002173696470502,False
BTC,test_2024_2026,0.36104326507620654,0.5501858959484909,0.4431079537931011,0.5370732958760418,False
ETH,development,0.08594661023458539,0.36465978585372416,-0.7243528181488359,-0.5500881387348756,True
ETH,validation_2020_2024,4.578856408890035,1.4088612962861173,16.449491473579563,1.2625584026265626,False
ETH,test_2024_2026,0.3024786838559439,0.4992238514258618,-0.19536657539837754,0.21681330325256248,True
SOL,validation_2020_2024,2.852844127737682,1.6840644130874498,6.481502184433886,1.1952732255348588,False
SOL,test_2024_2026,-0.08640120470282697,0.026555245558728225,-0.3249021927031207,0.20874271133747543,True
XRP,development,-0.08731877883442452,-0.48963190248039656,-0.6001036269430051,-0.6894428021080673,True
XRP,validation_2020_2024,0.5646237894353796,0.4285898725801393,2.188811188811189,0.7988745797570139,False
XRP,test_2024_2026,0.36198297611527064,0.5294218019550292,0.693835398792501,0.6438880942578199,False
