asset,variant,total_return,cagr,sharpe,sortino,maximum_drawdown,trades,win_rate,profit_factor,exposure
BTC,BTC,5.0186108817827515,0.23301065120770481,1.1437763423534792,0.58970140680953054,0.20740849451567789,147,0.37414965986394561,2.0333580872392396,0.11975058622894905
ETH,ETH,2.7595835814003733,0.16712809459759415,0.739092219732707,0.36265713183803583,0.32573707479026903,146,0.35616438356164382,1.6191436461287276,0.11159667448305266
SOL,SOL,1.5761203313983994,0.17207619698133914,0.63811715430894012,0.29699789068309157,0.34783264046993256,92,0.30434782608695654,1.6071695572722096,0.096011025189495447
