delta_threshold,level_threshold,hold_hours,trade_count,terminal_value,net_return,avg_trade_return,win_rate
0.029999999999999999,0.34999999999999998,48,42,9097.2600952145258,-0.09027399047854745,-0.0056251878393355371,0.5714285714285714
0.029999999999999999,0.34999999999999998,72,36,9700.3412779076334,-0.029965872209236633,-0.00039928061541379275,0.3888888888888889
0.029999999999999999,0.34999999999999998,96,31,8952.221537055093,-0.10477784629449072,-0.0039693351737346274,0.38709677419354838
0.029999999999999999,0.45000000000000001,48,46,9018.2146337689774,-0.098178536623102275,-0.0058426578720673552,0.56521739130434778
0.029999999999999999,0.45000000000000001,72,39,9652.4245810295797,-0.034757541897042055,0.00025771438773202176,0.38461538461538464
0.029999999999999999,0.45000000000000001,96,34,8840.8671079010473,-0.1159132892098953,-0.0060435899453022187,0.35294117647058826
0.050000000000000003,0.34999999999999998,48,13,10210.525869083347,0.02105258690833467,-0.00066394807641351617,0.61538461538461542
0.050000000000000003,0.34999999999999998,72,13,10190.577083805112,0.01905770838051124,-0.0042797227114040621,0.53846153846153844
0.050000000000000003,0.34999999999999998,96,12,10008.459190446663,0.00084591904466635448,-0.0031880050792285897,0.41666666666666669
0.050000000000000003,0.45000000000000001,48,16,10201.499675871577,0.020149967587157702,0.0018838036556657195,0.625
0.050000000000000003,0.45000000000000001,72,15,10215.68974469704,0.021568974469704072,0.0024141484723739265,0.53333333333333333
0.050000000000000003,0.45000000000000001,96,14,10024.490797602839,0.0024490797602838565,-0.0026447409301878022,0.42857142857142855
0.080000000000000002,0.34999999999999998,48,3,10246.470349123827,0.024647034912382626,0.023941684421234493,1
0.080000000000000002,0.34999999999999998,72,3,10297.3862976498,0.029738629764979985,0.02825478806720046,1
0.080000000000000002,0.34999999999999998,96,3,10155.126866445706,0.015512686644570506,0.02586562545427229,0.66666666666666663
0.080000000000000002,0.45000000000000001,48,4,10236.192892399577,0.023619289239957597,0.02080793466114339,0.75
0.080000000000000002,0.45000000000000001,72,4,10243.36602991908,0.024336602991907874,0.017970082442601759,0.75
0.080000000000000002,0.45000000000000001,96,4,10076.781579510858,0.00767815795108584,0.012016260353419822,0.5
