strategy,final_usd_value,final_cash_usd,event_count,gross_spent_usd,total_costs_usd,unused_cash_usd,total_return_on_committed_capital,max_drawdown,avg_trade_return,win_rate,final_btc_equivalent,final_eth_equivalent,final_sol_equivalent,final_xrp_equivalent
cash_reserve,10000.000000000062,10000.000000000062,939,0,0,10000.000000000062,6.2172489379008766e-15,0,0,0,0.15684832735375323,5.2839320909048002,134.77088948787144,9379.9831160304493
daily_btc_dca,8380.7388460914353,0,939,10000.000000000004,14.999999999999993,0,-0.16192611539085644,0.42565676278741138,0,0,0.13145048699980574,4.428325493435473,112.94796288532932,7861.1188876197684
daily_eth_dca,7093.3184359476172,0,939,10000.000000000004,14.999999999999993,0,-0.29066815640523824,0.55111626334627717,0,0,0.11125751320659179,3.7480612914710032,95.597283503337152,6653.5207165815746
daily_sol_dca,5633.5887908923332,0,939,10000.000000000004,14.999999999999993,0,-0.43664112091076668,0.63054143476443114,0,0,0.088361897885031015,2.976750059915739,75.924377235745723,5284.2967741228149
daily_xrp_dca,10337.665460476945,0,939,10000.000000000004,14.999999999999993,0,0.033766546047694357,0.646702855507157,0,0,0.1621445536218466,5.4623522271651943,139.32163693365155,9696.7127478444272
daily_equal_weight_alt_basket,7688.1908957723017,0,2817,10000,14.999999999999996,0,-0.23118091042276978,0.58365174797725994,0,0,0.12058798823782318,4.0623878595173135,103.61443255757818,7211.5100795162753
alt_etf_odds_family_long_alt_short_btc,9209.9342573647045,9209.9342573647045,16,59592.241937577157,357.55345162546291,9209.9342573647045,-0.079006574263529528,0.29862977701977611,-0.0059756852621776334,0.4375,0.14445627833056765,4.8664667177612531,124.12310319898523,8638.9027833830824
