date,nasdaq,sma200_prior,risk_on_signal_close,risk_on_actionable
1971-11-19 00:00:00+00:00,102.95,107.37125,False,False
1971-11-22 00:00:00+00:00,101.79,107.38600000000001,False,False
1971-11-23 00:00:00+00:00,100.31,107.39075000000001,False,False
1971-11-24 00:00:00+00:00,100.4,107.38850000000001,False,False
1971-11-26 00:00:00+00:00,101.64,107.38705,False,False
1971-11-29 00:00:00+00:00,103.08,107.38799999999999,False,False
1971-11-30 00:00:00+00:00,103.97,107.39314999999999,False,False
1971-12-01 00:00:00+00:00,105.06,107.40205,False,False
1971-12-02 00:00:00+00:00,106.15,107.41865,False,False
1971-12-03 00:00:00+00:00,107.26,107.44229999999999,False,False
1971-12-06 00:00:00+00:00,106.92,107.4751,False,False
1971-12-07 00:00:00+00:00,107.26,107.51129999999999,False,False
1971-12-08 00:00:00+00:00,107.71,107.54899999999999,True,False
1971-12-09 00:00:00+00:00,107.97,107.58435,True,True
1971-12-10 00:00:00+00:00,108.81,107.61805,True,True
1971-12-13 00:00:00+00:00,109.16,107.65539999999999,True,True
1971-12-14 00:00:00+00:00,109.07,107.69229999999999,True,True
1971-12-15 00:00:00+00:00,109.45,107.72845,True,True
1971-12-16 00:00:00+00:00,110.01,107.76535,True,True
1971-12-17 00:00:00+00:00,110.52,107.80150000000002,True,True
1971-12-20 00:00:00+00:00,111.5,107.83655,True,True
1971-12-21 00:00:00+00:00,111.73,107.87290000000002,True,True
1971-12-22 00:00:00+00:00,111.97,107.90950000000001,True,True
1971-12-23 00:00:00+00:00,111.94,107.94865,True,True
1971-12-27 00:00:00+00:00,111.7,107.98705,True,True
1971-12-28 00:00:00+00:00,111.93,108.02305,True,True
1971-12-29 00:00:00+00:00,112.57,108.05705,True,True
1971-12-30 00:00:00+00:00,112.97,108.09210000000002,True,True
1971-12-31 00:00:00+00:00,114.12,108.12944999999999,True,True
1972-01-03 00:00:00+00:00,113.65,108.17064999999998,True,True
1972-01-04 00:00:00+00:00,113.93,108.21005,True,True
1972-01-05 00:00:00+00:00,114.83,108.25285,True,True
1972-01-06 00:00:00+00:00,115.72,108.30145,True,True
1972-01-07 00:00:00+00:00,116.05,108.35654999999998,True,True
1972-01-10 00:00:00+00:00,116.1,108.4138,True,True
1972-01-11 00:00:00+00:00,116.64,108.46895,True,True
1972-01-12 00:00:00+00:00,116.9,108.52615,True,True
1972-01-13 00:00:00+00:00,116.42,108.58345000000001,True,True
1972-01-14 00:00:00+00:00,116.74,108.6357,True,True
1972-01-17 00:00:00+00:00,116.93,108.6877,True,True
1972-01-18 00:00:00+00:00,117.66,108.73805,True,True
1972-01-19 00:00:00+00:00,117.45,108.79050000000001,True,True
1972-01-20 00:00:00+00:00,117.32,108.83994999999999,True,True
1972-01-21 00:00:00+00:00,117.21,108.88625,True,True
1972-01-24 00:00:00+00:00,116.49,108.9304,True,True
1972-01-25 00:00:00+00:00,116.3,108.9685,True,True
1972-01-26 00:00:00+00:00,116.39,109.00574999999999,True,True
1972-01-27 00:00:00+00:00,117.37,109.04230000000001,True,True
1972-01-28 00:00:00+00:00,118.44,109.0807,True,True
1972-01-31 00:00:00+00:00,118.87,109.1231,True,True
1972-02-01 00:00:00+00:00,119.58,109.16665,True,True
1972-02-02 00:00:00+00:00,120.47,109.21690000000001,True,True
