strategy,coin,timeframe,regime,status,periods,total_return,annualized_return,sharpe,max_drawdown,win_rate,profit_factor,total_trades,average_trade_duration_bars,calmar
trend_following,BTC,1d,Overall,completed_historical_backtest,3130,7.977806569331074,0.29189903078394597,0.779877127847756,0.4838726394968692,0.33093525179856115,1.8430032529672051,139.0,12.597122302158274,0.6032559127283217
trend_following,BTC,1d,Bear Trend,completed_historical_backtest,734,-0.06217518385910559,-0.03143821991033424,0.16983179044718988,0.47159276821325946,0.4,1.1245396290528524,25.0,13.04,-0.06666391435442354
trend_following,BTC,1d,Bull Trend,completed_historical_backtest,801,3.805406796997973,1.0458031624115964,1.8898279482846791,0.24650606033357647,0.3157894736842105,2.766077828253375,19.0,12.947368421052632,4.242504873902072
trend_following,BTC,1d,Crash/Capitulation,completed_historical_backtest,30,-0.08092268695391502,-0.6420592375790233,-0.6577862717753465,0.217894735833424,,,0.0,,-2.9466486885202414
trend_following,BTC,1d,High Vol Expansion,completed_historical_backtest,37,0.039903013777584206,0.4714545616366401,1.0652210767095345,0.12885186658473535,,,0.0,,3.658888102537521
trend_following,BTC,1d,Range/Chop,completed_historical_backtest,1527,1.084363610160945,0.19205612162160213,0.6055080579155006,0.5374239112178234,0.3157894736842105,1.8975980911379708,95.0,12.410526315789474,0.3573643033232286
trend_following,BTC,1d,Unavailable,completed_historical_backtest,1,0.0,0.0,,0.0,,,0.0,,
trend_following,ETH,1d,Overall,completed_historical_backtest,3130,50.30247122830005,0.5832943578679952,1.0336988245155179,0.5087427906328612,0.424,2.2689261668397958,125.0,14.24,1.1465407836883428
trend_following,ETH,1d,Bear Trend,completed_historical_backtest,883,0.8481155480469982,0.289233582518891,0.7004300893845229,0.5560358761360478,0.4166666666666667,2.6021252221961086,24.0,17.666666666666668,0.5201707208693184
trend_following,ETH,1d,Bull Trend,completed_historical_backtest,713,4.201194600442408,1.3272317488638787,1.760087307511431,0.33947710434265377,0.5,0.719326679919851,10.0,13.8,3.9096355303073027
trend_following,ETH,1d,Crash/Capitulation,completed_historical_backtest,49,0.30419972517260807,6.240763617554636,2.173548001882869,0.26656892820318856,0.0,0.0,1.0,6.0,23.411444310560075
