asset,n_blocks,primary_final,doubled_cost_final,exclude_best_block_final,bh_final,momentum_control_final,random_control_final,top_block_pct_of_pnl,primary_total_return,primary_sharpe,primary_sortino,primary_max_dd,bh_total_return,bh_sharpe,beats_bh,beats_momentum_control,beats_random_control,beats_bh_doubled_cost,beats_bh_excl_best_block,concentration_ok
BTC,392,1.944688257860546,0.5999526829969959,1.3010679905625802,4.731421693077324,13.704333416961134,0.8217542953635779,0.32341266329540624,0.944688257860546,0.3937455723300276,0.6093006458173137,-0.68251050204878,3.7314216930773236,0.6099173381758705,False,False,True,False,False,False
ETH,378,0.732967124672286,0.23653469822667478,0.41120433942643325,1.4049962880475129,16.905777056951106,0.0530840341065817,0.6132876691485086,-0.267032875327714,0.22800455682887089,0.33700546876184323,-0.8343874110666449,0.40499628804751286,0.47698356047911916,False,False,True,False,False,False
SOL,262,2.6618066926470134,1.216528108752397,1.4454914328905841,22.212243676096392,81.66060016335776,2.7412162579514625,0.2777047440314637,1.6618066926470134,0.6037789864813238,0.9362975817654254,-0.8112749863895093,21.212243676096392,1.0241648917204933,False,False,False,False,False,False
XRP,368,1.7350948989286594,0.5752539477954752,0.7584884175110945,1.6190071223556926,5.638719875640428,1.960358132756209,0.5095599833235627,0.7350948989286594,0.42743606292055975,0.7556368833773289,-0.6982187556127328,0.6190071223556926,0.5406319459488259,True,False,False,False,False,False
