asset,n_bars,start,end,n_trades,mean_gross_return_per_trade,mean_hold_hours,primary_final,doubled_cost_final,random_control_final,exclude_best_trade_final,bh_final,cash_final,primary_total_return,primary_sharpe,primary_sortino,primary_max_dd,bh_total_return,top_trade_pnl_share,beats_cash,beats_bh,beats_random_control,beats_cash_doubled_cost,beats_cash_excl_best_trade,concentration_ok
USDC,62710,2018-12-15 03:00:00+00:00,2026-07-27 23:00:00+00:00,26,0.0043819980747799026,44.53846153846154,1.1162805964494003,1.0325194189371851,0.9186380306085653,1.0251709268657567,0.9892754769200356,1.0,0.11628059644940025,0.5623096027203094,0.943328346332888,-0.03768947152806226,-0.01072452307996441,0.7800503927474133,True,True,True,True,True,False
TUSD,67428,2018-05-31 09:00:00+00:00,2026-07-27 23:00:00+00:00,41,0.0023245765883715013,57.36585365853659,1.098809425162503,0.9716366193122489,0.9005975092422142,1.070129180668062,0.9925298804780877,1.0,0.0988094251625029,0.44954891476370173,0.8201344187087078,-0.0642850590563537,-0.007470119521912344,0.28120233741098905,True,True,True,False,True,False
USDP,38766,2021-09-10 04:00:00+00:00,2026-07-27 23:00:00+00:00,10,0.0013376382640345574,12.0,1.0128180709271815,0.9828846184232358,0.9702515390218486,0.9783495573867258,1.0006000600060005,1.0,0.012818070927181457,0.1983221911715339,0.34235497432201695,-0.025679712280873002,0.0006000600060005468,2.6338426040882443,True,True,True,False,False,False
FDUSD,26340,2023-07-26 08:00:00+00:00,2026-07-27 23:00:00+00:00,4,0.009662219020843937,129.5,1.0388336951694201,1.0264421238984955,0.9885671455326539,1.00638152866919,0.9982,1.0,0.038833695169420146,1.3129354808087033,3.419029122555225,-0.005685063323252717,-0.0018000000000000238,0.8343421215820128,True,True,True,True,True,False
