asset,partition,n_trades,strategy_final_relative,bh_final
USDC,development,23,1.0278303795185033,0.9883364633784718
USDC,validation,1,1.088872662300512,1.0004000400040003
USDC,test,2,0.997412556871502,1.000649870025995
TUSD,development,33,1.084377567025967,0.9959163346613545
TUSD,validation,1,1.0060681704715655,0.9969
TUSD,test,7,1.0071970433030946,0.9990976539001405
USDP,development,1,0.9980034957583666,1.0
USDP,validation,6,1.0240189387137477,1.0002000200020003
USDP,test,3,0.9910404713560932,1.0001999400179946
FDUSD,validation,0,1.0,0.9985
FDUSD,test,4,1.0388336951694201,0.999399279134962
