date,lqd,sma200_prior,risk_on_signal_close,risk_on_actionable
2015-08-19 00:00:00+00:00,78.34715270996094,79.35919486999512,False,False
2015-08-20 00:00:00+00:00,78.39447021484375,79.35860507965089,False,False
2015-08-21 00:00:00+00:00,78.41477966308594,79.359026222229,False,False
2015-08-24 00:00:00+00:00,78.19844055175781,79.35898830413818,False,False
2015-08-25 00:00:00+00:00,77.79963684082031,79.35859420776367,False,False
2015-08-26 00:00:00+00:00,77.75232696533203,79.35739280700683,False,False
2015-08-27 00:00:00+00:00,77.82671356201172,79.3534825515747,False,False
2015-08-28 00:00:00+00:00,77.96859741210938,79.35192203521729,False,False
2015-08-31 00:00:00+00:00,77.77257537841797,79.3511039352417,False,False
2015-09-01 00:00:00+00:00,78.2437515258789,79.34933876037597,False,False
2015-09-02 00:00:00+00:00,78.12849426269531,79.35035793304444,False,False
2015-09-03 00:00:00+00:00,78.50137329101562,79.35030632019043,False,False
2015-09-04 00:00:00+00:00,78.67758178710938,79.35304229736329,False,False
2015-09-08 00:00:00+00:00,78.31151580810547,79.35632957458496,False,False
2015-09-09 00:00:00+00:00,78.48098754882812,79.35986358642577,False,False
2015-09-10 00:00:00+00:00,78.3250961303711,79.36276123046875,False,False
2015-09-11 00:00:00+00:00,78.37933349609375,79.36319812774659,False,False
2015-09-14 00:00:00+00:00,78.37255096435547,79.36327980041504,False,False
2015-09-15 00:00:00+00:00,77.78277587890625,79.3616463470459,False,False
2015-09-16 00:00:00+00:00,77.92512512207031,79.35571231842042,False,False
2015-09-17 00:00:00+00:00,78.56912231445312,79.34943508148193,False,False
2015-09-18 00:00:00+00:00,78.80644989013672,79.3477498626709,False,False
2015-09-21 00:00:00+00:00,78.40644836425781,79.34989589691162,False,False
2015-09-22 00:00:00+00:00,78.7453842163086,79.34964527130127,False,False
2015-09-23 00:00:00+00:00,78.69790649414062,79.35046123504638,False,False
2015-09-24 00:00:00+00:00,78.71153259277344,79.35265983581543,False,False
2015-09-25 00:00:00+00:00,78.47422790527344,79.35307502746582,False,False
2015-09-28 00:00:00+00:00,78.6097640991211,79.35197303771973,False,False
2015-09-29 00:00:00+00:00,78.71153259277344,79.3516809463501,False,False
2015-09-30 00:00:00+00:00,78.69790649414062,79.35229496002198,False,False
2015-10-01 00:00:00+00:00,78.68025207519531,79.35221221923828,False,False
2015-10-02 00:00:00+00:00,79.02700805664062,79.35111560821534,False,False
2015-10-05 00:00:00+00:00,78.81620788574219,79.35188510894776,False,False
2015-10-06 00:00:00+00:00,78.97257232666016,79.35150131225586,False,False
2015-10-07 00:00:00+00:00,79.25132751464844,79.3515027999878,False,False
2015-10-08 00:00:00+00:00,78.9385986328125,79.35309627532959,False,False
2015-10-09 00:00:00+00:00,78.97257232666016,79.35186996459962,False,False
2015-10-12 00:00:00+00:00,79.29209899902344,79.35382186889649,False,False
2015-10-13 00:00:00+00:00,79.23094177246094,79.3561051940918,False,False
2015-10-14 00:00:00+00:00,79.54368591308594,79.35778423309326,True,False
2015-10-15 00:00:00+00:00,79.5096664428711,79.36026458740234,True,True
2015-10-16 00:00:00+00:00,79.53687286376953,79.36224334716798,True,True
2015-10-19 00:00:00+00:00,79.53007507324219,79.36409297943115,True,True
2015-10-20 00:00:00+00:00,79.38050079345703,79.36451629638673,True,True
2015-10-21 00:00:00+00:00,79.77481079101562,79.36256771087646,True,True
2015-10-22 00:00:00+00:00,79.94481658935547,79.3609662246704,True,True
2015-10-23 00:00:00+00:00,79.65245819091797,79.35968433380127,True,True
2015-10-26 00:00:00+00:00,79.7952651977539,79.35823345184326,True,True
2015-10-27 00:00:00+00:00,79.81560516357422,79.35643581390381,True,True
2015-10-28 00:00:00+00:00,79.50292205810547,79.35397727966308,True,True
2015-10-29 00:00:00+00:00,78.94540405273438,79.34959095001221,False,True
2015-10-30 00:00:00+00:00,79.14936828613281,79.34172080993652,False,False
