date,hyg,sma200_prior,risk_on_signal_close,risk_on_actionable
2008-01-25 00:00:00+00:00,31.081045150756836,31.3046146774292,False,False
2008-01-28 00:00:00+00:00,30.939266204833984,31.303904542922975,False,False
2008-01-29 00:00:00+00:00,30.97077751159668,31.30238076210022,False,False
2008-01-30 00:00:00+00:00,31.090518951416016,31.30129885673523,False,False
2008-01-31 00:00:00+00:00,31.15350341796875,31.300875387191773,False,False
2008-02-01 00:00:00+00:00,31.170637130737305,31.30084185600281,False,False
2008-02-04 00:00:00+00:00,31.17698097229004,31.30084894180298,False,False
2008-02-05 00:00:00+00:00,30.92640495300293,31.300349102020263,False,False
2008-02-06 00:00:00+00:00,30.86298370361328,31.298686151504516,False,False
2008-02-07 00:00:00+00:00,30.732894897460938,31.29661632537842,False,False
2008-02-08 00:00:00+00:00,30.501367568969727,31.292818984985352,False,False
2008-02-11 00:00:00+00:00,30.260292053222656,31.287624711990357,False,False
2008-02-12 00:00:00+00:00,30.374473571777344,31.28094066619873,False,False
2008-02-13 00:00:00+00:00,30.295196533203125,31.27482752799988,False,False
2008-02-14 00:00:00+00:00,30.444265365600586,31.268303165435793,False,False
2008-02-15 00:00:00+00:00,30.368160247802734,31.262504568099974,False,False
2008-02-19 00:00:00+00:00,30.212717056274414,31.256385431289672,False,False
2008-02-20 00:00:00+00:00,30.29202651977539,31.249473991394044,False,False
2008-02-21 00:00:00+00:00,30.396709442138672,31.24276421546936,False,False
2008-02-22 00:00:00+00:00,30.45061492919922,31.23659278869629,False,False
2008-02-25 00:00:00+00:00,30.54259490966797,31.230570917129516,False,False
2008-02-26 00:00:00+00:00,30.739267349243164,31.22542902946472,False,False
2008-02-27 00:00:00+00:00,30.732894897460938,31.22070037841797,False,False
2008-02-28 00:00:00+00:00,30.688514709472656,31.21584991455078,False,False
2008-02-29 00:00:00+00:00,30.571151733398438,31.210792436599732,False,False
2008-03-03 00:00:00+00:00,30.579450607299805,31.205268182754516,False,False
2008-03-04 00:00:00+00:00,30.54434585571289,31.19936548233032,False,False
2008-03-05 00:00:00+00:00,30.63052749633789,31.193332176208497,False,False
2008-03-06 00:00:00+00:00,30.55070686340332,31.187684860229492,False,False
2008-03-07 00:00:00+00:00,30.486879348754883,31.18148844718933,False,False
2008-03-10 00:00:00+00:00,30.41664695739746,31.174957637786864,False,False
2008-03-11 00:00:00+00:00,30.493236541748047,31.168195791244507,False,False
2008-03-12 00:00:00+00:00,30.486879348754883,31.161771993637085,False,False
2008-03-13 00:00:00+00:00,30.27297592163086,31.15509122848511,False,False
2008-03-14 00:00:00+00:00,30.091047286987305,31.147971143722533,False,False
2008-03-17 00:00:00+00:00,29.950571060180664,31.139581298828126,False,False
2008-03-18 00:00:00+00:00,30.39108657836914,31.130744075775148,False,False
2008-03-19 00:00:00+00:00,30.423017501831055,31.124130668640138,False,False
2008-03-20 00:00:00+00:00,30.56665802001953,31.117541084289552,False,False
