date,gld,sma200_prior,ret60_prior,gld_stress_signal_close,risk_on_actionable
2005-09-06 00:00:00+00:00,44.27000045776367,43.08024997711182,0.046841720387837515,True,True
2005-09-07 00:00:00+00:00,44.33000183105469,43.079699974060055,0.03871425544885487,True,False
2005-09-08 00:00:00+00:00,44.599998474121094,43.07744998931885,0.03623195642791677,True,False
2005-09-09 00:00:00+00:00,44.84000015258789,43.075699977874756,0.04694835848914347,True,False
2005-09-12 00:00:00+00:00,44.88999938964844,43.076149978637694,0.04913426279014654,True,False
2005-09-13 00:00:00+00:00,44.560001373291016,43.075349979400634,0.03290382731937713,True,False
2005-09-14 00:00:00+00:00,44.959999084472656,43.071699981689456,0.021315614999042998,True,False
2005-09-15 00:00:00+00:00,45.41999816894531,43.06949996948242,0.02977552087961355,True,False
2005-09-16 00:00:00+00:00,45.81999969482422,43.070999965667724,0.036749526253971654,True,False
2005-09-19 00:00:00+00:00,46.25,43.07319995880127,0.04803290062870946,True,False
2005-09-20 00:00:00+00:00,46.22999954223633,43.07969995498657,0.05065878053263462,True,False
2005-09-21 00:00:00+00:00,47.060001373291016,43.082849960327145,0.05307512381255597,True,False
2005-09-22 00:00:00+00:00,46.36000061035156,43.092299976348876,0.07173768018276494,True,False
2005-09-23 00:00:00+00:00,46.279998779296875,43.09854997634888,0.06697352810852397,True,False
2005-09-26 00:00:00+00:00,46.56999969482422,43.10989997863769,0.0607379703485329,True,False
2005-09-27 00:00:00+00:00,46.25,43.12384998321533,0.07205343386430862,True,False
2005-09-28 00:00:00+00:00,46.79999923706055,43.137899990081785,0.08313815394920776,True,False
2005-09-29 00:00:00+00:00,47.099998474121094,43.15234998703003,0.106906352607961,True,False
2005-09-30 00:00:00+00:00,46.70000076293945,43.17009998321533,0.11479286329280702,True,False
2005-10-03 00:00:00+00:00,46.41999816894531,43.183649978637696,0.10245514849042103,True,False
2005-10-04 00:00:00+00:00,46.45000076293945,43.19734996795654,0.0984382397689878,True,False
2005-10-05 00:00:00+00:00,46.36000061035156,43.208649978637695,0.09191348761783735,True,False
2005-10-06 00:00:00+00:00,47.209999084472656,43.21874998092651,0.0872420561433267,True,False
2005-10-07 00:00:00+00:00,47.36000061035156,43.23369997024536,0.11475798785025626,True,False
2005-10-10 00:00:00+00:00,47.369998931884766,43.2503999710083,0.13031023593401003,True,False
2005-10-11 00:00:00+00:00,47.38999938964844,43.26589996337891,0.12651604735667776,True,False
2005-10-12 00:00:00+00:00,46.849998474121094,43.28044996261597,0.12806477703089048,True,False
2005-10-13 00:00:00+00:00,47.02000045776367,43.292849960327146,0.11840532720796215,True,False
2005-10-14 00:00:00+00:00,46.79999923706055,43.30964996337891,0.11421800018205697,True,False
2005-10-17 00:00:00+00:00,47.2599983215332,43.324499950408935,0.10221385412547024,True,False
2005-10-18 00:00:00+00:00,47.0,43.3417999458313,0.1133097166583108,True,False
2005-10-19 00:00:00+00:00,46.34000015258789,43.36169994354248,0.10562225019407756,True,False
2005-10-20 00:00:00+00:00,45.97999954223633,43.37969993591309,0.09680473733935835,True,False
2005-10-21 00:00:00+00:00,46.52000045776367,43.39624994277954,0.0834118998604183,True,False
2005-10-24 00:00:00+00:00,46.38999938964844,43.41809993743897,0.08818714521084603,True,False
2005-10-25 00:00:00+00:00,47.060001373291016,43.440849933624264,0.08337224942240562,True,False
2005-10-26 00:00:00+00:00,46.93000030517578,43.46639993667603,0.09111987497911556,True,False
2005-10-27 00:00:00+00:00,47.18000030517578,43.48999994277954,0.08785352269700697,True,False
2005-10-28 00:00:00+00:00,47.220001220703125,43.51289995193481,0.08385025564519122,True,False
