asset,partition,trend_total_return,trend_sharpe,bh_total_return,bh_sharpe,trend_beats_bh
BTC,development,0.568610977685446,0.9047882587149345,-0.03629418406393614,0.29946977055436746,True
BTC,validation_2020_2024,3.1475226149358564,0.9933100145297571,4.872026219126909,1.002173696470502,False
BTC,test_2024_2026,0.42358022207929835,0.5603010039503706,0.4431079537931011,0.5370732958760418,False
ETH,development,0.068638379514123,0.32599165746548553,-0.7243528181488359,-0.5500881387348756,True
ETH,validation_2020_2024,9.568594996748555,1.1946507109535662,16.449491473579563,1.2625584026265626,False
ETH,test_2024_2026,0.39489993544953506,0.5108269439167928,-0.19536657539837754,0.21681330325256248,True
SOL,validation_2020_2024,29.576544641791926,1.760576637490605,6.481502184433886,1.1952732255348588,True
SOL,test_2024_2026,-0.21791393692323668,0.13041414935414367,-0.3249021927031207,0.20874271133747543,True
XRP,development,-0.19830113021177276,-0.39435967020934226,-0.6001036269430051,-0.6894428021080673,True
XRP,validation_2020_2024,-0.5113486578739392,0.24039129769870718,2.188811188811189,0.7988745797570139,False
XRP,test_2024_2026,0.893183144193396,0.6936964158368425,0.693835398792501,0.6438880942578199,True
