asset,n_bars,start,end,n_trades,trend_final,bh_final,trend_doubled_cost_final,trend_total_return,trend_sharpe,trend_sortino,trend_max_dd,bh_total_return,bh_sharpe,bh_max_dd,trend_beats_bh,trend_beats_bh_doubled_cost,concentration_top_trade_frac
BTC,2931,2018-07-19 00:00:00+00:00,2026-07-27 00:00:00+00:00,30,9.676883131421572,8.539253516844557,8.844001091214814,8.676883131421572,0.8671760998514723,1.3116124257734587,-0.6436869243673864,7.539253516844557,0.7460620271885794,-0.7662925431645934,True,True,0.5039723441594692
ETH,2931,2018-07-19 00:00:00+00:00,2026-07-27 00:00:00+00:00,23,16.238461568699684,4.038948289476492,15.155783935275435,15.238461568699684,0.8889187475454027,1.291883385608607,-0.7388646681344324,3.038948289476492,0.6303932647673002,-0.8252378567851777,True,True,0.40836379083555024
SOL,1978,2021-02-26 00:00:00+00:00,2026-07-27 00:00:00+00:00,21,25.83888736044997,5.45740721672232,24.261246630026548,24.83888736044997,1.1540802606076017,1.8940314897626784,-0.6632176712851819,4.45740721672232,0.824899143502484,-0.9626992725584275,True,True,1.2959201805374363
XRP,2808,2018-11-19 00:00:00+00:00,2026-07-27 00:00:00+00:00,47,0.7582826581086541,2.2095336787564768,0.6585598963110086,-0.24171734189134586,0.3220766836811583,0.5366015297147614,-0.9165613188306863,1.2095336787564768,0.5803491321633772,-0.8323958401465106,False,False,
