strategy,final_usd_value,final_cash_usd,final_xrp_units,final_xrp_equivalent,final_xrp_close,event_count,gross_spent_usd,total_costs_usd,avg_trade_return_pct,win_rate,unused_cash_usd,total_return_on_committed_capital,max_drawdown,excess_xrp_vs_daily,excess_xrp_vs_weekly,check
xrp_etf_spread_d80_l50_h48,9744.4870737286456,9744.4870737286456,0,9140.3124225951087,1.0661,9,8513.3784597838094,51.080270758702859,-0.029757356746427585,0,9744.4870737286456,-0.025551292627135402,0.10552984828100331,3871.2725020272846,3838.6281277562448,nearby_parameters
xrp_etf_spread_d80_l50_h72,9741.0054503289866,9741.0054503289866,0,9137.0466657245906,1.0661,9,8531.3238439786528,51.187943063871913,-0.022309292385516832,0.22222222222222221,9741.0054503289866,-0.025899454967101332,0.10575521893912676,3868.0067451567666,3835.3623708857267,nearby_parameters
xrp_etf_spread_d80_l50_h96,9720.6464887801194,9720.6464887801194,0,9117.9499941657614,1.0661,8,8288.0524042275138,49.728314425365078,-0.038638773872700302,0.125,9720.6464887801194,-0.027935351121988083,0.17699000533972853,3848.9100735979373,3816.2656993268974,nearby_parameters
xrp_etf_spread_d80_l55_h48,9851.3021438805772,9851.3021438805772,0,9240.5047780513796,1.0661,4,5835.7621329274334,35.014572797564604,-0.023367147687062904,0,9851.3021438805772,-0.014869785611942299,0.051719747279014405,3971.4648574835555,3938.8204832125157,nearby_parameters
xrp_etf_spread_d80_l55_h72,9846.7194027855294,9846.7194027855294,0,9236.2061746417112,1.0661,4,5802.8854812089457,34.817312887253678,-0.032417384834556133,0,9846.7194027855294,-0.015328059721447018,0.051719747279014405,3967.1662540738871,3934.5218798028473,nearby_parameters
xrp_etf_spread_d80_l55_h96,9821.9091791990359,9821.9091791990359,0,9212.9342268070868,1.0661,4,5765.0130141630543,34.59007808497833,-0.042985215793413384,0,9821.9091791990359,-0.017809082080096461,0.082039914662679791,3943.8943062392627,3911.2499319682229,nearby_parameters
xrp_etf_spread_d80_l60_h48,9894.1418431727834,9894.1418431727834,0,9280.6883436570515,1.0661,2,3462.197571229256,20.773185427375537,-0.032218850666631098,0,9894.1418431727834,-0.010585815682721655,0.051719747279014405,4011.6484230892274,3979.0040488181876,nearby_parameters
xrp_etf_spread_d80_l60_h72,9896.7493879402773,9896.7493879402773,0,9283.1342162463898,1.0661,2,3458.7938793036774,20.752763275822065,-0.036696957953746105,0,9896.7493879402773,-0.010325061205972319,0.051719747279014405,4014.0942956785657,3981.4499214075258,nearby_parameters
xrp_etf_spread_d80_l60_h96,9894.1969098224399,9894.1969098224399,0,9280.7399960814546,1.0661,2,3463.5282125461799,20.781169275277083,-0.030297042286986257,0,9894.1969098224399,-0.010580309017755973,0.051719747279014405,4011.7000755136305,3979.0557012425907,nearby_parameters
xrp_etf_spread_d100_l50_h48,9751.2377014277627,9751.2377014277627,0,9146.6444999791402,1.0661,7,8375.4800076013853,50.252880045608308,-0.029027382708453949,0,9751.2377014277627,-0.024876229857223708,0.10565285451823314,3877.6045794113161,3844.9602051402762,nearby_parameters
