strategy,final_usd_value,final_cash_usd,final_xrp_units,final_xrp_equivalent,final_xrp_close,event_count,gross_spent_usd,total_costs_usd,avg_trade_return_pct,win_rate,unused_cash_usd,total_return_on_committed_capital,max_drawdown
daily_xrp_dca,5617.3234593173574,0,5269.0399205678241,5269.0399205678241,1.0661,573,10000,15,0,0,0,-0.43826765406826429,0.46258126748486306
weekly_monday_xrp_dca,5652.1256267277131,0,5301.6842948388639,5301.6842948388639,1.0661,82,10000,15,0,0,0,-0.43478743732722869,0.45814233837208018
xrp_etf_odds_xrp_btc_spread,9854.7775561527378,9854.7775561527378,0,9243.7647088947924,1.0661,4,5828.3954122337382,34.970372473402428,-0.025428804837902573,0,9854.7775561527378,-0.014522244384726268,0.049673318226202468
