partition,start,end,final_usd_value,final_xrp_equivalent,events,costs_usd,max_drawdown,strategy
development_2025q1,2025-01-01 00:00:00+00:00,2025-04-30 23:00:00+00:00,1917.3360500005977,875.17621416861323,120,3.1413612565445019,0.28298103163311139,daily_xrp_dca
holdout_2025q2_onward,2025-05-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,5617.3234593173574,5269.0399205678241,453,11.858638743455495,0.46258126748486306,daily_xrp_dca
development_2025q1,2025-01-01 00:00:00+00:00,2025-04-30 23:00:00+00:00,1946.8045877615364,888.62725386230443,17,3.0890052356020936,0.22955276779876099,weekly_monday_xrp_dca
holdout_2025q2_onward,2025-05-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,5652.1256267277131,5301.6842948388639,65,11.910994764397905,0.45814233837208018,weekly_monday_xrp_dca
development_2025q1,2025-01-01 00:00:00+00:00,2025-04-30 23:00:00+00:00,2036.8896675374504,929.74697258419326,3,16.361599913203936,0.049673318226202468,xrp_etf_odds_xrp_btc_spread
holdout_2025q2_onward,2025-05-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,9854.7775561527378,9243.7647088947924,1,18.608772560198492,0.035559978465483089,xrp_etf_odds_xrp_btc_spread
