timestamp,kind,gross_spend_usd,fee_slippage_usd,execution_price,reference_open,btc_bought,cash_after,btc_after,strategy,signal_time,entry_time,exit_time,confirmation_time,entry_open,exit_open,event_low,wick_drawdown,support_delta_24h,return_pct
2023-10-01 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,27176.173205000003,27135.470000000001,0.00035690532932510698,0,0.00035690532932510698,daily_btc_dca,,,,,,,,,,
2023-10-02 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,28323.361410000001,28280.939999999999,0.000342449503331274,0,0.00069935483265638103,daily_btc_dca,,,,,,,,,,
2023-10-03 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,27636.532709999999,27595.139999999999,0.00035096012764354741,0,0.0010503149602999284,daily_btc_dca,,,,,,,,,,
2023-10-04 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,27561.209895000004,27519.93,0.00035191927656580375,0,0.0014022342368657321,daily_btc_dca,,,,,,,,,,
2023-10-05 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,27691.094430000001,27649.619999999999,0.00035026860610531214,0,0.0017525028429710443,daily_btc_dca,,,,,,,,,,
2023-10-06 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,27658.105020000003,27616.68,0.00035068639158441784,0,0.002103189234555462,daily_btc_dca,,,,,,,,,,
2023-10-07 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,28048.619915000003,28006.610000000001,0.00034580386047227996,0,0.0024489930950277418,daily_btc_dca,,,,,,,,,,
2023-10-08 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,27953.417325000002,27911.549999999999,0.00034698158492600949,0,0.0027959746799537514,daily_btc_dca,,,,,,,,,,
2023-10-09 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,27787.388655000002,27745.77,0.00034905478769345957,0,0.003145029467647211,daily_btc_dca,,,,,,,,,,
2023-10-10 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,27718.61565,27677.099999999999,0.00034992083190585582,0,0.003494950299553067,daily_btc_dca,,,,,,,,,,
2023-10-11 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,27149.10266,27108.439999999999,0.0003572612019260998,0,0.0038522115014791667,daily_btc_dca,,,,,,,,,,
2023-10-12 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,26843.014215000003,26802.810000000001,0.000361335018855917,0,0.0042135465203350835,daily_btc_dca,,,,,,,,,,
2023-10-13 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,26836.204014999999,26796.009999999998,0.00036142671452733306,0,0.0045749732348624164,daily_btc_dca,,,,,,,,,,
2023-10-14 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,26906.339060000002,26866.040000000001,0.00036048460646755386,0,0.00493545784132997,daily_btc_dca,,,,,,,,,,
2023-10-15 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,26946.13867,26905.779999999999,0.00035995216852072534,0,0.0052954100098506953,daily_btc_dca,,,,,,,,,,
2023-10-16 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,27851.544745000003,27809.830000000002,0.00034825073927965614,0,0.0056436607491303515,daily_btc_dca,,,,,,,,,,
2023-10-17 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,28479.996010000003,28437.34,0.00034056609572982423,0,0.0059842268448601754,daily_btc_dca,,,,,,,,,,
2023-10-18 09:00:00+00:00,daily_btc_dca_buy,9.6993210475266736,0.014548981571290011,28604.362280000001,28561.52,0.00033908537979566777,0,0.0063233122246558427,daily_btc_dca,,,,,,,,,,
