path,kind,coin,timeframe,source,source_symbols,first_timestamp,last_timestamp,rows,sha256
data/funding/ADA_funding.csv.gz,perpetual_funding,ADA,8h,Binance,ADAUSDT,2020-01-19T16:00:00+00:00,2026-07-27T16:00:00.001000+00:00,7144,dbbb834e58da3fccec91ef540177df9643c4bb41fedf5f566cd556cf2ca9f2c1
data/funding/AVAX_funding.csv.gz,perpetual_funding,AVAX,8h,Binance,AVAXUSDT,2020-09-22T16:00:00.004000+00:00,2026-07-27T16:00:00.001000+00:00,6403,97a0f3b480b10ecec2555137cf137b8bf5d1264ecb7b5e9dc167195def213cae
data/funding/BNB_funding.csv.gz,perpetual_funding,BNB,8h,Binance,BNBUSDT,2020-02-10T08:00:00+00:00,2026-07-27T16:00:00.001000+00:00,7079,7a95b8740597aebbbf0d3857696c9f8374a8c53e3934e8f5797df0e98a3de405
data/funding/BTC_funding.csv.gz,perpetual_funding,BTC,8h,Binance,BTCUSDT,2019-09-10T08:00:00+00:00,2026-07-27T16:00:00.001000+00:00,7538,a7c3843751c865955dcbc40d0af2b0985fe4f222903509123e522117397d98b6
data/funding/DOGE_funding.csv.gz,perpetual_funding,DOGE,8h,Binance,DOGEUSDT,2020-07-10T08:00:00.001000+00:00,2026-07-27T16:00:00.001000+00:00,6626,4808282466cbd09303ba24bfa6f9e41bad8fe239cca3882751666de2211648be
data/funding/ETH_funding.csv.gz,perpetual_funding,ETH,8h,Binance,ETHUSDT,2019-11-27T08:00:00+00:00,2026-07-27T16:00:00.001000+00:00,7304,8abe144cad344a8e892de45472367101686f2928755912de1ab85f79dc68d2d3
data/funding/LINK_funding.csv.gz,perpetual_funding,LINK,8h,Binance,LINKUSDT,2020-01-17T08:00:00+00:00,2026-07-27T16:00:00.001000+00:00,7151,cc8a0b0bfbf9278e65eb504455b60ef0aa689a4075eb2b985659f4774141e93a
data/funding/POL_funding.csv.gz,perpetual_funding,POL,8h,Binance,MATICUSDT;POLUSDT,2020-10-22T08:00:00+00:00,2026-07-27T20:00:00.004000+00:00,8352,e477fed5b13ebd46c05b4affe8357efd75db2aa7e9909acba7e55c816850431a
data/funding/SOL_funding.csv.gz,perpetual_funding,SOL,8h,Binance,SOLUSDT,2020-09-13T16:00:00.004000+00:00,2026-07-27T16:00:00.001000+00:00,6505,8647daaefeb6aeb60df38926371f4097dba33be3dd65be9c5fcd14acb3c8ee09
data/funding/XRP_funding.csv.gz,perpetual_funding,XRP,8h,Binance,XRPUSDT,2020-01-06T08:00:00+00:00,2026-07-27T16:00:00.001000+00:00,7184,5bbb2f70c42add98d2805a6e53e28b37d54b077261e5d8bfebae18e3f4c5884c
data/raw/ADA_1d.csv.gz,spot_ohlcv,ADA,1d,Binance,ADAUSDT,2018-04-17T00:00:00+00:00,2026-07-27T00:00:00+00:00,3024,78e102a1cab8827c3674832c8c58c6b13b6043b3c27468d215b0038ede40c18e
data/raw/ADA_1h.csv.gz,spot_ohlcv,ADA,1h,Binance,ADAUSDT,2018-04-17T04:00:00+00:00,2026-07-27T23:00:00+00:00,72484,bbd68812f14034a6d24da08223b9b80498a4de1587950a7a3ddeb43486c144f4
data/raw/ADA_4h.csv.gz,spot_ohlcv,ADA,4h,Binance,ADAUSDT,2018-04-17T04:00:00+00:00,2026-07-27T20:00:00+00:00,18134,54aede37d089be626d393c5a90653928f48c28437b988387b8a74c453b1cdcee
data/raw/AVAX_1d.csv.gz,spot_ohlcv,AVAX,1d,Binance,AVAXUSDT,2020-09-22T00:00:00+00:00,2026-07-27T00:00:00+00:00,2135,03dbbfefbae4eacbea71ebe0e1809424057bd236715cbce0fa3ad8a6430f0068
data/raw/AVAX_1h.csv.gz,spot_ohlcv,AVAX,1h,Binance,AVAXUSDT,2020-09-22T06:00:00+00:00,2026-07-27T23:00:00+00:00,51214,7afe0b9394e16a78f326a0879118afe082498d336fa60effbe6cb338a1bba825
data/raw/AVAX_4h.csv.gz,spot_ohlcv,AVAX,4h,Binance,AVAXUSDT,2020-09-22T04:00:00+00:00,2026-07-27T20:00:00+00:00,12809,5dc689b8b83c44a3bef93812c62919f865c6d1556743047bc8a40a32d843ae2d
data/raw/BNB_1d.csv.gz,spot_ohlcv,BNB,1d,Binance,BNBUSDT,2018-01-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,3130,420c98d4c374f08e5b6aed9cfe8b13ad9723a0264a8e1707823e61328ff606de
data/raw/BNB_1h.csv.gz,spot_ohlcv,BNB,1h,Binance,BNBUSDT,2018-01-01T00:00:00+00:00,2026-07-27T23:00:00+00:00,74998,d5271854db28f6b66b14a5fa29f7ca0fe3c76fb0ce9be364c98db96d0409ef88
data/raw/BNB_4h.csv.gz,spot_ohlcv,BNB,4h,Binance,BNBUSDT,2018-01-01T00:00:00+00:00,2026-07-27T20:00:00+00:00,18764,91702306cdd9e901132f33037f0e809739e55a5e8b7414de2bba667f1ebde826
data/raw/BTC_1d.csv.gz,spot_ohlcv,BTC,1d,Binance,BTCUSDT,2018-01-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,3130,663af61952561de58c1bfe8ebcbef5827eeff1673424f7a65ec40863d6811da0
data/raw/BTC_1h.csv.gz,spot_ohlcv,BTC,1h,Binance,BTCUSDT,2018-01-01T00:00:00+00:00,2026-07-27T23:00:00+00:00,74998,8c594e1fb43e69088efd8d5980ae7e6db1e3d7dba7f943bde82ba54f008eeadc
data/raw/BTC_4h.csv.gz,spot_ohlcv,BTC,4h,Binance,BTCUSDT,2018-01-01T00:00:00+00:00,2026-07-27T20:00:00+00:00,18764,c06bb236b9a99b26e26895e8057440dc0ac79c7d78a07003133a35b319099073
data/raw/DOGE_1d.csv.gz,spot_ohlcv,DOGE,1d,Binance,DOGEUSDT,2019-07-05T00:00:00+00:00,2026-07-27T00:00:00+00:00,2580,47e4a71891b8d14c356539587bd1eff15b304e8946615f772c8fa2695c024c14
data/raw/DOGE_1h.csv.gz,spot_ohlcv,DOGE,1h,Binance,DOGEUSDT,2019-07-05T12:00:00+00:00,2026-07-27T23:00:00+00:00,61864,48503ad3dc7313140f648b9091a7cabe9d9c71a8769a9d5154c08b1552c822c8
data/raw/DOGE_4h.csv.gz,spot_ohlcv,DOGE,4h,Binance,DOGEUSDT,2019-07-05T12:00:00+00:00,2026-07-27T20:00:00+00:00,15475,2efac03e18a4b85f1f75c5a5c316209414b4e261a25aa7a2e65b07e7375cb9a2
data/raw/ETH_1d.csv.gz,spot_ohlcv,ETH,1d,Binance,ETHUSDT,2018-01-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,3130,8b330b99309678d15195967823bc528776ae3aa46bc96ce14afdc7f89f3867dd
data/raw/ETH_1h.csv.gz,spot_ohlcv,ETH,1h,Binance,ETHUSDT,2018-01-01T00:00:00+00:00,2026-07-27T23:00:00+00:00,74998,2de408f963ab72324e508830740f1477818d8c80417b33bbdd4cd4889f221058
data/raw/ETH_4h.csv.gz,spot_ohlcv,ETH,4h,Binance,ETHUSDT,2018-01-01T00:00:00+00:00,2026-07-27T20:00:00+00:00,18764,40e8b10de32c8c8ea8b6e06cab35e99d590b926c3c4848a423d6c12c7eda964d
data/raw/LINK_1d.csv.gz,spot_ohlcv,LINK,1d,Binance,LINKUSDT,2019-01-16T00:00:00+00:00,2026-07-27T00:00:00+00:00,2750,82ca414b23d6f22cdf1f90af8f05731f2b7cc03456cfde2586d01f3b1483e83e
data/raw/LINK_1h.csv.gz,spot_ohlcv,LINK,1h,Binance,LINKUSDT,2019-01-16T10:00:00+00:00,2026-07-27T23:00:00+00:00,65930,e7fd0c7246e0856e5ac254d9d3fe06a6444ce607f9494f019013d17f8e109c12
data/raw/LINK_4h.csv.gz,spot_ohlcv,LINK,4h,Binance,LINKUSDT,2019-01-16T08:00:00+00:00,2026-07-27T20:00:00+00:00,16493,852e49d9515ee1b25dcaf22d617ea4632203dfe161b43cf6cf18a73cba82ce48
data/raw/POL_1d.csv.gz,spot_ohlcv,POL,1d,Binance,MATICUSDT;POLUSDT,2019-04-26T00:00:00+00:00,2026-07-27T00:00:00+00:00,2648,574b6c4aed88269d6f2531c0e35a499522b7d9dc6e41909eeee5128de8929719
data/raw/POL_1h.csv.gz,spot_ohlcv,POL,1h,Binance,MATICUSDT;POLUSDT,2019-04-26T15:00:00+00:00,2026-07-27T23:00:00+00:00,63452,df8ead557b50d30e5e42d57138cf6d61186237b7bb79a8433e0d6d708b038f0f
data/raw/POL_4h.csv.gz,spot_ohlcv,POL,4h,Binance,MATICUSDT;POLUSDT,2019-04-26T12:00:00+00:00,2026-07-27T20:00:00+00:00,15874,9f4458973c2fd88663211cd01a5cdcf83f640727627053840b902161e7b9dd66
data/raw/SOL_1d.csv.gz,spot_ohlcv,SOL,1d,Binance,SOLUSDT,2020-08-11T00:00:00+00:00,2026-07-27T00:00:00+00:00,2177,c4d79f93226994da402cbb61fc6935501c084bdfbcd106ff22b0b9693d031467
data/raw/SOL_1h.csv.gz,spot_ohlcv,SOL,1h,Binance,SOLUSDT,2020-08-11T06:00:00+00:00,2026-07-27T23:00:00+00:00,52222,1ca418b22b2ff84376a7d38b7b3e8e0a9578e2351b176ebcc9f6c33058f6a694
data/raw/SOL_4h.csv.gz,spot_ohlcv,SOL,4h,Binance,SOLUSDT,2020-08-11T04:00:00+00:00,2026-07-27T20:00:00+00:00,13061,91bd3208c49a2c737a53fff9db981e0a33eca2a811647a9f5c5ee1ce0ad25bca
data/raw/XRP_1d.csv.gz,spot_ohlcv,XRP,1d,Binance,XRPUSDT,2018-05-04T00:00:00+00:00,2026-07-27T00:00:00+00:00,3007,30a33d4e18f22a8a212a14dbfa15b71a8986470c27e58d5319e56fe0ce75886e
data/raw/XRP_1h.csv.gz,spot_ohlcv,XRP,1h,Binance,XRPUSDT,2018-05-04T08:00:00+00:00,2026-07-27T23:00:00+00:00,72072,07f195a69b57bd66398d8c51c984bc72253778985d30c1a52d63d0011ccfa0a9
data/raw/XRP_4h.csv.gz,spot_ohlcv,XRP,4h,Binance,XRPUSDT,2018-05-04T08:00:00+00:00,2026-07-27T20:00:00+00:00,18031,36f29afded7e37187568d66671d03ce3956007df497e636e6bf128393a9fd80d
