strategy,final_usd_value,final_cash_usd,final_btc_units,final_btc_equivalent,final_btc_close,event_count,gross_spent_usd,total_costs_usd,unused_cash_usd,total_return_on_committed_capital,max_drawdown,excess_btc_vs_daily,excess_btc_vs_weekly,check
btc_reserve_l24_d30_lv30_h72,9935.0085554872639,9935.0085554872639,0,0.095623899500641193,103896.71000000001,2,2022.5356984072994,6.0676070952218986,9935.0085554872639,-0.0064991444512736418,0.040537566599256891,-0.021663883490130112,-0.022216607129916494,nearby_parameters
btc_reserve_l24_d30_lv30_h168,10037.912301066828,10037.912301066828,0,0.096614342273848977,103896.71000000001,2,2768.7658371109187,8.3062975113327564,10037.912301066828,0.003791230106682919,0.040537566599256891,-0.020673440716922328,-0.02122616435670871,nearby_parameters
btc_reserve_l24_d30_lv30_h336,9989.3650613250793,9989.3650613250793,0,0.096147077817238663,103896.71000000001,1,370.37037037037038,1.1111111111111112,9989.3650613250793,-0.0010634938674920491,0.040537566599256891,-0.021140705173532642,-0.021693428813319024,nearby_parameters
btc_reserve_l24_d30_lv35_h72,9985.0926263591209,9985.0926263591209,0,0.096105955870586471,103896.71000000001,1,370.37037037037038,1.1111111111111112,9985.0926263591209,-0.0014907373640878907,0.040518460651823518,-0.021181827120184835,-0.021734550759971216,nearby_parameters
btc_reserve_l24_d30_lv35_h168,9990.4505360519579,9990.4505360519579,0,0.096157525450535991,103896.71000000001,1,370.37037037037038,1.1111111111111112,9990.4505360519579,-0.0009549463948042014,0.040518460651823518,-0.021130257540235314,-0.021682981180021696,nearby_parameters
btc_reserve_l24_d30_lv35_h336,9988.6436778683601,9988.6436778683601,0,0.09614013454197308,103896.71000000001,1,370.37037037037038,1.1111111111111112,9988.6436778683601,-0.0011356322131640395,0.040518460651823518,-0.021147648448798226,-0.021700372088584607,nearby_parameters
btc_reserve_l24_d30_lv45_h72,9999.9999999999927,9999.9999999999927,0,0.096249438504838053,103896.71000000001,0,0,0,9999.9999999999927,-7.7715611723760958e-16,0,-0.021038344485933252,-0.021591068125719634,nearby_parameters
btc_reserve_l24_d30_lv45_h168,9999.9999999999927,9999.9999999999927,0,0.096249438504838053,103896.71000000001,0,0,0,9999.9999999999927,-7.7715611723760958e-16,0,-0.021038344485933252,-0.021591068125719634,nearby_parameters
btc_reserve_l24_d30_lv45_h336,9999.9999999999927,9999.9999999999927,0,0.096249438504838053,103896.71000000001,0,0,0,9999.9999999999927,-7.7715611723760958e-16,0,-0.021038344485933252,-0.021591068125719634,nearby_parameters
btc_reserve_l24_d50_lv30_h72,9932.5122165017019,9932.5122165017019,0,0.095599872378073394,103896.71000000001,2,2762.8704041369069,8.2886112124107214,9932.5122165017019,-0.0067487783498297871,0.040518460651823518,-0.021687910612697911,-0.022240634252484293,nearby_parameters
btc_reserve_l24_d50_lv30_h168,10024.519741657792,10024.519741657792,0,0.09648543964152273,103896.71000000001,2,2768.2283138297435,8.3046849414892296,10024.519741657792,0.0024519741657791361,0.040518460651823518,-0.020802343349248575,-0.021355066989034957,nearby_parameters
