strategy,final_usd_value,final_cash_usd,final_sol_units,final_sol_equivalent,final_sol_close,event_count,gross_spent_usd,total_costs_usd,unused_cash_usd,total_return_on_committed_capital,max_drawdown,excess_sol_vs_daily,excess_sol_vs_weekly,check
sol_etf_spread_d80_l50_h48,9167.9905649105949,9167.9905649105949,0,123.55782432494063,74.200000000000003,12,51772.163065756627,310.63297839453975,9167.9905649105949,-0.083200943508940473,0.14729464898061795,47.633447089194902,47.45043344984856,nearby_parameters
sol_etf_spread_d80_l50_h72,10478.737198482519,10478.737198482519,0,141.22287329491263,74.200000000000003,11,56610.956167912111,339.66573700747267,10478.737198482519,0.04787371984825195,0.12599399810600564,65.298496059166908,65.115482419820566,nearby_parameters
sol_etf_spread_d80_l50_h96,11163.09060246889,11163.09060246889,0,150.44596499284219,74.200000000000003,9,45850.24629436605,275.10147776619624,11163.09060246889,0.11630906024688903,0.15516574650333692,74.521587757096469,74.338574117750127,nearby_parameters
sol_etf_spread_d80_l55_h48,9167.9905649105949,9167.9905649105949,0,123.55782432494063,74.200000000000003,12,51772.163065756627,310.63297839453975,9167.9905649105949,-0.083200943508940473,0.14729464898061795,47.633447089194902,47.45043344984856,nearby_parameters
sol_etf_spread_d80_l55_h72,10478.737198482519,10478.737198482519,0,141.22287329491263,74.200000000000003,11,56610.956167912111,339.66573700747267,10478.737198482519,0.04787371984825195,0.12599399810600564,65.298496059166908,65.115482419820566,nearby_parameters
sol_etf_spread_d80_l55_h96,11163.09060246889,11163.09060246889,0,150.44596499284219,74.200000000000003,9,45850.24629436605,275.10147776619624,11163.09060246889,0.11630906024688903,0.15516574650333692,74.521587757096469,74.338574117750127,nearby_parameters
sol_etf_spread_d80_l60_h48,9150.2301421267257,9150.2301421267257,0,123.31846552731436,74.200000000000003,10,44013.051477119465,264.07830886271677,9150.2301421267257,-0.084976985787327486,0.12666076985343033,47.394088291568636,47.211074652222294,nearby_parameters
sol_etf_spread_d80_l60_h72,9573.4758224763082,9573.4758224763082,0,129.02258520857558,74.200000000000003,8,34297.148696540833,205.78289217924501,9573.4758224763082,-0.042652417752369165,0.12666076985343044,53.098207972829854,52.915194333483512,nearby_parameters
sol_etf_spread_d80_l60_h96,9308.1398438183987,9308.1398438183987,0,125.44662862288946,74.200000000000003,8,33981.437967722755,203.88862780633653,9308.1398438183987,-0.069186015618160179,0.12666076985343055,49.52225138714374,49.339237747797398,nearby_parameters
sol_etf_spread_d100_l50_h48,9486.5902564447715,9486.5902564447715,0,127.85162070680285,74.200000000000003,11,50500.234209487331,303.00140525692404,9486.5902564447715,-0.051340974355522873,0.12666076985343044,51.927243471057125,51.744229831710783,nearby_parameters
sol_etf_spread_d100_l50_h72,10644.459169836935,10644.459169836935,0,143.45632304362445,74.200000000000003,9,47380.915665927067,284.28549399556243,10644.459169836935,0.064445916983693508,0.10151855648395414,67.531945807878728,67.348932168532386,nearby_parameters
