entry_time,exit_time,entry_price,exit_price,gross_return,capital_at_entry,capital_at_exit,trade_return,asset,note
2020-10-12 00:00:00+00:00,2020-11-27 00:00:00+00:00,11369.02,17149.47,0.5084387220710317,9985.0,15039.167998919434,0.5061760639879254,BTC,
2020-12-16 00:00:00+00:00,2021-01-21 00:00:00+00:00,19426.43,35468.23,0.8257718994174433,15016.609246921056,27375.77783277926,0.823033241568317,BTC,
2021-02-08 00:00:00+00:00,2021-02-25 00:00:00+00:00,38795.69,49676.21,0.28045692704524644,27334.71416603009,34948.42271654101,0.2785362416546784,BTC,
2021-03-11 00:00:00+00:00,2021-03-22 00:00:00+00:00,55851.59,57351.56,0.026856352701865805,34896.000082466206,35779.429599512405,0.025316068172812844,BTC,
2021-06-14 00:00:00+00:00,2021-06-19 00:00:00+00:00,39020.56,35820.48,-0.0820100992912453,35725.76045511314,32746.693461994666,-0.08338708414230833,BTC,
2021-08-07 00:00:00+00:00,2021-09-07 00:00:00+00:00,42836.87,52666.2,0.2294595753611315,32697.573421801677,40140.04421740595,0.22761538599808984,BTC,
2021-10-04 00:00:00+00:00,2021-10-26 00:00:00+00:00,48200.01,63078.78,0.30868811023068243,40079.83415107984,52373.32440991555,0.30672507806533655,BTC,
2022-03-26 00:00:00+00:00,2022-04-06 00:00:00+00:00,44313.16,45497.54,0.026727500363323158,52294.76442330068,53611.93404928671,0.02518740911277817,BTC,
2022-05-31 00:00:00+00:00,2022-06-10 00:00:00+00:00,31734.23,30109.93,-0.05118447808565071,53531.51614821279,50715.34613288339,-0.05260770136852222,BTC,
2022-07-07 00:00:00+00:00,2022-08-19 00:00:00+00:00,20564.51,23191.45,0.12774143415038833,50639.27311368407,57022.344475830934,0.12604982199916281,BTC,
2022-09-10 00:00:00+00:00,2022-09-20 00:00:00+00:00,21361.62,19537.02,-0.08541487022051691,56936.81095911719,51995.45029931368,-0.08678674791518615,BTC,
2022-10-26 00:00:00+00:00,2022-11-08 00:00:00+00:00,20079.02,20590.67,0.025481821323948967,51917.45712386471,53160.54787715398,0.023943598591962933,BTC,
2023-01-11 00:00:00+00:00,2023-02-06 00:00:00+00:00,17440.64,22932.91,0.31491218212175703,53080.80705533825,69691.9049341679,0.3129398138485746,BTC,
2023-02-17 00:00:00+00:00,2023-02-25 00:00:00+00:00,23517.72,23184.04,-0.014188450240924726,69587.36707676666,68497.13013632859,-0.01566716756556341,BTC,
2023-03-17 00:00:00+00:00,2023-04-20 00:00:00+00:00,24998.78,28797.1,0.1519402146824765,68394.3844411241,78668.06253334005,0.15021230436045285,BTC,
2023-06-20 00:00:00+00:00,2023-07-06 00:00:00+00:00,26844.35,30504.8,0.13635830258508777,78550.06043954004,89127.12182900823,0.13465376513121008,BTC,
2023-07-13 00:00:00+00:00,2023-07-17 00:00:00+00:00,30380.0,30232.0,-0.004871626069782752,88993.43114626473,88427.0485944126,-0.00636431863067799,BTC,
2023-10-22 00:00:00+00:00,2023-12-29 00:00:00+00:00,29909.8,42563.76,0.4230706992357021,88294.40802152098,125460.71118434556,0.42093609318684844,BTC,
2024-02-07 00:00:00+00:00,2024-03-16 00:00:00+00:00,43098.96,69499.84,0.6125642010851305,125272.52011756905,201706.9663493267,0.610145354783503,BTC,
2024-05-20 00:00:00+00:00,2024-05-31 00:00:00+00:00,66274.0,68352.17,0.03135724416815038,201404.40589980275,207408.31319259593,0.02981020830189829,BTC,
2024-07-16 00:00:00+00:00,2024-07-31 00:00:00+00:00,64724.06,66188.0,0.022618173211013066,207097.20072280706,211463.68903865106,0.021084245951196623,BTC,
2024-08-25 00:00:00+00:00,2024-08-31 00:00:00+00:00,64157.02,59123.99,-0.07844862495172,211146.4935050931,194290.46791410193,-0.07983095201429224,BTC,
2024-09-24 00:00:00+00:00,2024-10-01 00:00:00+00:00,63339.99,63327.6,-0.00019561101919970966,193999.03221223078,193670.1422380203,-0.0016953176026708316,BTC,
2024-10-29 00:00:00+00:00,2024-12-21 00:00:00+00:00,69962.21,97805.44,0.39797527836813607,193379.63702466327,269934.44197243237,0.39587831545058405,BTC,
2025-04-22 00:00:00+00:00,2025-05-30 00:00:00+00:00,87516.22,105589.75,0.2065163463412839,269529.54030947376,324704.0085109242,0.20470657182177177,BTC,
2025-07-03 00:00:00+00:00,2025-07-31 00:00:00+00:00,108849.59,117840.29,0.0825974631599439,324216.9524981578,350469.9556125218,0.08097356696520408,BTC,
2025-08-12 00:00:00+00:00,2025-08-18 00:00:00+00:00,118686.0,117405.01,-0.010793101123974228,349944.250679103,345648.01609327947,-0.012276911472288154,BTC,
2025-09-12 00:00:00+00:00,2025-09-21 00:00:00+00:00,115482.69,115685.63,0.0017573196467799833,345129.5440691396,345217.4429271201,0.0002546836673098518,BTC,
2025-10-02 00:00:00+00:00,2025-10-10 00:00:00+00:00,118594.99,121662.41,0.025864667638995528,344699.6167627294,353084.73504890816,0.024325870637537106,BTC,
2026-04-11 00:00:00+00:00,2026-05-15 00:00:00+00:00,72962.71,81090.0,0.11138963999555379,352555.1079463348,391238.3553573221,0.10972255553556054,BTC,
2026-07-14 00:00:00+00:00,2026-07-27 00:00:00+00:00,62334.52,65400.0,0.04917788730866947,390651.4978242861,409248.11879150994,0.04760412047770646,BTC,
2022-03-23 00:00:00+00:00,2022-04-06 00:00:00+00:00,2969.64,3407.0,0.14727711103029328,9985.0,11438.378610707023,0.14555619536374786,ETH,
2022-07-16 00:00:00+00:00,2022-08-19 00:00:00+00:00,1231.25,1846.39,0.49960609137055845,11421.221042790963,17101.641647688943,0.4973566822335027,ETH,
