asset,partition,n_trades,mean_trade_return_pct
BTC,development_pre_2024,18,17.313954811421624
BTC,validation_2024,6,16.256530914503646
BTC,test_2025_onward,7,6.504435109040023
ETH,development_pre_2024,10,14.272296856691929
ETH,validation_2024,6,11.464209225448423
ETH,test_2025_onward,8,12.773423557168668
SOL,development_pre_2024,9,54.7502992248362
SOL,validation_2024,6,14.396732589383458
SOL,test_2025_onward,6,8.143657908496737
XRP,development_pre_2024,11,10.388629136074796
XRP,validation_2024,5,69.38922777575767
XRP,test_2025_onward,9,6.661794136148688
