asset,n_trades,primary_final,bh_final,dca_final,random_control_final,top_trade_pct_of_pnl,verdict
BTC,492,0.01410397412328984,4.634478051835859,3.9930056823288824,0.9321133393133979,10.515880124532977,REJECTED
ETH,495,0.010748658189188277,2.574127110993787,3.4749053983914036,1.0170532362950215,20.664359060386037,REJECTED
