timestamp,kind,gross_spend_usd,fee_slippage_usd,cash_after,strategy,execution_price,reference_open,btc_bought,btc_after,eth_bought,eth_after,sol_bought,sol_after,xrp_bought,xrp_after,entry_time,exit_time,asset,market_slug,alt_entry_open,btc_entry_open,alt_exit_open,btc_exit_open,return_pct,signal_yes_price,signal_delta_24h
2024-01-01 09:00:00+00:00,cash_contribution,0,0,10.649627263045794,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-02 09:00:00+00:00,cash_contribution,0,0,21.299254526091588,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-03 09:00:00+00:00,cash_contribution,0,0,31.948881789137381,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-04 09:00:00+00:00,cash_contribution,0,0,42.598509052183175,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-05 09:00:00+00:00,cash_contribution,0,0,53.248136315228969,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-06 09:00:00+00:00,cash_contribution,0,0,63.897763578274763,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-07 09:00:00+00:00,cash_contribution,0,0,74.547390841320549,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-08 09:00:00+00:00,cash_contribution,0,0,85.19701810436635,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-09 09:00:00+00:00,cash_contribution,0,0,95.846645367412151,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-10 09:00:00+00:00,cash_contribution,0,0,106.49627263045795,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-11 09:00:00+00:00,cash_contribution,0,0,117.14589989350375,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-12 09:00:00+00:00,cash_contribution,0,0,127.79552715654955,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-13 09:00:00+00:00,cash_contribution,0,0,138.44515441959535,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-14 09:00:00+00:00,cash_contribution,0,0,149.09478168264116,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-15 09:00:00+00:00,cash_contribution,0,0,159.74440894568696,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-16 09:00:00+00:00,cash_contribution,0,0,170.39403620873276,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-17 09:00:00+00:00,cash_contribution,0,0,181.04366347177856,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-18 09:00:00+00:00,cash_contribution,0,0,191.69329073482436,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-19 09:00:00+00:00,cash_contribution,0,0,202.34291799787016,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-20 09:00:00+00:00,cash_contribution,0,0,212.99254526091596,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-21 09:00:00+00:00,cash_contribution,0,0,223.64217252396176,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-22 09:00:00+00:00,cash_contribution,0,0,234.29179978700756,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-23 09:00:00+00:00,cash_contribution,0,0,244.94142705005336,cash_reserve,,,,,,,,,,,,,,,,,,,,,
2024-01-24 09:00:00+00:00,cash_contribution,0,0,255.59105431309916,cash_reserve,,,,,,,,,,,,,,,,,,,,,
