strategy,final_usd_value,final_cash_usd,event_count,gross_spent_usd,total_costs_usd,unused_cash_usd,total_return_on_committed_capital,max_drawdown,avg_trade_return,win_rate,final_btc_equivalent,final_eth_equivalent,final_sol_equivalent,final_xrp_equivalent,check,level_threshold,hold_hours,excess_usd_vs_primary
alt_etf_family_l55_h48,8902.9172051054229,8902.9172051054229,18,65280.260111728508,391.68156067037103,8902.9172051054229,-0.10970827948945772,0.21889354527615079,-0.013352140974777773,0.22222222222222221,0.13964076721897287,4.7042409922724726,119.98540707689249,8350.9213067305336,nearby_parameters,0.55000000000000004,48,-307.01705225928163
alt_etf_family_l55_h72,9209.9342573647045,9209.9342573647045,16,59592.241937577157,357.55345162546291,9209.9342573647045,-0.079006574263529528,0.29862977701977611,-0.0059756852621776334,0.4375,0.14445627833056765,4.8664667177612531,124.12310319898523,8638.9027833830824,nearby_parameters,0.55000000000000004,72,0
alt_etf_family_l55_h96,9467.0615402338226,9467.0615402338226,13,50480.244650595057,302.88146790357035,9467.0615402338226,-0.053293845976617793,0.21890772426223815,-0.00095991503672814807,0.23076923076923078,0.14848927675407128,5.0023310279011817,127.58843046137227,8880.0877405813917,nearby_parameters,0.55000000000000004,96,257.12728286911806
alt_etf_family_l60_h48,9029.382259513859,9029.382259513859,13,47146.642814919265,282.87985688951557,9029.382259513859,-0.097061774048614047,0.21787594875873184,-0.018145547879480414,0.23076923076923078,0.14162435044423929,4.7710642682091482,121.68978786406818,8469.545314242434,nearby_parameters,0.59999999999999998,48,-180.55199785084551
alt_etf_family_l60_h72,8259.0228871325326,8259.0228871325326,11,38829.358800133392,232.97615280080035,8259.0228871325326,-0.17409771128674678,0.2234353675125007,-0.036206275376777348,0.18181818181818182,0.12954139254230956,4.3640116072836532,111.30758607995327,7746.9495236211724,nearby_parameters,0.59999999999999998,72,-950.91137023217198
alt_etf_family_l60_h96,8600.3142688474491,8600.3142688474491,10,37559.160162874134,225.35496097724482,8600.3142688474491,-0.13996857311525512,0.21787594875873184,-0.029569526313902993,0.29999999999999999,0.13489449077853313,4.5443476557029214,115.90720038877963,8067.0802634344327,nearby_parameters,0.59999999999999998,96,-609.61998851725548
alt_etf_family_doubled_cost,8879.5897747910421,8879.5897747910421,16,57495.62017800063,689.94744213600757,8879.5897747910421,-0.11204102252089576,0.30435559245279331,-0.011975685262177634,0.375,0.13927488037634567,4.6919149365088231,119.67102122359894,8329.0402164816078,doubled_cost_primary,0.55000000000000004,72,-330.34448257366239
