partition,start,end,final_usd_value,events,costs_usd,max_drawdown,final_btc_equivalent,final_eth_equivalent,final_sol_equivalent,final_xrp_equivalent,strategy
development_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,3897.7635782747448,366,0,0,0.061135769767276998,2.0595518054005724,52.530506445751278,3656.0956554495306,cash_reserve
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,10000.000000000062,573,0,0,0.15684832735375323,5.2839320909048002,134.77088948787144,9379.9831160304493,cash_reserve
development_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,5793.2753854825814,366,5.8466453674121395,0.26431650170617693,0.090866555411260722,3.0611273720800103,78.076487674967396,5434.0825302341063,daily_btc_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,8380.7388460914353,573,9.1533546325878596,0.42565676278741138,0.13145048699980574,4.428325493435473,112.94796288532932,7861.1188876197684,daily_btc_dca
development_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,4389.2182476846137,366,5.8466453674121395,0.32785175927670851,0.068844154053989914,2.319233115292552,59.15388473968482,4117.0793055854174,daily_eth_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,7093.3184359476172,573,9.1533546325878596,0.55111626334627717,0.11125751320659179,3.7480612914710032,95.597283503337152,6653.5207165815746,daily_eth_dca
development_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,5026.0552743690378,366,5.8466453674121395,0.40385682267479639,0.0788328362972288,2.6557334754899724,67.736593994191878,4714.4313613817067,daily_sol_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,5633.5887908923332,573,9.1533546325878596,0.63054143476443114,0.088361897885031015,2.976750059915739,75.924377235745723,5284.2967741228149,daily_sol_dca
development_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,13504.686746927595,366,5.8466453674121395,0.31871748784142928,0.21181875276919793,7.1357847679707032,182.00386451384898,12667.373367346023,daily_xrp_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,10337.665460476945,573,9.1533546325878596,0.646702855507157,0.1621445536218466,5.4623522271651943,139.32163693365155,9696.7127478444272,daily_xrp_dca
development_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,7639.9867563270855,1098,5.8466453674121404,0.33437344006940062,0.11983191437347226,4.0369171195844107,102.96478108257527,7166.2946781043856,daily_equal_weight_alt_basket
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,7688.1908957723017,1719,9.1533546325878579,0.58365174797725994,0.12058798823782318,4.0623878595173135,103.61443255757818,7211.5100795162753,daily_equal_weight_alt_basket
development_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,3014.9952252975577,7,104.18403120239934,0.29862977701977611,0.047289695806747141,1.5931030024874415,40.633358831503472,2828.0604308203333,alt_etf_odds_family_long_alt_short_btc
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,9209.9342573647045,9,253.36942042306359,0.10385065437729668,0.14445627833056765,4.8664667177612531,124.12310319898523,8638.9027833830824,alt_etf_odds_family_long_alt_short_btc
