date,copper,sma12_prior,change3_prior,risk_on_signal,risk_on_actionable
1993-01-01 00:00:00+00:00,2264.21397077332,2284.8122283241282,-207.66389428863977,False,False
1993-02-01 00:00:00+00:00,2212.18139313507,2294.281756803896,1.7570084014901113,False,False
1993-03-01 00:00:00+00:00,2152.38020099945,2294.555851347988,50.392299452209954,False,False
1993-04-01 00:00:00+00:00,1953.62060192108,2287.938742300925,-59.57008649291993,False,False
1993-05-01 00:00:00+00:00,1799.35169844818,2266.2265577949534,-310.59336885224,False,False
1993-06-01 00:00:00+00:00,1857.87070840454,2231.2296113479624,-412.82969468688975,False,False
1993-07-01 00:00:00+00:00,1927.33981992645,2194.682008832805,-294.50949259491017,False,False
1993-08-01 00:00:00+00:00,1951.07137548676,2144.686575293223,-26.280781994629933,False,False
1993-09-01 00:00:00+00:00,1858.24999750519,2097.820024535243,151.7196770385799,False,False
1993-10-01 00:00:00+00:00,1646.99992897491,2051.039675845592,0.37928910065011223,False,False
1993-11-01 00:00:00+00:00,1632.56810484467,1999.7515897291817,-280.3398909515399,False,False
1993-12-01 00:00:00+00:00,1723.6250736618,1955.6498406593328,-318.50327064209,False,False
1994-01-01 00:00:00+00:00,1807.07136699066,1914.9560728401184,-134.6249238433902,False,False
1994-02-01 00:00:00+00:00,1865.07501472778,1876.86085585823,160.0714380157499,False,False
1994-03-01 00:00:00+00:00,1913.17391866455,1847.9353243242888,232.50690988310998,True,False
1994-04-01 00:00:00+00:00,1881.36846713562,1828.0014674630474,189.5488450027501,True,True
1994-05-01 00:00:00+00:00,2144.50007046051,1821.9804562309257,74.29710014496004,True,True
1994-06-01 00:00:00+00:00,2363.09102303009,1850.7428205652868,279.42505573273,True,True
1994-07-01 00:00:00+00:00,2447.23803404999,1892.8445134507492,449.9171043655401,True,True
1994-08-01 00:00:00+00:00,2409.74997397766,1936.1693646277108,565.8695669143699,True,True
1994-09-01 00:00:00+00:00,2504.84103139343,1974.3925811686192,265.24990351714996,True,True
1994-10-01 00:00:00+00:00,2546.02375416412,2028.2751673259725,141.75000836333993,True,True
1994-11-01 00:00:00+00:00,2803.54541098175,2103.1938194250733,98.78572011413007,True,True
1994-12-01 00:00:00+00:00,2980.69999645081,2200.7752616031635,393.7954370040902,True,True
1995-01-01 00:00:00+00:00,3003.26189506836,2305.531505168914,475.8589650573799,True,True
1995-02-01 00:00:00+00:00,2870.45015814514,2405.2140491753894,457.23814090424,True,True
1995-03-01 00:00:00+00:00,2919.67397804871,2488.9953111268355,66.90474716338986,True,True
1995-04-01 00:00:00+00:00,2894.88882296448,2572.870316075516,-61.02601840209991,False,True
1995-05-01 00:00:00+00:00,2771.57125569763,2657.330345727921,-108.37307210388008,False,False
1995-06-01 00:00:00+00:00,2987.68194348755,2709.5862778310143,-98.87890244750997,False,False
1995-07-01 00:00:00+00:00,3076.4500581665,2761.6355212024687,68.00796543884007,True,False
1995-08-01 00:00:00+00:00,3040.13619641418,2814.069856545512,181.56123520202027,True,True
1995-09-01 00:00:00+00:00,2910.42504276428,2866.6020417485547,268.56494071655015,True,True
1995-10-01 00:00:00+00:00,2810.06817431793,2900.400709362793,-77.25690072327006,False,True
1995-11-01 00:00:00+00:00,2981.61903664856,2922.4044110422765,-266.3818838485704,False,False
1995-12-01 00:00:00+00:00,2918.21064537659,2937.243879847844,-58.51715976562036,False,False
1996-01-01 00:00:00+00:00,2604.99992943115,2932.0364339249923,7.785602612309958,False,False
1996-02-01 00:00:00+00:00,2544.66672335968,2898.847936788558,-205.06824488677967,False,False
1996-03-01 00:00:00+00:00,2563.34994940033,2871.699317223103,-436.95231328887985,False,False
1996-04-01 00:00:00+00:00,2594.17496803894,2842.0056481690717,-354.8606959762601,False,False
1996-05-01 00:00:00+00:00,2658.76193080902,2816.9461602586102,-10.824961392210298,False,False
1996-06-01 00:00:00+00:00,2177.59998270721,2807.545383184559,114.09520744934025,False,False
1996-07-01 00:00:00+00:00,1983.93479971771,2740.038553119531,-385.74996669311986,False,False
1996-08-01 00:00:00+00:00,2017.85720584564,2648.995614915465,-610.2401683212299,False,False
1996-09-01 00:00:00+00:00,1935.07143060913,2563.805699034753,-640.9047249633802,False,False
1996-10-01 00:00:00+00:00,1960.19567519531,2482.5262313551575,-242.52855209808013,False,False
1996-11-01 00:00:00+00:00,2215.42864607391,2411.703523094939,-23.739124522399834,False,False
1996-12-01 00:00:00+00:00,2264.59527826385,2347.854323880385,197.57144022826992,False,False
1997-01-01 00:00:00+00:00,2427.27279402924,2293.38637662099,329.52384765472016,True,False
1997-02-01 00:00:00+00:00,2406.63156159363,2278.575782004164,467.0771188339297,True,True
1997-03-01 00:00:00+00:00,2420.1842087265,2267.072851856993,191.20291551972014,True,True
1997-04-01 00:00:00+00:00,2389.31814949341,2255.1423734675072,155.58893046264984,True,True
1997-05-01 00:00:00+00:00,2513.29993523407,2238.0709719220467,-37.95464453582963,False,True
1997-06-01 00:00:00+00:00,2611.28570015411,2225.9491389574673,106.66837364043977,True,False
1997-07-01 00:00:00+00:00,2449.19570404663,2262.0896154113757,191.1014914276102,True,True
1997-08-01 00:00:00+00:00,2250.10004305115,2300.861357438786,59.87755455321985,False,True
1997-09-01 00:00:00+00:00,2104.30955452118,2320.214927205912,-263.19989218291994,False,False
1997-10-01 00:00:00+00:00,2050.6955684021,2334.318104198582,-506.9761456329302,False,False
1997-11-01 00:00:00+00:00,1918.49994499359,2341.8597619658153,-398.50013564453,False,False
1997-12-01 00:00:00+00:00,1761.45239143524,2317.1157035424553,-331.60009805756,False,False
