asset,start,end,risk_on_days,risk_on_fraction,trades,final,buy_hold,dca,momentum,random,double_cost,delay_2mo,best_excluded,top_block_pct,sharpe,max_drawdown,test_final,test_buy_hold,test_trades
BTC,2018-01-01,2026-07-27,1544,0.49329073482428115,12,27155.92511196087,46344.780518358595,39941.66037721917,84689.48713366143,6746.906719235625,26195.694618791324,18536.288705475028,7045.8624923006455,2.745683607402536,0.48930946614502846,-0.7682602429904096,6913.414838409603,15032.99363290963,5
ETH,2018-01-01,2026-07-27,1544,0.49329073482428115,12,62852.784550039105,25741.27110993787,34753.85778180409,127304.60327323966,2667.635166673977,60630.31707538179,32348.272827862602,7276.021613482672,4.177315154652908,0.6509117493802294,-0.8627529538805323,5757.247813660971,8268.923793334221,5
SOL,2020-08-11,2026-07-27,1293,0.5939366100137804,9,25079.358997185536,259570.99438561453,40615.94868993892,904985.4845900396,29189.11430229628,24411.27254981625,76905.01600583884,507.0796703025379,32.135596345644146,0.6022327721055887,-0.9646880433577303,3300.0254941808053,7272.683189136861,5
XRP,2018-05-04,2026-07-27,1424,0.47356168939142,11,19557.0729808133,21258.129805292065,22385.074054116783,37077.29762569797,17595.578518636496,18922.21894333937,25120.933286670388,5336.082424788727,4.671877353424792,0.4755506632845414,-0.8524099608431772,6235.992916341608,17268.992530700296,5
