date,rsp,sma200_prior,risk_on_signal_close,risk_on_actionable
2004-02-17 00:00:00+00:00,25.116802215576172,21.503944902420045,True,False
2004-02-18 00:00:00+00:00,25.028661727905273,21.540340662002563,True,True
2004-02-19 00:00:00+00:00,24.873519897460938,21.574634103775026,True,True
2004-02-20 00:00:00+00:00,24.767742156982425,21.6079594039917,True,True
2004-02-23 00:00:00+00:00,24.610841751098633,21.640029907226562,True,True
2004-02-24 00:00:00+00:00,24.54560661315918,21.67167450904846,True,True
2004-02-25 00:00:00+00:00,24.721912384033203,21.703981142044068,True,True
2004-02-26 00:00:00+00:00,24.825918197631836,21.735892477035524,True,True
2004-02-27 00:00:00+00:00,24.910541534423828,21.766618413925173,True,True
2004-03-01 00:00:00+00:00,25.222579956054688,21.79798607826233,True,True
2004-03-02 00:00:00+00:00,25.122098922729492,21.83069532394409,True,True
2004-03-03 00:00:00+00:00,25.13266944885254,21.861931447982787,True,True
2004-03-04 00:00:00+00:00,25.227876663208008,21.893054180145263,True,True
2004-03-05 00:00:00+00:00,25.32308006286621,21.92711049079895,True,True
2004-03-08 00:00:00+00:00,25.033933639526367,21.961756505966186,True,True
2004-03-09 00:00:00+00:00,24.83120346069336,21.994589471817015,True,True
2004-03-10 00:00:00+00:00,24.446882247924805,22.02509696960449,True,True
2004-03-11 00:00:00+00:00,24.03964614868164,22.053158121109007,True,True
2004-03-12 00:00:00+00:00,24.399280548095703,22.077154130935668,True,True
2004-03-15 00:00:00+00:00,24.020248413085938,22.10269464492798,True,True
2004-03-16 00:00:00+00:00,24.140119552612305,22.126681051254273,True,True
2004-03-17 00:00:00+00:00,24.513872146606445,22.149386501312257,True,True
2004-03-18 00:00:00+00:00,24.505064010620117,22.173418550491334,True,True
2004-03-19 00:00:00+00:00,24.281328201293945,22.19744153022766,True,True
2004-03-22 00:00:00+00:00,23.889005661010746,22.218281841278078,True,True
2004-03-23 00:00:00+00:00,23.89078140258789,22.236452093124388,True,True
2004-03-24 00:00:00+00:00,23.825389862060547,22.25515601158142,True,True
2004-03-25 00:00:00+00:00,24.22831916809082,22.275168380737306,True,True
2004-03-26 00:00:00+00:00,24.27779197692871,22.296478300094606,True,True
2004-03-29 00:00:00+00:00,24.514602661132812,22.316321420669556,True,True
2004-03-30 00:00:00+00:00,24.701919555664062,22.33692876815796,True,True
2004-03-31 00:00:00+00:00,24.740800857543945,22.360038232803344,True,True
2004-04-01 00:00:00+00:00,24.89278793334961,22.381313123703002,True,True
2004-04-02 00:00:00+00:00,25.17376708984375,22.403164205551146,True,True
2004-04-05 00:00:00+00:00,25.32043838500977,22.4269012260437,True,True
2004-04-06 00:00:00+00:00,25.26919174194336,22.452700910568236,True,True
2004-04-07 00:00:00+00:00,25.138437271118164,22.478340606689454,True,True
2004-04-08 00:00:00+00:00,25.111913681030273,22.504743309020995,True,True
2004-04-12 00:00:00+00:00,25.19321060180664,22.53130202293396,True,True
2004-04-13 00:00:00+00:00,24.80795669555664,22.55879193305969,True,True
2004-04-14 00:00:00+00:00,24.65244483947754,22.58350724220276,True,True
2004-04-15 00:00:00+00:00,24.703685760498047,22.60799599647522,True,True
2004-04-16 00:00:00+00:00,24.86450958251953,22.632670955657957,True,True
2004-04-19 00:00:00+00:00,24.86450958251953,22.657817783355714,True,True
2004-04-20 00:00:00+00:00,24.500463485717773,22.68170518875122,True,True
2004-04-21 00:00:00+00:00,24.65244483947754,22.70432333946228,True,True
2004-04-22 00:00:00+00:00,25.118982315063477,22.726022176742553,True,True
2004-04-23 00:00:00+00:00,25.05537796020508,22.74910922050476,True,True
2004-04-26 00:00:00+00:00,24.889251708984375,22.771817016601563,True,True
2004-04-27 00:00:00+00:00,24.928136825561523,22.7956095123291,True,True
2004-04-28 00:00:00+00:00,24.555246353149418,22.818984184265137,True,True
2004-04-29 00:00:00+00:00,24.272499084472656,22.8390163898468,True,True
2004-04-30 00:00:00+00:00,24.157625198364254,22.858929252624513,True,True
2004-05-03 00:00:00+00:00,24.31667709350586,22.87915104866028,True,True
2004-05-04 00:00:00+00:00,24.387357711791992,22.901646127700804,True,True
2004-05-05 00:00:00+00:00,24.459827423095703,22.923147773742677,True,True
2004-05-06 00:00:00+00:00,24.219478607177734,22.946323595046998,True,True
2004-05-07 00:00:00+00:00,23.788286209106445,22.96705580711365,True,True
2004-05-10 00:00:00+00:00,23.433067321777344,22.986454124450685,True,True
2004-05-11 00:00:00+00:00,23.698158264160156,23.00365655899048,True,True
2004-05-12 00:00:00+00:00,23.708763122558594,23.02065396308899,True,True
2004-05-13 00:00:00+00:00,23.797117233276367,23.03750326156616,True,True
2004-05-14 00:00:00+00:00,23.738805770874023,23.055563955307008,True,True
2004-05-17 00:00:00+00:00,23.440147399902344,23.073542985916138,True,True
2004-05-18 00:00:00+00:00,23.66811752319336,23.089573945999145,True,True
2004-05-19 00:00:00+00:00,23.620384216308594,23.107391939163207,True,True
2004-05-20 00:00:00+00:00,23.653972625732425,23.12514615058899,True,True
2004-05-21 00:00:00+00:00,23.708763122558594,23.144887437820433,True,True
2004-05-24 00:00:00+00:00,23.901376724243164,23.164649028778076,True,True
2004-05-25 00:00:00+00:00,24.330808639526367,23.185032596588133,True,True
2004-05-26 00:00:00+00:00,24.37852668762207,23.207196016311645,True,True
2004-05-27 00:00:00+00:00,24.49692726135254,23.229195728302003,True,True
2004-05-28 00:00:00+00:00,24.57999038696289,23.250834159851074,True,True
2004-06-01 00:00:00+00:00,24.551719665527344,23.273071546554565,True,True
2004-06-02 00:00:00+00:00,24.634763717651367,23.29410940170288,True,True
2004-06-03 00:00:00+00:00,24.387357711791992,23.31534378051758,True,True
2004-06-04 00:00:00+00:00,24.539331436157227,23.334169254302978,True,True
2004-06-07 00:00:00+00:00,25.00588035583496,23.353107385635376,True,True
2004-06-08 00:00:00+00:00,24.995290756225582,23.374334564208983,True,True
2004-06-09 00:00:00+00:00,24.730195999145508,23.394651708602904,True,True
2004-06-10 00:00:00+00:00,24.836238861083984,23.414797859191893,True,True
2004-06-14 00:00:00+00:00,24.54641914367676,23.435675325393678,True,True
2004-06-15 00:00:00+00:00,24.753177642822266,23.454710130691527,True,True
2004-06-16 00:00:00+00:00,24.806190490722656,23.474446420669555,True,True
2004-06-17 00:00:00+00:00,24.784984588623047,23.49355567932129,True,True
2004-06-18 00:00:00+00:00,24.850011825561523,23.51194673538208,True,True
2004-06-21 00:00:00+00:00,24.77737808227539,23.52911497116089,True,True
2004-06-22 00:00:00+00:00,24.919097900390625,23.545648918151855,True,True
2004-06-23 00:00:00+00:00,25.223840713500977,23.56280396461487,True,True
2004-06-24 00:00:00+00:00,25.16360092163086,23.58191129684448,True,True
2004-06-25 00:00:00+00:00,25.184850692749023,23.599851598739622,True,True
2004-06-28 00:00:00+00:00,25.090953826904297,23.61883388519287,True,True
2004-06-29 00:00:00+00:00,25.154739379882812,23.639253244400024,True,True
2004-06-30 00:00:00+00:00,25.32659149169922,23.659265670776367,True,True
2004-07-01 00:00:00+00:00,24.981107711791992,23.67983998298645,True,True
2004-07-02 00:00:00+00:00,24.896074295043945,23.69898425102234,True,True
2004-07-06 00:00:00+00:00,24.612598419189453,23.716199102401735,True,True
2004-07-07 00:00:00+00:00,24.65157699584961,23.73221520423889,True,True
2004-07-08 00:00:00+00:00,24.384052276611328,23.747158069610595,True,True
2004-07-09 00:00:00+00:00,24.460227966308594,23.760783519744873,True,True
2004-07-12 00:00:00+00:00,24.431880950927734,23.77625772476196,True,True
2004-07-13 00:00:00+00:00,24.47086524963379,23.790807905197145,True,True
2004-07-14 00:00:00+00:00,24.37518882751465,23.807319717407225,True,True
2004-07-15 00:00:00+00:00,24.43719482421875,23.824530906677246,True,True
2004-07-16 00:00:00+00:00,24.24939727783203,23.84289593696594,True,True
2004-07-19 00:00:00+00:00,24.23699378967285,23.859689121246337,True,True
2004-07-20 00:00:00+00:00,24.44959259033203,23.87690371513367,True,True
2004-07-21 00:00:00+00:00,24.070457458496097,23.893344316482544,True,True
2004-07-22 00:00:00+00:00,24.042104721069336,23.907344303131104,True,True
2004-07-23 00:00:00+00:00,23.83304023742676,23.91995445251465,False,True
2004-07-26 00:00:00+00:00,23.71788215637207,23.930859985351564,False,False
2004-07-27 00:00:00+00:00,23.9322509765625,23.940662355422972,False,False
2004-07-28 00:00:00+00:00,23.903905868530273,23.951835412979126,False,False
2004-07-29 00:00:00+00:00,24.130695343017575,23.96218999862671,True,False
2004-07-30 00:00:00+00:00,24.167898178100582,23.9737664604187,True,True
2004-08-02 00:00:00+00:00,24.26179313659668,23.98443021774292,True,True
2004-08-03 00:00:00+00:00,24.033241271972656,23.995167942047118,True,True
2004-08-04 00:00:00+00:00,23.985414505004883,24.005088119506837,False,True
2004-08-05 00:00:00+00:00,23.55134391784668,24.014593372344972,False,False
2004-08-06 00:00:00+00:00,23.12789535522461,24.02323790550232,False,False
2004-08-09 00:00:00+00:00,23.25547218322754,24.029360866546632,False,False
2004-08-10 00:00:00+00:00,23.521221160888672,24.03591953277588,False,False
2004-08-11 00:00:00+00:00,23.43617057800293,24.045415449142457,False,False
2004-08-12 00:00:00+00:00,23.17397117614746,24.054398193359376,False,False
2004-08-13 00:00:00+00:00,23.138538360595703,24.062597312927245,False,False
2004-08-16 00:00:00+00:00,23.572603225708008,24.069916076660157,False,False
2004-08-17 00:00:00+00:00,23.634613037109375,24.07760335922241,False,False
2004-08-18 00:00:00+00:00,23.93048667907715,24.085178861618044,False,False
