asset,n_cot_weeks,n_trigger_weeks,n_trades,primary_final,doubled_cost_final,exclude_best_trade_final,best_trade_pnl_share,random_control_final,bh_final,dca_final,primary_total_return,primary_sharpe,primary_sortino,primary_max_dd,bh_total_return,bh_sharpe,dca_total_return,dca_sharpe,beats_bh,beats_dca,beats_bh_doubled_cost,beats_bh_excl_best_trade,beats_random_control,concentration_ok
BTC,438,63,40,1.9197338384717948,1.702650101721803,1.3567878207440436,0.6120749223091838,0.7459705666782416,8.059945311186429,3.9089916243738503,0.9197338384717948,0.40436511584890483,0.5687385938309857,-0.6394734523719123,7.0599453111864285,0.7161824740046112,11800.23368980088,1.8225706429423891,False,False,False,False,True,False
ETH,282,34,21,1.2846671936418723,1.206229478369722,0.9380475037061348,1.2176313171225661,0.9162322341059301,0.9158097468679076,0.8392715298722883,0.2846671936418723,0.3109015599911818,0.4354046109499745,-0.45795373126772815,-0.08419025313209239,0.34761920830667836,1625.9615832386085,1.9393216510263263,True,True,True,True,True,False
