entry_time,exit_time,asset,pnl,capital,strategy,entry_open,exit_open
2021-01-01 00:00:00+00:00,2026-07-28 00:00:00+00:00,BTC,11795.770371619157,21795.770371619157,buy_hold_BTC,,
2021-01-01 00:00:00+00:00,2026-07-28 00:00:00+00:00,ETH,15396.872990616768,25396.87299061677,buy_hold_ETH,,
2021-01-01 00:00:00+00:00,2026-07-28 00:00:00+00:00,SOL,477862.3814786585,487862.3814786585,buy_hold_SOL,,
2021-01-01 00:00:00+00:00,2026-07-28 00:00:00+00:00,XRP,38548.96393431422,48548.96393431422,buy_hold_XRP,,
2021-01-01 00:00:00+00:00,2026-07-28 00:00:00+00:00,equal_weight,135900.9971938022,145900.9971938022,equal_weight_4asset_buy_hold,,
2021-01-11 00:00:00+00:00,2021-01-18 00:00:00+00:00,ETH,-173.0720595739258,9811.927940426074,taker_flow_cross_sectional_top1,1254.24,1232.5
2021-01-18 00:00:00+00:00,2021-01-25 00:00:00+00:00,ETH,1271.291499234596,11083.21943966067,taker_flow_cross_sectional_top1,1232.5,1392.19
2021-01-25 00:00:00+00:00,2021-02-01 00:00:00+00:00,ETH,-634.8098450057405,10448.40959465493,taker_flow_cross_sectional_top1,1392.19,1312.45
2021-02-01 00:00:00+00:00,2021-02-08 00:00:00+00:00,SOL,5970.982217866618,16403.719198129565,taker_flow_cross_sectional_top1,4.2568,6.6931
2021-02-08 00:00:00+00:00,2021-02-15 00:00:00+00:00,ETH,1916.6528832223594,18295.766502554732,taker_flow_cross_sectional_top1,1611.46,1800.03
2021-02-15 00:00:00+00:00,2021-02-22 00:00:00+00:00,BTC,3321.162500840259,21589.48535364116,taker_flow_cross_sectional_top1,48580.47,57412.35
2021-02-22 00:00:00+00:00,2021-03-01 00:00:00+00:00,ETH,-5740.302583108278,15816.798542502424,taker_flow_cross_sectional_top1,1933.54,1418.67
2021-03-01 00:00:00+00:00,2021-03-08 00:00:00+00:00,SOL,890.3526211294684,16683.42596581814,taker_flow_cross_sectional_top1,13.08,13.8174
2021-03-08 00:00:00+00:00,2021-03-15 00:00:00+00:00,ETH,1173.6894434741553,17832.090270343568,taker_flow_cross_sectional_top1,1726.46,1848.1
2021-03-15 00:00:00+00:00,2021-03-22 00:00:00+00:00,XRP,3147.773583354312,20953.115718292367,taker_flow_cross_sectional_top1,0.439,0.51661
2021-03-22 00:00:00+00:00,2021-03-29 00:00:00+00:00,ETH,-1127.138046306849,19794.54799840808,taker_flow_cross_sectional_top1,1783.23,1687.16
2021-03-29 00:00:00+00:00,2021-04-05 00:00:00+00:00,XRP,3243.1755753446378,23008.03175175511,taker_flow_cross_sectional_top1,0.5455,0.63501
2021-04-05 00:00:00+00:00,2021-04-12 00:00:00+00:00,ETH,838.056998601216,23811.576702728693,taker_flow_cross_sectional_top1,2075.7,2151.42
2021-04-12 00:00:00+00:00,2021-04-19 00:00:00+00:00,SOL,3816.965967942462,27592.82530561706,taker_flow_cross_sectional_top1,27.8598,32.3324
2021-04-19 00:00:00+00:00,2021-04-26 00:00:00+00:00,ETH,1044.9248604105196,28596.360928069156,taker_flow_cross_sectional_top1,2235.65,2320.44
2021-04-26 00:00:00+00:00,2021-05-03 00:00:00+00:00,ETH,7750.239361523421,36346.60028959258,taker_flow_cross_sectional_top1,2320.44,2949.33
2021-05-03 00:00:00+00:00,2021-05-10 00:00:00+00:00,ETH,12010.905383338832,48357.50567293141,taker_flow_cross_sectional_top1,2949.33,3923.95
2021-05-10 00:00:00+00:00,2021-05-17 00:00:00+00:00,ETH,-4216.4240092092805,44141.08166372213,taker_flow_cross_sectional_top1,3923.95,3581.81
2021-05-17 00:00:00+00:00,2021-05-24 00:00:00+00:00,XRP,-20058.079308910837,24016.79073231571,taker_flow_cross_sectional_top1,1.4496,0.7899
2021-05-24 00:00:00+00:00,2021-05-31 00:00:00+00:00,SOL,3952.4759520324624,27933.2414982497,taker_flow_cross_sectional_top1,24.53,28.573
2021-05-31 00:00:00+00:00,2021-06-07 00:00:00+00:00,XRP,1265.548842172324,29156.89047817465,taker_flow_cross_sectional_top1,0.9058,0.9469
2021-06-07 00:00:00+00:00,2021-06-14 00:00:00+00:00,XRP,-1958.3675513907583,27198.52292678389,taker_flow_cross_sectional_top1,0.9469,0.8833
2021-06-14 00:00:00+00:00,2021-06-21 00:00:00+00:00,XRP,-3362.4801354067713,23836.04279137712,taker_flow_cross_sectional_top1,0.8833,0.7741
