asset,start,end,risk_off_days,risk_off_fraction,trades,final,buy_hold,dca,momentum,random,double_cost,delay_2d,best_excluded,top_block_pct,sharpe,max_drawdown,test_final,test_buy_hold,test_trades
BTC,2018-01-01,2026-07-27,411,0.13130990415335464,7,45847.17347825679,46344.780518358595,39941.66037721917,84689.48713366143,39692.76489179419,44894.41679217571,38398.15477286737,12009.579220132857,1.507407112889629,0.6019092875228377,-0.7962596743084206,12188.673497222588,15032.99363290963,2
ETH,2018-01-01,2026-07-27,411,0.13130990415335464,7,16490.39086247226,25741.27110993787,34753.85778180409,127304.60327323966,20528.630011379013,16147.701685400925,16490.24715605534,1557.8855876664832,6.491170591682986,0.45180949597524445,-0.8777437354309652,6223.806718941668,8268.923793334221,2
SOL,2020-08-11,2026-07-27,165,0.0757923748277446,5,307123.32234694913,259570.99438561453,40615.94868993892,904985.4845900396,309792.9339635115,302550.8279485189,305450.9046404814,87221.5904236372,1.4434342964098756,1.0457325518018121,-0.9487128025725645,6258.347000478619,7272.683189136861,2
XRP,2018-05-04,2026-07-27,411,0.1366810774858663,7,31207.090050520237,21258.129805292065,22385.074054116783,37077.29762569797,15515.78919846014,30558.57103739355,26843.60172970533,5228.540801221245,2.412861894399957,0.5268192539752673,-0.8454412073499101,17186.835236577543,17268.992530700296,2
