asset,partition,weekday_total_return,weekday_sharpe,bh_total_return,bh_sharpe,weekday_beats_bh
BTC,development_2018_2020,-0.6850758655666356,-0.4256982856814992,-0.46816285892315845,0.032980044943825525,False
BTC,validation_2020_2024,1.7307240684090592,0.7173363203817827,4.891523222730325,0.9908720810921972,False
BTC,test_2024_2026,-0.11200118510960921,0.11916453652139422,0.5010127078770379,0.5693936780852452,False
ETH,development_2018_2020,-0.9309986029666709,-0.9988428733717131,-0.8224897611390561,-0.3199814289020072,False
ETH,validation_2020_2024,2.6957717128404717,0.8123946811346621,16.706758749127026,1.2669553388208623,False
ETH,test_2024_2026,-0.5737856044320853,-0.2430789716674515,-0.17555140252057289,0.2201519317499868,False
SOL,validation_2020_2024,1.292296222960759,0.8188614291705325,33.46383194985601,1.4422856908891393,False
SOL,test_2024_2026,-0.6431864585286733,-0.15645953685123878,-0.27226363279717525,0.2762750376777921,False
XRP,development_2018_2020,-0.8309058369010638,-0.8262404905361516,-0.7909534127843987,-0.501891347556062,False
XRP,validation_2020_2024,0.741337449779278,0.6360724503456482,2.1982543640897756,0.816926596220295,False
XRP,test_2024_2026,-0.31703789018933903,0.1589866316560052,0.7301200908795846,0.6691845325231891,False
