asset,n_bars,start,end,n_trades_weekday,weekday_final,weekend_final,bh_final,weekday_doubled_cost_final,weekday_total_return,weekday_sharpe,weekday_sortino,weekday_max_dd,weekend_total_return,weekend_sharpe,bh_total_return,bh_sharpe,bh_max_dd,weekday_beats_bh,weekday_beats_bh_doubled_cost
BTC,74998,2018-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,448,0.75137267770058,0.42205277199607744,4.71252959381359,0.19595689558887217,-0.23597308261190308,0.24923714447023992,0.35090992390249126,-0.8436660211039039,-0.5779472280039226,-0.19217131756224998,3.7125295938135903,0.6059513539546229,-0.8141717033425719,False,False
ETH,74998,2018-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,448,0.10780629178907328,1.633831281061884,2.6009867788131165,0.02811572325012505,-0.8910688060357694,0.043166948851328074,0.06041360313197999,-0.9632148544651803,0.633831281061884,0.3416609856669921,1.6009867788131165,0.5590771655654322,-0.942579017616928,False,False
SOL,52222,2020-08-11 06:00:00+00:00,2026-07-27 23:00:00+00:00,312,0.8452392024913694,4.75206550151384,25.139759444350332,0.33149567180308254,-0.18137578222626038,0.4997222453372264,0.7329018023075732,-0.9667084948290943,3.75206550151384,0.7424509068159859,24.139759444350332,1.0497881705621719,-0.9679616158489398,False,False
XRP,72072,2018-05-04 08:00:00+00:00,2026-07-27 23:00:00+00:00,431,0.3690799807453062,0.43643941164352085,1.1550379198266523,0.10129191364463624,-0.7994643098361387,0.22573304777500514,0.32664841819496615,-0.8966756750731523,-0.5635605883564792,0.0037347739092151943,0.15503791982665227,0.5163543243934524,-0.8718793249578903,False,False
