asset,start,end,risk_on_days,risk_on_fraction,trades,final,buy_hold,dca,momentum,random,double_cost,delay_2mo,best_excluded,top_block_pct,sharpe,sortino,max_drawdown,test_final,test_buy_hold,test_trades
BTC,2018-01-01,2026-07-27,1668,0.5329073482428115,2,149378.75137381448,46344.780518358595,39941.66037721917,84689.48713366143,18787.13889920774,148485.15763620756,102020.27148341182,8917.631718807872,1.130082171853148,0.9264609896391601,1.3975533017292037,-0.6334142876781378,8917.631718807872,15032.99363290963,1
ETH,2018-01-01,2026-07-27,1668,0.5329073482428115,2,134380.63488956788,25741.27110993787,34753.85778180409,127304.60327323966,18957.18056183282,133576.76089351033,124818.18655052119,5176.161330455343,2.0068595414980885,0.8105840806865785,1.2128014570176167,-0.6823123839830284,5176.161330455343,8268.923793334221,1
SOL,2020-08-11,2026-07-27,1111,0.510335323840147,2,54693.684634491736,259570.99438561453,40615.94868993892,904985.4845900396,10111.003527162453,54366.50333443038,66880.83428478873,3654.12365521858,3.125197945548171,0.7110127163330755,1.188844263801784,-0.7625682330037791,3654.12365521858,7272.683189136861,1
XRP,2018-05-04,2026-07-27,1668,0.5547056867309611,2,87093.40656060347,21258.129805292065,22385.074054116783,37077.29762569797,44207.32468037379,86572.40794484553,70206.02224819838,16892.98299848384,0.5390339895067355,0.7100486918944957,1.2130849011502405,-0.7161264639946363,16892.98299848384,17268.992530700296,1
