date,move,mean_prior,std_prior,z,risk_on_signal_close,risk_on_actionable
2003-11-25 00:00:00+00:00,106.7300033569336,114.9228570423429,13.079077316570249,-0.6264091485283559,True,True
2003-11-26 00:00:00+00:00,104.8499984741211,114.86936499580504,13.084931882477253,-0.7657178968658928,True,True
2003-11-28 00:00:00+00:00,104.91000366210938,114.79781738160149,13.090248112533422,-0.7553572426197869,True,True
2003-12-01 00:00:00+00:00,113.13999938964844,114.6971031370617,13.068195132147366,-0.11915216536542501,True,True
2003-12-02 00:00:00+00:00,116.52999877929688,114.62087295168922,13.020753268206073,0.14662176513776162,True,True
2003-12-03 00:00:00+00:00,117.87999725341795,114.5708332667275,12.98892458981768,0.2547681267843052,True,True
2003-12-04 00:00:00+00:00,120.18000030517578,114.53666659763881,12.968755368614111,0.43514844309535583,True,True
2003-12-05 00:00:00+00:00,116.41999816894533,114.51408722287132,12.953889538627916,0.14713039974523953,True,True
2003-12-08 00:00:00+00:00,113.76000213623048,114.47202373686291,12.930307467487289,-0.05506609973682171,True,True
2003-12-09 00:00:00+00:00,115.27999877929688,114.42238090151832,12.908828232534951,0.06643653957816573,True,True
2003-12-10 00:00:00+00:00,112.91000366210938,114.40031741914295,12.902565679294707,-0.11550522540064612,True,True
2003-12-11 00:00:00+00:00,109.1999969482422,114.36896823701404,12.896525962227097,-0.4008033871998824,True,True
2003-12-12 00:00:00+00:00,111.0500030517578,114.29313490125868,12.870382418938528,-0.25198410924672104,True,True
2003-12-15 00:00:00+00:00,111.01000213623048,114.22777778383285,12.844740075189105,-0.2505130994295338,True,True
2003-12-16 00:00:00+00:00,110.0500030517578,114.16226193261525,12.818750829334299,-0.3208002819937027,True,True
2003-12-17 00:00:00+00:00,109.58000183105467,114.08055559794109,12.778861730234404,-0.35218737489257257,True,True
2003-12-18 00:00:00+00:00,107.11000061035156,113.99531751965719,12.736722437134024,-0.540587811604611,True,True
2003-12-19 00:00:00+00:00,109.2300033569336,113.90273814731174,12.701455316815233,-0.3678897160856829,True,True
2003-12-22 00:00:00+00:00,114.08999633789062,113.82642861018105,12.67137843749755,0.020800241189988678,True,True
2003-12-23 00:00:00+00:00,115.27999877929688,113.7912301865835,12.658218887489095,0.11761280208109,True,True
2003-12-24 00:00:00+00:00,116.2300033569336,113.79000003754146,12.658058445685574,0.19276284193677382,True,True
2003-12-26 00:00:00+00:00,116.2300033569336,113.78166671026321,12.655748713002275,0.19345648386294284,True,True
2003-12-29 00:00:00+00:00,116.47000122070312,113.77797623286172,12.654895216294136,0.21272598009150015,True,True
2003-12-30 00:00:00+00:00,116.54000091552734,113.77900798737056,12.655104886522054,0.21817226746949334,True,True
2003-12-31 00:00:00+00:00,117.91000366210938,113.76396830119783,12.649539330397952,0.3277617668612053,True,True
2004-01-02 00:00:00+00:00,118.01000213623048,113.75634926084489,12.646448941918353,0.3363515635829038,True,True
2004-01-05 00:00:00+00:00,113.83999633789062,113.7538889627608,12.645557299576259,0.0068092985615361675,True,True
2004-01-06 00:00:00+00:00,108.7699966430664,113.7132937113444,12.628717346760864,-0.3914330278003969,True,True
2004-01-07 00:00:00+00:00,110.91000366210938,113.6478968726264,12.611395721278958,-0.21709676478531525,True,True
2004-01-08 00:00:00+00:00,109.70999908447266,113.59285720946296,12.592871217118587,-0.30833779350590035,True,True
2004-01-09 00:00:00+00:00,102.81999969482422,113.54706355503627,12.585895804069505,-0.8523083320571891,True,True
2004-01-12 00:00:00+00:00,100.20999908447266,113.4844048212445,12.59988700020245,-1.053533713164138,True,True
2004-01-13 00:00:00+00:00,97.54000091552734,113.39051591782342,12.610337416378597,-1.2569461449706385,True,True
2004-01-14 00:00:00+00:00,100.83000183105467,113.28662702772353,12.632720714694841,-0.9860603648253581,True,True
2004-01-15 00:00:00+00:00,103.63999938964844,113.19511910090371,12.639125308538746,-0.7559953302148227,True,True
2004-01-16 00:00:00+00:00,104.52999877929688,113.08706356230236,12.603764749090118,-0.6789292686237445,True,True
2004-01-20 00:00:00+00:00,102.7300033569336,113.00650799463666,12.59328029072943,-0.8160308037666835,True,True
2004-01-21 00:00:00+00:00,103.43000030517578,112.94777785407172,12.606604100175307,-0.7549834573422974,True,True
2004-01-22 00:00:00+00:00,105.7300033569336,112.88432548159645,12.614136610883113,-0.567167008361897,True,True
2004-01-23 00:00:00+00:00,112.22000122070312,112.8075397733658,12.598487079859655,-0.04663564354500443,True,True
2004-01-26 00:00:00+00:00,114.44000244140624,112.77658741057866,12.590275652298281,0.13211903192317576,True,True
2004-01-27 00:00:00+00:00,111.5999984741211,112.75535725790357,12.582910799384738,-0.0918196752884053,True,True
2004-01-28 00:00:00+00:00,116.52999877929688,112.74519850715758,12.582805650317212,0.30079144328545504,True,True
2004-01-29 00:00:00+00:00,124.93000030517578,112.74988104805114,12.583998362443278,0.9679053434618997,True,True
2004-01-30 00:00:00+00:00,116.75,112.7886905670166,12.606490752299552,0.3142277665385044,True,True
2004-02-02 00:00:00+00:00,116.20999908447266,112.79158740573459,12.60732007688945,0.2711449902033008,True,True
2004-02-03 00:00:00+00:00,116.4000015258789,112.79718262808663,12.608527803386743,0.2857446130090249,True,True
2004-02-04 00:00:00+00:00,120.70999908447266,112.82281754508851,12.609262632727193,0.6255069601701417,True,True
2004-02-05 00:00:00+00:00,125.7300033569336,112.87432546464224,12.61488588884252,1.0190879256119,True,True
2004-02-06 00:00:00+00:00,115.11000061035156,112.93908736819313,12.638898701548754,0.1717644308591866,True,True
2004-02-09 00:00:00+00:00,107.43000030517578,112.92869053189716,12.636019250294147,-0.4351600071037703,True,True
2004-02-10 00:00:00+00:00,107.41999816894533,112.89115085299053,12.638255828487319,-0.4329040935943812,True,True
