asset,n_bars,start,end,n_trades_session,session_final,off_session_final,bh_final,session_doubled_cost_final,session_total_return,session_sharpe,session_sortino,session_max_dd,off_session_total_return,off_session_sharpe,bh_total_return,bh_sharpe,bh_max_dd,session_beats_bh,session_beats_bh_doubled_cost
BTC,74998,2018-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,3129,0.00015639322988165118,0.00020812879148999382,4.71252959381359,1.3106123148395953e-08,-0.9998436067701183,-2.222627075626685,-3.1098073946551845,-0.999885866261548,-0.9997883660083723,-1.62231099411451,3.7125295938135903,0.6059513539546229,-0.8141717033425719,False,False
ETH,74998,2018-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,3129,6.830395755363595e-05,0.0002646874821616323,2.6009867788131165,5.724033450157638e-09,-0.9999316960424464,-1.8174815758616774,-2.5697632578224927,-0.9999493731767647,-0.9997325506426317,-1.1072719975144512,1.6009867788131165,0.5590771655654322,-0.942579017616928,False,False
SOL,52222,2020-08-11 06:00:00+00:00,2026-07-27 23:00:00+00:00,2177,0.0012015383708249136,0.04589440451488857,25.139759444350332,1.7512392890558273e-06,-0.9987984616291751,-1.1107440370250992,-1.6380872352065627,-0.9997037332695122,-0.9555507235283779,-0.08153083104613248,24.139759444350332,1.0497881705621719,-0.9679616158489398,False,False
XRP,72072,2018-05-04 08:00:00+00:00,2026-07-27 23:00:00+00:00,3007,0.0020748591581479015,1.4961995279108523e-05,1.1550379198266523,2.507249378815855e-07,-0.9979251408418521,-0.8980304870683741,-1.3177176195037765,-0.9980683425244739,-0.9999918705586701,-1.4236521479296602,0.15503791982665227,0.5163543243934524,-0.8718793249578903,False,False
