asset,n_days,coverage_start,n_trades,n_test_trades,primary_final,doubled_cost_final,exclude_best_trade_final,top_trade_pnl_share,bh_final,dca_final,primary_total_return,primary_sharpe,primary_sortino,primary_max_dd,bh_total_return,bh_sharpe,dca_total_return,dca_sharpe,beats_bh,beats_dca,beats_bh_doubled_cost,beats_bh_excl_best_trade,test_beats_bh
BTC,2190,2020-09-01 00:00:00+00:00,24,9,1.3298189813391632,1.2411550853470625,1.0449648396342164,0.8636681265230832,5.490415691758933,1.6838197704908717,0.3298189813391632,0.32022318555127843,0.45656664683830955,-0.44407851264148024,4.490415691758933,0.7852832834330926,3646.4394574798634,2.095711494168229,False,False,False,False,True
ETH,1734,2021-12-01 00:00:00+00:00,31,15,3.6005163256682766,3.2807654718153745,2.664300424287162,0.36001154545358494,0.40062702162610714,0.8650030950776412,2.6005163256682766,0.9649259876667119,1.3948641853881187,-0.3690796896400681,-0.5993729783738928,0.04835833627639957,1442.5088227897659,2.1140641097551427,True,True,True,True,True
SOL,1734,2021-12-01 00:00:00+00:00,31,13,0.9790183234425787,0.8947549539717858,0.5781066666888892,-19.10770360302236,0.3511262540223358,1.4487985012027516,-0.020981676557421336,0.2494504437265278,0.37628682682790354,-0.645015977663321,-0.6488737459776641,0.2553947981435915,2432.9686339778855,2.0169807426210427,True,False,True,True,True
XRP,1734,2021-12-01 00:00:00+00:00,33,16,2.5976068637042515,2.3598311742060845,1.3024137072667321,0.810708307445833,1.0575339748040868,1.5547780075957784,1.5976068637042515,0.6661780273861272,0.9612912097405965,-0.5723571688506869,0.05753397480408684,0.4226823248678814,2620.6168605865105,2.119851129136861,True,True,True,True,True
